cm,K,m/s,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
z,T_CL,w_CL,T_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_FUEL,X_H2O,X_N2
0,343,0.00311,0,7.06E-05,0.011379159,0.058227244,0.445110366,0.077634023,0.407649208
1.829268293,1074.909629,0.12157064,120.5677581,0.096334238,0.027445086,0.085444518,0.134611146,0.113926024,0.638573226
3.658536585,1234.246944,0.476313674,113.4933008,0.190547151,0.037914018,0.086163307,0.078596255,0.114884409,0.682442012
5.487804878,1274.233647,0.860187891,138.9657916,0.305814188,0.045620067,0.084045568,0.060126088,0.112060758,0.698147518
7.317073171,1285.896624,1.22095538,169.7524339,0.435122697,0.052743824,0.081418086,0.048812171,0.108557447,0.708468472
9.146341463,1288.106295,1.53767606,198.5948601,0.563218502,0.059059142,0.078881966,0.040560468,0.105175955,0.716322469
10.97560976,1284.102197,1.809542189,223.3381973,0.681158454,0.064942634,0.076379342,0.034076051,0.101839123,0.72276285
12.80487805,1273.925556,2.03736628,247.9492233,0.792282252,0.070701492,0.073806007,0.028793014,0.098408009,0.728291479
14.63414634,1258.038993,2.225497436,272.9087344,0.898427708,0.076446113,0.071134408,0.024422776,0.094845878,0.733150825
16.46341463,1237.337325,2.379682036,295.6537377,0.997731848,0.082189264,0.068376607,0.020801062,0.091168809,0.737464258
18.29268293,1212.58302,2.508270612,314.9976961,1.085297714,0.087954966,0.065537227,0.017773135,0.087382969,0.741351703
20.12195122,1184.431276,2.617555854,330.7963953,1.158539351,0.093766595,0.062619,0.015205048,0.083492,0.744917357
21.95121951,1153.827743,2.710453567,343.6064048,1.218538802,0.09955953,0.059667353,0.01301281,0.07955647,0.748203837
23.7804878,1121.539151,2.789465036,354.0024646,1.265342735,0.10526541,0.05672711,0.01113736,0.075636146,0.751233974
25.6097561,1087.698879,2.855617052,362.7380892,1.300028882,0.11088987,0.053800829,0.009532822,0.071734438,0.754042041
27.43902439,1052.589771,2.910118318,370.0905154,1.323981984,0.116427665,0.050895702,0.008150656,0.067860936,0.756665042
29.26829268,1017.205052,2.955256534,376.2484805,1.33908074,0.121822467,0.048050288,0.006940034,0.064067051,0.75912016
31.09756098,981.8768085,2.990771387,380.5190002,1.348086874,0.127059781,0.045274441,0.005880068,0.060365921,0.761419789
32.92682927,947.1272228,3.01716264,382.4177355,1.351816587,0.132098207,0.04259281,0.004956709,0.056790413,0.76356186
34.75609756,913.0404485,3.036533192,382.1305405,1.350145627,0.136933984,0.040009348,0.004153725,0.053345797,0.765557146
36.58536585,879.7714864,3.050106932,379.7896384,1.342652505,0.141549353,0.037534309,0.003466962,0.050045745,0.76740363
38.41463415,847.8125951,3.058712565,375.7600574,1.330270388,0.145898606,0.035194825,0.002881653,0.046926433,0.769098484
40.24390244,817.7137529,3.0642701,370.4115422,1.312936063,0.149929459,0.033021843,0.002379644,0.044029124,0.77063993
42.07317073,789.5763744,3.068507714,363.6686321,1.291121504,0.153639822,0.031017202,0.001956413,0.041356269,0.772030294
43.90243902,762.9779484,3.070791561,355.4918821,1.266853812,0.157090289,0.029147722,0.001607594,0.03886363,0.773290764
45.73170732,738.1581398,3.071040836,346.3360412,1.242730271,0.160258056,0.027426653,0.001328456,0.03656887,0.774417964
47.56097561,714.9699206,3.070117858,336.8781636,1.220384997,0.163176849,0.025837372,0.001100491,0.03444983,0.775435457
49.3902439,693.0930575,3.067871492,327.0516859,1.199568238,0.165906143,0.024348982,0.000908179,0.032465309,0.776371389
51.2195122,672.1157246,3.063843535,316.3749282,1.179604435,0.168502098,0.022930473,0.000745084,0.030573964,0.777248382
53.04878049,652.1249383,3.057231167,305.0161714,1.160220287,0.170954159,0.021588518,0.000606702,0.028784691,0.77806593
54.87804878,633.4250567,3.048131679,293.6309879,1.141669894,0.17322814,0.020343359,0.000489767,0.027124478,0.778814256
56.70731707,616.0119076,3.036814241,282.388248,1.123393557,0.175319701,0.019196753,0.00039345,0.02559567,0.779494426
58.53658537,599.8313809,3.023800369,271.1320444,1.105870199,0.177239974,0.018142733,0.000316813,0.02419031,0.78011017
60.36585366,585.0049032,3.009602404,260.1495393,1.088862585,0.178976597,0.017188364,0.000257485,0.022917819,0.780659735
62.19512195,571.585266,2.994490936,249.6837011,1.073694571,0.180531388,0.016333106,0.000211499,0.021777474,0.781146533
64.02439024,559.5040185,2.979871792,239.9098126,1.059575179,0.181919671,0.015568966,0.000174949,0.020758622,0.781577793
65.85365854,548.4606529,2.965276467,230.6503401,1.04624519,0.183182368,0.014873559,0.00014497,0.019831412,0.781967692
67.68292683,537.9821208,2.949187487,221.3481904,1.033710905,0.184376866,0.014215344,0.000119747,0.018953793,0.78233425
69.51219512,527.7911936,2.931591722,211.5985132,1.019853213,0.185536459,0.013575967,9.87E-05,0.018101289,0.782687629
71.34146341,518.0542327,2.912421934,201.8289029,1.005498995,0.186639805,0.012967376,8.14E-05,0.017289835,0.783021625
73.17073171,508.9872857,2.89198967,192.2307686,0.991960713,0.18766287,0.012402952,6.70E-05,0.01653727,0.783329885
