cm,K,K,K,K,K,K,K,K,K,K
r,T_20          ,T_60          ,T_100         ,T_140         ,T_180         ,T_20_RMS      ,T_60_RMS      ,T_100_RMS     ,T_140_RMS     ,T_180_RMS     
-10,1238.735426,923.3461039,750.1402348,630.9657639,542.242806,337.4922009,426.2628553,388.4929284,308.8760065,223.8992043
-8,1291.390094,1028.07943,813.9841198,659.012587,554.3383109,284.9836279,417.3383396,402.5022206,324.5443915,234.2730733
-6,1316.67137,1114.581965,870.4777326,686.2479359,564.5395736,234.6107032,392.1416012,409.2548942,339.7779266,242.7644528
-4,1316.065856,1172.792624,910.2042783,706.7209513,572.8070396,195.8739278,363.2473722,412.1990551,349.6896094,249.4436705
-2,1304.000667,1196.54537,931.0624502,718.6579222,577.4847628,183.7319734,338.4312047,413.5096938,355.0828447,254.1673313
0,1293.459053,1192.390159,930.3352988,717.1381915,577.9805941,187.4948705,331.995716,411.9952831,354.2209954,256.1312072
2,1288.634276,1167.512245,908.3997356,703.2826083,574.9251077,199.2366233,352.0710297,410.202859,348.9645492,256.1831233
4,1292.316737,1118.154191,868.3240614,685.0139793,568.9109427,224.7414779,384.9079165,409.8308861,345.4627982,255.039685
6,1292.098251,1046.853527,818.4385432,664.0681982,559.852488,259.8895307,411.1723555,406.5950885,340.3419834,249.5473712
8,1271.454935,964.2773654,768.8893129,640.7981618,548.7960567,305.7007555,426.5628131,396.4912408,330.5822089,240.736425
10,1225.043293,881.430876,719.24786,613.9452646,537.5961854,354.182878,435.6808605,381.5417898,316.5678001,233.9033618
12,1154.226695,805.6640917,669.1724911,584.8440589,526.8246278,398.0079338,436.9168763,363.1550379,299.268388,229.8461186
14,1070.836994,741.2778072,627.2215673,559.0791945,515.7413857,432.9312143,430.0458323,344.8332992,282.3219365,223.9474185
16,986.9079024,689.2553102,597.253047,538.5746575,502.7044675,455.5173385,414.4766225,333.0773336,267.7865693,213.1006149
18,903.7567362,647.0501275,575.9437967,522.0147548,487.559416,465.4076647,390.5016594,327.6809895,254.8313182,197.7434266
20,827.1402281,614.1928534,560.2354196,507.3063062,471.7034107,462.9660586,367.9293265,322.2752749,244.7384904,180.9421418
22,755.1774438,584.5668464,544.6674221,491.822614,455.264023,448.7108537,353.0098064,309.5904345,236.0319211,165.3121444
24,688.6597453,560.0699361,527.4612268,476.6268531,439.269867,420.4647933,346.7975578,292.0122233,225.939273,150.1586557
26,621.2394244,542.4509145,508.5900567,460.0434176,423.828149,377.5704503,345.5967158,274.2994903,212.2240157,134.8041479
28,558.1914881,528.21493,489.877108,443.6239584,411.3865939,326.4731882,344.8250687,257.5435056,198.7438031,124.6928487
30,501.1835877,510.1053364,472.0225959,430.466991,401.886983,275.3081098,340.2179978,245.0076907,189.1000333,120.2070693
32,456.8914096,487.9081152,456.0714481,420.8905188,394.2550939,236.3013695,328.581978,237.7124712,182.6279235,117.3437543
34,418.268931,460.9190041,438.4690987,410.8686577,386.7244155,201.1821107,306.9430489,227.9160267,175.4381202,113.7471847
36,382.9456767,432.7846964,421.1204811,400.0236382,380.0149179,166.4666127,278.979467,213.7863822,166.3366135,110.9561745
38,351.5149031,404.6796429,403.7807015,388.7599139,373.0537446,127.8339207,246.6983514,195.3319173,157.3777042,107.726423
40,325.8501081,379.1581615,386.7974844,378.3580912,365.1956458,86.66329706,213.1748415,176.1972141,150.2191321,102.5762704
42,307.9432303,358.1869117,372.1097464,368.2699861,356.6417074,51.21207329,182.3693601,159.9040279,143.2602601,95.89908842
44,298.6789383,343.2066696,360.0220653,359.3575535,349.4174848,27.64052363,156.552669,146.3816213,135.9006458,90.50462076
46,294.6030963,330.5952876,347.0134303,351.0326374,344.0183146,9.160023476,127.5422568,130.3110822,126.2198658,86.67599238
48,293.5452007,319.732394,335.5505055,343.493355,339.0306443,1.7698346,97.22052316,114.9236952,115.5308082,81.53110786
50,293.3624598,311.4536935,327.0884385,336.5343056,333.5801682,0.231427215,73.53355743,103.9613548,104.096739,74.74859802
52,293.3210913,305.7902847,320.8446596,329.8779615,328.402981,0.050182284,58.04124586,95.2836776,91.02386881,67.65949312
54,293.2956052,301.3690923,316.0174889,322.8878961,323.0690482,0.040019948,43.31191445,88.01352604,76.51358742,60.19128803
56,293.2731959,297.9447504,312.2954853,316.2581297,318.2760661,0.036395048,28.26255572,82.11665206,62.79105742,54.13218346
58,293.2524525,295.5827194,309.3334847,310.6163365,314.2974912,0.033376795,15.04764579,76.26499029,50.68521837,49.74898374
60,293.2341117,294.3538526,306.8791428,306.4432619,311.2372674,0.030847863,6.21937887,69.7961906,41.3829209,46.50776916
