z(cm),Xbar_CH3OH,Xbar_CO2,Xbar_H2O,Xbar_O2
0.0,0.9200046,0.00621814,0.01244402,0.00551348
0.25,0.82415313,0.01408271,0.02818292,0.01136859
0.5,0.73745815,0.02130264,0.04263167,0.01647084
0.75,0.66218349,0.02752218,0.05507857,0.02099022
1.0,0.60271789,0.03287647,0.06579379,0.02376025
1.2083,0.55922344,0.03714692,0.07434015,0.02514346
1.4167,0.52514035,0.04064544,0.08134144,0.02595144
1.625,0.49676261,0.04366951,0.08739339,0.02642212
1.8333,0.47272579,0.04630399,0.09266571,0.02668842
2.0416,0.4519887,0.04862146,0.09730348,0.02683717
2.25,0.43398393,0.05064135,0.10134581,0.02695206
2.4584,0.41740176,0.05248391,0.10503318,0.02709019
2.6667,0.40021869,0.05405706,0.1081814,0.02784352
3.0834,0.37976076,0.05563146,0.11133212,0.02928216
3.5,0.35922769,0.05728563,0.11464252,0.03059187
3.9167,0.34111474,0.05877847,0.11763011,0.0316863
4.3333,0.32483533,0.06010829,0.12029145,0.03269132
4.7499,0.31001818,0.06127035,0.12261693,0.03369398
5.1666,0.29639286,0.06227694,0.12463135,0.03472834
5.5833,0.28379127,0.06313431,0.12634714,0.03581872
6.0,0.27210824,0.0638565,0.12779255,0.03696135
6.4167,0.26120656,0.06446514,0.12901054,0.03814606
6.8333,0.25092726,0.06498102,0.13004288,0.03936846
7.25,0.2412217,0.06540923,0.13089999,0.04062931
7.6667,0.23206111,0.06574914,0.13158056,0.04193576
8.0833,0.22338466,0.06600408,0.13209069,0.04329507
8.5,0.2151521,0.06619139,0.13246586,0.04468383
8.9166,0.20732453,0.06633465,0.13275171,0.04606871
9.3333,0.19985949,0.06643683,0.13295642,0.04745065
9.75,0.19271498,0.06649401,0.13307088,0.04884753
10.1666,0.18584279,0.06650216,0.13308674,0.05027666
10.5833,0.17921147,0.06645608,0.13299431,0.05175341
11.0,0.17281061,0.06635263,0.13278807,0.05328485
11.4167,0.16662508,0.0661963,0.13247477,0.05486792
11.8334,0.16064686,0.06599151,0.13206539,0.05649478
12.2501,0.15487215,0.06573961,0.13156099,0.0581651
12.6667,0.14927347,0.0654417,0.13096467,0.05988173
13.0833,0.14383533,0.06509896,0.13027922,0.06164554
13.5,0.13855427,0.06471213,0.12950471,0.0634571
13.9167,0.13343036,0.06428121,0.12864252,0.06531535
14.3333,0.12845367,0.0638104,0.12770029,0.06721536
14.7499,0.12362334,0.0633043,0.1266873,0.06914876
15.1666,0.1189528,0.0627714,0.12562102,0.07109756
15.5833,0.11444573,0.06221861,0.12451475,0.07304803
16.0,0.11010151,0.06164842,0.1233737,0.07499578
16.4167,0.10590341,0.06106254,0.12220114,0.07694123
16.8334,0.10184115,0.06046099,0.12099735,0.07888682
17.25,0.09791162,0.05984563,0.1197658,0.08082992
17.6667,0.09410905,0.05921792,0.11850945,0.08276877
