z(cm),T_mean(K),T_rms(K),uz_mean(m/s),uz_rms(m/s),uz'T'(K-m/s),uz'ur'(m/s)^2
59.75,530.65,242.63429271,2.47358,0.97094181,235.58377953,0.65187814
60.1667,527.035,238.05440555,2.47161,0.96808729,230.45744421,0.65319484
61.0,521.698,230.38554642,2.46889,0.96191476,221.61125693,0.64883727
61.8334,516.788,223.84570579,2.46709,0.95505811,213.78565747,0.64333256
62.6667,512.341,218.51933553,2.466,0.94868224,207.30541358,0.63894029
63.5,508.219,213.96284724,2.46497,0.94269295,201.70126789,0.63542396
64.3333,504.306,209.88854185,2.4638,0.93696531,196.65828356,0.63289554
65.1666,500.487,206.00412617,2.46238,0.93136513,191.86505916,0.63085298
66.0,496.705,202.14079252,2.46061,0.92578021,187.13794565,0.62874209
66.8333,492.958,198.29548659,2.45845,0.92021248,182.47398058,0.62652949
67.6667,489.27,194.51375273,2.45584,0.91485791,177.95244577,0.62463736
68.5,485.685,190.84391528,2.45287,0.90991044,173.65087,0.62332255
69.3333,482.202,187.23648149,2.44976,0.90535573,169.5156216,0.62214537
70.167,478.811,183.67498469,2.44673,0.90104384,165.49921335,0.62048021
71.0,475.476,180.11413048,2.44396,0.89674746,161.51688832,0.61816699
71.833,472.159,176.46897744,2.44147,0.89221298,157.44791208,0.61540402
72.667,468.883,172.8215843,2.43923,0.88735957,153.3548861,0.61253659
73.5,465.693,169.31627211,2.43718,0.88229247,149.38647168,0.60974227
74.333,462.606,166.00090361,2.4352,0.87720294,145.61648089,0.60680413
75.167,459.633,162.8708077,2.43314,0.87220181,142.05621352,0.6034504
76.0,456.795,159.98312411,2.43097,0.86733673,138.75923942,0.59964188
76.834,454.065,157.29462801,2.42854,0.86273519,135.70361004,0.59556514
77.667,451.416,154.69486094,2.42576,0.85858954,132.81938965,0.59152777
78.5,448.843,152.1357946,2.42278,0.85492163,130.06418209,0.58775506
79.333,446.337,149.54531086,2.41982,0.85148224,127.33517583,0.58417776
80.167,443.892,146.87341489,2.4171,0.84798467,124.54640421,0.58062505
81.0,441.533,144.16448939,2.41472,0.84431215,121.71982942,0.57703435
81.834,439.266,141.46448318,2.41269,0.84048319,118.89852071,0.57339669
82.667,437.127,138.86072159,2.41099,0.8366415,116.17664244,0.56991364
83.5,435.12,136.3506509,2.40951,0.8329904,113.5787827,0.56691772
84.333,433.236,133.90369674,2.40813,0.82958243,111.08415347,0.56476223
85.166,431.443,131.51007566,2.40683,0.82629898,108.66664103,0.5634795
86.0,429.708,129.162301,2.40537,0.82312089,106.31618819,0.56313453
86.833,428.013,126.88301699,2.40371,0.81975606,104.01312225,0.56224398
87.667,426.355,124.70204489,2.4015,0.81671782,101.84638244,0.56177401
88.5,424.609,122.46060591,2.39801,0.81627201,99.96116536,0.56688947
89.333,422.362,118.91677762,2.39393,0.81503926,96.92184277,0.56580898
91.0,418.716,112.66720907,2.38709,0.80915326,91.16503964,0.55059721
92.667,415.492,107.71722239,2.37957,0.8043314,86.64034422,0.54146246
