z(cm),Xbar_CH3OH,Xbar_CO2,Xbar_H2O,Xbar_O2
0.0,0.92793305,0.00580837,0.01162398,0.00459225
0.25,0.83499201,0.0137067,0.02743049,0.00977475
0.5,0.7432395,0.02157607,0.04317901,0.01476019
0.75,0.66209762,0.02838033,0.05679589,0.01945088
1.0,0.59847711,0.0340095,0.0680614,0.02259443
1.2083,0.55208806,0.03839449,0.07683685,0.02437783
1.4167,0.51551675,0.04197957,0.08401148,0.02555092
1.625,0.4847209,0.04509669,0.09024945,0.02636068
1.8333,0.45842022,0.04783189,0.09572327,0.02691952
2.0416,0.43565227,0.05026375,0.10059019,0.02728715
2.25,0.41593513,0.05241255,0.10489033,0.02752801
2.4584,0.39773698,0.05442481,0.10891743,0.02769741
2.6667,0.37883292,0.05618436,0.11243862,0.02847371
3.0834,0.35669235,0.05789919,0.11587059,0.0300109
3.5,0.33501804,0.0596071,0.1192885,0.03146278
3.9167,0.31632313,0.06107027,0.12221666,0.03273323
4.3333,0.29970509,0.06231755,0.12471271,0.0339591
4.7499,0.28469903,0.06336583,0.12681058,0.03520814
5.1666,0.27103591,0.06426961,0.12861916,0.03643711
5.5833,0.25851666,0.0650615,0.13020407,0.03762869
6.0,0.24696174,0.06573226,0.13154623,0.03883808
6.4167,0.23620894,0.06628247,0.1326475,0.04009731
6.8333,0.22615595,0.06672049,0.13352405,0.04141368
7.25,0.21673103,0.06704898,0.13418079,0.04279717
7.6667,0.20785134,0.06727034,0.1346248,0.04425912
8.0833,0.19945707,0.06739489,0.13487286,0.04579728
8.5,0.19152199,0.06743724,0.13495821,0.04738626
8.9166,0.1840072,0.06741394,0.13491202,0.04900643
9.3333,0.17685563,0.06733362,0.13475135,0.05065398
9.75,0.17003481,0.06720063,0.13448452,0.05232839
10.1666,0.1635315,0.06701934,0.13412261,0.05402231
10.5833,0.15729409,0.06679335,0.13366963,0.05574301
11.0,0.15128574,0.06652047,0.13312398,0.05749963
11.4167,0.14548543,0.06620129,0.13248522,0.05929714
11.8334,0.13987854,0.06583573,0.13175337,0.06113854
12.2501,0.13445863,0.06542439,0.13093022,0.06302357
12.6667,0.12921938,0.06496853,0.13001776,0.06495161
13.0833,0.12416439,0.06446949,0.12901928,0.06691907
13.5,0.11928738,0.06393027,0.12794009,0.06892209
13.9167,0.11458222,0.06335125,0.12678133,0.07096133
14.3333,0.11004721,0.06273587,0.12554987,0.07303081
14.7499,0.10568527,0.06208641,0.12425017,0.07512578
15.1666,0.10147858,0.06140788,0.12289211,0.07724095
15.5833,0.09742542,0.0607085,0.12149259,0.07936165
16.0,0.09351991,0.05999219,0.12005901,0.08148225
16.4167,0.08976063,0.059263,0.11859977,0.08359545
16.8334,0.08615304,0.05852396,0.11712073,0.08569514
17.25,0.08268778,0.057778,0.11562803,0.08777732
17.6667,0.07935897,0.05702828,0.11412754,0.08983778
