s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHYLENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1267552E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1267552E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0049323E-001, 2.1934922E+000, 0.0000000E+000,-7.2799101E-001, 2.8391769E-002,-1.2056457E-001, 2.3005907E-004, 0.0000000E+000, 0.0000000E+000, 1.3716566E+000, 1.3735584E+000, 1.6846839E-002, 7.6534000E-005,-6.6911971E-100,-7.8427855E-088
 1.0000932E+000, 5.7666132E+000, 0.0000000E+000,-1.9499240E+000, 7.1658509E-002,-5.8192145E-002, 8.9599471E-004, 0.0000000E+000, 0.0000000E+000, 3.7442845E+000, 3.8310515E+000, 4.4270628E-002, 1.9837858E-004,-1.0295926E-084,-3.4780704E-076
 1.5001853E+000, 1.0003638E+001, 0.0000000E+000,-3.4026544E+000,-2.1969207E+000,-6.3241462E-002, 1.4495999E-003, 0.0000000E+000, 0.0000000E+000, 4.3002031E+000, 4.3422707E+000, 5.9511013E-002, 2.6655074E-004,-1.4500499E-077,-4.1217119E-070
 2.0001614E+000, 1.2083543E+001, 0.0000000E+000,-4.0985570E+000,-4.7427002E+000,-1.1894889E-001, 1.6754324E-003, 0.0000000E+000, 0.0000000E+000, 3.0793413E+000, 3.1250121E+000, 6.6273922E-002, 2.9680956E-004,-1.3939469E-073,-1.1259475E-066
 2.5000570E+000, 1.3921569E+001, 0.0000000E+000,-4.7188591E+000,-6.4767044E+000,-2.3973827E-001, 1.7849796E-003, 0.0000000E+000, 0.0000000E+000, 2.4242134E+000, 2.4880523E+000, 6.8956383E-002, 3.0880920E-004,-1.7564362E-071,-7.3454051E-065
 3.0004802E+000, 1.3281845E+001, 0.0000000E+000,-4.4964237E+000,-7.7965041E+000,-2.9069192E-001, 1.8446868E-003, 0.0000000E+000, 0.0000000E+000, 7.1040357E-001, 7.0006949E-001, 6.9972285E-002, 3.1335419E-004,-5.2506375E-068,-1.6042046E-062
 3.5001271E+000, 1.3988741E+001, 0.0000000E+000,-4.7494192E+000,-7.1964115E+000,-2.6795331E-001, 1.8676743E-003, 0.0000000E+000, 0.0000000E+000, 1.7659448E+000, 1.7768246E+000, 7.0349939E-002, 3.1504388E-004,-9.2774733E-064,-8.4403411E-059
 4.0005040E+000, 1.4560661E+001, 0.0000000E+000,-4.9364606E+000,-7.0134451E+000,-2.6454167E-001, 1.8686359E-003, 0.0000000E+000, 0.0000000E+000, 2.3515476E+000, 2.3480820E+000, 7.0489376E-002, 3.1566771E-004,-3.6460394E-060,-1.1493479E-055
