XO2,eta,Chi_R
0.208, -0.10,  2.05
0.208, -0.08,  0.00
0.208,  0.76,  0.05
0.208,  0.98,  0.10
0.208,  0.97,  0.10
0.208,  0.97,  0.10
0.207,  0.96,  0.10
0.202,  0.96,  0.10
0.196,  0.96,  0.10
0.191,  0.96,  0.10
0.186,  0.96,  0.09
0.182,  0.96,  0.10
0.177,  0.96,  0.10
0.173,  0.96,  0.10
0.169,  0.95,  0.09
0.166,  0.96,  0.09
0.162,  0.96,  0.08
0.158,  0.95,  0.09
0.155,  0.96,  0.08
0.152,  0.96,  0.08
0.149,  0.95,  0.08
0.146,  0.94,  0.07
0.143,  0.94,  0.06
0.140,  0.95,  0.06
0.138,  0.95,  0.06
0.135,  0.94,  0.06
0.133,  0.94,  0.06
0.131,  0.95,  0.05
0.128,  0.94,  0.04
0.126,  0.93,  0.04
0.124,  0.94,  0.03
0.122,  0.94,  0.03
0.120,  0.93,  0.02
0.118,  0.93,  0.02
0.116,  0.93,  0.02
0.114,  0.93,  0.01
0.113,  0.93,  0.01
0.111,  0.92,  0.00
0.109,  0.93,  0.00
0.108,  0.92,  0.00
0.106,  0.91,  0.00
0.105,  0.92,  0.00
0.103,  0.91,  0.00
0.102,  0.90,  0.00
0.101,  0.89,  0.00
0.099,  0.89,  0.00
0.098,  0.86,  0.00
0.097,  0.75,  0.00
0.095,  0.59,  0.00
0.094,  0.44,  0.00
0.093,  0.31,  0.00
0.092,  0.26,  0.00
0.091,  0.20,  0.00
0.090,  0.16,  0.00
0.089,  0.11,  0.00
0.088,  0.07,  0.00
0.087,  0.03,  0.00
0.086, -0.01,  0.00
0.085, -0.02,  0.00
0.084, -0.03,  0.00
0.083, -0.03,  0.00
0.082, -0.04,  0.00
0.081, -0.05,  0.00
0.080, -0.05,  0.00
0.079, -0.06,  0.00
0.078, -0.06,  0.00
