Time,Chi_r
0.501, 0.168
1.000, 0.250
1.500, 0.272
2.000, 0.273
2.501, 0.271
3.001, 0.266
3.500, 0.271
4.000, 0.263
4.500, 0.261
5.000, 0.265
5.500, 0.268
6.001, 0.268
6.500, 0.270
7.000, 0.265
7.501, 0.275
8.000, 0.271
8.501, 0.272
9.001, 0.268
9.500, 0.270
10.001, 0.264
10.500, 0.265
11.000, 0.256
11.500, 0.261
12.000, 0.266
12.500, 0.268
13.000, 0.266
13.501, 0.266
14.000, 0.267
14.501, 0.278
15.001, 0.264
15.501, 0.265
16.000, 0.269
16.500, 0.272
17.001, 0.264
17.501, 0.274
18.000, 0.267
18.500, 0.265
19.001, 0.270
19.500, 0.271
20.000, 0.267
