cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.0000000E-001, 4.6564454E+000, 5.1821690E-001,-5.0000000E-001, 9.6916474E+002, 1.0667527E+003, 1.1681734E+003, 1.1792523E+003, 1.0915581E+003, 9.3028873E+002, 7.9944211E+001, 1.0726570E+002, 1.7617137E+002, 2.7213328E+002, 3.5666798E+002, 3.5940518E+002,-2.0500000E+001, 1.3290219E-015, 1.7078198E-015, 2.8803356E-015, 4.6241154E-009, 5.2563796E-007, 3.4166182E-016, 4.7110157E-016, 6.9223348E-015, 3.2768268E-008, 1.9522338E-006
 1.5000000E+000, 8.8073016E+000, 1.3520734E+000, 5.0000000E-001, 9.7193590E+002, 1.0854641E+003, 1.1862777E+003, 1.2022226E+003, 1.0936001E+003, 9.2876345E+002, 8.7254003E+001, 1.1697623E+002, 1.6296609E+002, 2.6225509E+002, 3.4453880E+002, 3.5603378E+002,-1.9500000E+001, 1.1952267E-013, 7.9767260E-014, 1.8173510E-013, 4.8209788E-007, 3.2728761E-005, 3.2253209E-014, 3.2124357E-014, 4.8861863E-013, 3.9308177E-006, 1.4893364E-004
 2.5000000E+000, 9.4715286E+000, 1.4192825E+000, 1.5000000E+000, 1.1943126E+003, 1.2362751E+003, 1.1959564E+003, 1.1329344E+003, 1.0281475E+003, 8.8569467E+002, 1.7899896E+002, 2.1000049E+002, 2.5808974E+002, 3.2526102E+002, 3.6042396E+002, 3.6172980E+002,-1.8500000E+001, 1.1952267E-013, 7.9767260E-014, 1.8173510E-013, 4.8209788E-007, 3.2728761E-005, 3.2253209E-014, 3.2124357E-014, 4.8861863E-013, 3.9308177E-006, 1.4893364E-004
 3.5000000E+000, 9.3286098E+000, 1.5905011E+000, 2.5000000E+000, 1.1476798E+003, 1.0120484E+003, 1.0164646E+003, 9.8210943E+002, 9.2901782E+002, 8.2000383E+002, 2.9852136E+002, 3.3384770E+002, 3.5597333E+002, 3.7546266E+002, 3.8263163E+002, 3.5341882E+002,-1.7500000E+001, 9.3447664E-012, 3.2335213E-012, 1.3246251E-011, 1.7355542E-005, 6.9733930E-004, 2.2621773E-012, 2.3365090E-012, 3.8726075E-011, 1.5130425E-004, 3.0607616E-003
 4.5000000E+000, 8.6535762E+000, 1.5741807E+000, 3.5000000E+000, 7.0645981E+002, 6.9759272E+002, 7.8224039E+002, 8.1967682E+002, 8.1268232E+002, 7.5255323E+002, 3.2988673E+002, 3.2269729E+002, 3.6120334E+002, 3.8349359E+002, 3.7693578E+002, 3.3776682E+002,-1.6500000E+001, 9.3447664E-012, 3.2335213E-012, 1.3246251E-011, 1.7355542E-005, 6.9733930E-004, 2.2621773E-012, 2.3365090E-012, 3.8726075E-011, 1.5130425E-004, 3.0607616E-003
 5.5000000E+000, 7.9950917E+000, 1.5692399E+000, 4.5000000E+000, 4.9800085E+002, 5.1553359E+002, 5.9468089E+002, 6.7097632E+002, 6.9363869E+002, 6.7906718E+002, 2.4050321E+002, 2.4551215E+002, 2.9827991E+002, 3.5012786E+002, 3.5072476E+002, 3.1337176E+002,-1.5500000E+001, 4.8491918E-010, 1.2872022E-010, 9.6529612E-010, 3.2712486E-004, 5.6419453E-003, 1.1358668E-010, 1.8863276E-010, 2.7450316E-009, 2.5293309E-003, 1.7496034E-002
 6.5000000E+000, 7.3513905E+000, 1.6193407E+000, 5.5000000E+000, 4.1536635E+002, 4.2302998E+002, 4.7841870E+002, 5.6195912E+002, 6.0198762E+002, 6.0783745E+002, 1.6793604E+002, 1.9287940E+002, 2.2176112E+002, 2.9508555E+002, 3.1525265E+002, 2.8250452E+002,-1.4500000E+001, 4.8491918E-010, 1.2872022E-010, 9.6529612E-010, 3.2712486E-004, 5.6419453E-003, 1.1358668E-010, 1.8863276E-010, 2.7450316E-009, 2.5293309E-003, 1.7496034E-002
 7.5000000E+000, 6.7824753E+000, 1.5866361E+000, 6.5000000E+000, 3.6151272E+002, 3.6766136E+002, 4.0353765E+002, 4.7767560E+002, 5.3123971E+002, 5.4347976E+002, 1.1367984E+002, 1.4149884E+002, 1.5633105E+002, 2.2963166E+002, 2.7257038E+002, 2.5640890E+002,-1.3500000E+001, 1.7577680E-008, 8.3344333E-009, 7.7320089E-008, 2.1448613E-003, 1.4310170E-002, 4.8031345E-009, 2.3592080E-008, 2.4516488E-007, 9.4490193E-003, 3.2043860E-002
 8.5000000E+000, 6.3321709E+000, 1.5104799E+000, 7.5000000E+000, 3.2446469E+002, 3.3161026E+002, 3.5135248E+002, 4.0841744E+002, 4.6903467E+002, 4.9359263E+002, 7.5645180E+001, 1.0109508E+002, 1.0262160E+002, 1.6894549E+002, 2.3031802E+002, 2.3281854E+002,-1.2500000E+001, 1.7577680E-008, 8.3344333E-009, 7.7320089E-008, 2.1448613E-003, 1.4310170E-002, 4.8031345E-009, 2.3592080E-008, 2.4516488E-007, 9.4490193E-003, 3.2043860E-002
