s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-2.0492190E-003,-1.6581861E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0492191E-003, 0.0000000E+000, 0.0000000E+000
 5.0100696E-001, 2.8106763E+000,-2.6913004E-001,-2.0720773E-002,-8.7007037E-002,-1.4956159E-004, 0.0000000E+000, 0.0000000E+000, 2.2523252E+000, 2.4336689E+000, 7.9692500E-005, 7.9692500E-005
 1.0015523E+000, 7.7045348E+000,-1.4998316E+000,-1.4221008E+000,-1.4238593E-001,-3.4642311E-004, 0.0000000E+000, 0.0000000E+000, 4.1124683E+000, 4.6398700E+000, 2.0068960E-004, 2.0068960E-004
 1.5010635E+000, 1.1555408E+001,-2.4805368E+000,-7.5848557E+000,-1.4630546E-001,-4.3755492E-004, 0.0000000E+000, 0.0000000E+000, 1.0378432E+000, 1.3432723E+000, 2.6933664E-004, 2.6933664E-004
 2.0011134E+000, 1.3364685E+001,-2.9951310E+000,-9.1594751E+000,-1.5040251E-001,-4.7732733E-004, 0.0000000E+000, 0.0000000E+000, 6.9544333E-001, 1.0591991E+000, 2.9975813E-004, 2.9975813E-004
 2.5000391E+000, 1.3909873E+001,-2.9515665E+000,-1.0433620E+001,-1.5279562E-001,-4.8653463E-004, 0.0000000E+000, 0.0000000E+000, 3.6328477E-002, 3.7140402E-001, 3.1182979E-004, 3.1182979E-004
 3.0010228E+000, 1.4466267E+001,-3.0191012E+000,-9.1346980E+000,-1.5137927E-001,-4.8823552E-004, 0.0000000E+000, 0.0000000E+000, 1.4440517E+000, 2.1605999E+000, 3.1640580E-004, 3.1640580E-004
 3.5001297E+000, 1.4454692E+001,-3.3089346E+000,-1.1262904E+001,-1.5953660E-001,-4.9121100E-004, 0.0000000E+000, 0.0000000E+000,-7.9009713E-001,-2.7717420E-001, 3.1810850E-004, 3.1810850E-004
 4.0008054E+000, 1.4520070E+001,-3.1781549E+000,-1.0472180E+001,-1.5470917E-001,-4.9030616E-004, 0.0000000E+000, 0.0000000E+000, 4.0017631E-001, 7.1453606E-001, 3.1873686E-004, 3.1873686E-004
 4.5016832E+000, 1.4461787E+001,-3.2437954E+000,-1.0376635E+001,-1.5765741E-001,-4.9894608E-004, 0.0000000E+000, 0.0000000E+000, 1.9208171E-001, 6.8320001E-001, 3.1896875E-004, 3.1896875E-004
 5.0010695E+000, 1.4702709E+001,-3.2343286E+000,-1.0128040E+001,-1.6327154E-001,-4.9120774E-004, 0.0000000E+000, 0.0000000E+000, 5.9734152E-001, 1.1765780E+000, 3.1905393E-004, 3.1905393E-004
 5.5009198E+000, 1.4462474E+001,-3.2387258E+000,-1.0896666E+001,-1.5604770E-001,-4.9491861E-004, 0.0000000E+000, 0.0000000E+000,-4.0625531E-001, 1.7053914E-001, 3.1908522E-004, 3.1908522E-004
 6.0010366E+000, 1.4550282E+001,-3.1902579E+000,-1.0573039E+001,-1.5047288E-001,-4.9402919E-004, 0.0000000E+000, 0.0000000E+000, 2.4086896E-001, 6.3601777E-001, 3.1909675E-004, 3.1909675E-004
 6.5008006E+000, 1.4548040E+001,-3.0850545E+000,-1.0827335E+001,-1.5725183E-001,-4.9880774E-004, 0.0000000E+000, 0.0000000E+000,-5.2166959E-003, 4.7789986E-001, 3.1910100E-004, 3.1910100E-004
 7.0016479E+000, 1.4567506E+001,-3.1926216E+000,-1.0695414E+001,-1.5096372E-001,-4.9245136E-004, 0.0000000E+000, 0.0000000E+000, 3.5466992E-002, 5.2801473E-001, 3.1910256E-004, 3.1910256E-004
 7.5014429E+000, 1.4780928E+001,-3.2638569E+000,-9.7436101E+000,-1.5454931E-001,-4.9431650E-004, 0.0000000E+000, 0.0000000E+000, 1.0724956E+000, 1.6184175E+000, 3.1910313E-004, 3.1910313E-004
