Time,Chi_r
0.501, 0.148
1.001, 0.221
1.500, 0.243
2.001, 0.241
2.500, 0.252
3.000, 0.225
3.501, 0.236
4.000, 0.232
4.500, 0.233
5.000, 0.232
5.501, 0.238
6.000, 0.237
6.500, 0.243
7.000, 0.241
7.501, 0.242
8.000, 0.246
8.500, 0.242
9.000, 0.241
9.500, 0.246
10.001, 0.238
10.501, 0.241
11.001, 0.235
11.501, 0.236
12.001, 0.239
12.500, 0.243
13.000, 0.241
13.501, 0.245
14.000, 0.239
14.501, 0.238
15.000, 0.237
15.501, 0.233
16.000, 0.232
16.501, 0.244
17.001, 0.250
17.501, 0.238
18.000, 0.239
18.501, 0.240
19.001, 0.244
19.501, 0.242
20.000, 0.239
