Time,Chi_r
0.500, 0.191
1.000, 0.259
1.500, 0.281
2.001, 0.271
2.500, 0.286
3.000, 0.279
3.500, 0.276
4.000, 0.281
4.500, 0.287
5.000, 0.271
5.500, 0.280
6.000, 0.279
6.500, 0.269
7.000, 0.291
7.500, 0.286
8.000, 0.279
8.500, 0.274
9.000, 0.288
9.500, 0.277
10.000, 0.278
10.500, 0.286
11.000, 0.281
11.500, 0.280
12.000, 0.287
12.500, 0.289
13.000, 0.296
13.500, 0.284
14.000, 0.283
14.500, 0.283
15.000, 0.295
15.500, 0.280
16.000, 0.291
16.500, 0.274
17.000, 0.284
17.500, 0.288
18.000, 0.279
18.500, 0.271
19.000, 0.263
19.500, 0.262
20.000, 0.273
