XO2,eta,Chi_R
0.208, -0.10,  2.04
0.208,  0.08,  0.23
0.208,  0.89,  0.29
0.208,  0.99,  0.26
0.208,  0.99,  0.25
0.208,  1.01,  0.25
0.207,  0.99,  0.26
0.202,  0.99,  0.26
0.197,  0.99,  0.25
0.192,  0.99,  0.24
0.187,  1.00,  0.24
0.182,  0.98,  0.24
0.178,  1.01,  0.23
0.174,  0.98,  0.22
0.169,  0.99,  0.21
0.166,  1.00,  0.21
0.162,  0.98,  0.21
0.159,  1.00,  0.19
0.155,  0.99,  0.19
0.152,  1.00,  0.19
0.149,  0.99,  0.18
0.146,  0.99,  0.17
0.143,  0.99,  0.16
0.140,  0.98,  0.16
0.138,  1.00,  0.15
0.135,  0.98,  0.15
0.133,  1.00,  0.14
0.131,  0.98,  0.14
0.128,  0.98,  0.13
0.126,  0.97,  0.13
0.124,  0.99,  0.12
0.122,  0.98,  0.11
0.120,  0.96,  0.11
0.118,  0.97,  0.10
0.116,  0.99,  0.09
0.115,  0.97,  0.09
0.113,  0.94,  0.08
0.111,  0.98,  0.07
0.109,  0.96,  0.06
0.108,  0.91,  0.06
0.106,  0.98,  0.04
0.105,  0.99,  0.04
0.103,  0.91,  0.03
0.102,  0.79,  0.01
0.101,  0.34,  0.00
0.099,  0.16,  0.00
0.098,  0.09,  0.00
0.097,  0.05,  0.00
0.095,  0.02,  0.00
0.094, -0.01,  0.00
0.093, -0.02,  0.00
0.092, -0.03,  0.00
0.091, -0.04,  0.00
0.090, -0.05,  0.00
0.089, -0.05,  0.00
0.088, -0.05,  0.00
0.087, -0.06,  0.00
0.086, -0.06,  0.00
0.085, -0.06,  0.00
0.084, -0.07,  0.00
0.083, -0.07,  0.00
0.082, -0.07,  0.00
0.081, -0.07,  0.00
0.080, -0.07,  0.00
0.079, -0.07,  0.00
0.078, -0.07,  0.00
