XO2,eta,Chi_R
0.208, -0.10,  2.04
0.208, -0.02,  0.00
0.208,  0.88,  0.25
0.208,  1.00,  0.25
0.208,  0.98,  0.24
0.208,  0.99,  0.23
0.207,  0.97,  0.24
0.202,  0.97,  0.24
0.197,  0.96,  0.24
0.192,  0.99,  0.23
0.187,  0.96,  0.22
0.182,  0.97,  0.23
0.178,  0.96,  0.22
0.174,  0.96,  0.22
0.170,  0.98,  0.21
0.166,  0.95,  0.20
0.162,  0.97,  0.20
0.159,  0.96,  0.19
0.155,  0.96,  0.18
0.152,  0.93,  0.18
0.149,  0.98,  0.18
0.146,  0.95,  0.16
0.143,  0.97,  0.16
0.141,  0.96,  0.15
0.138,  0.98,  0.15
0.135,  0.95,  0.14
0.133,  0.95,  0.13
0.131,  0.96,  0.13
0.128,  0.94,  0.12
0.126,  0.98,  0.11
0.124,  0.93,  0.11
0.122,  0.96,  0.10
0.120,  0.93,  0.10
0.118,  0.96,  0.09
0.116,  0.94,  0.08
0.115,  0.97,  0.07
0.113,  0.94,  0.07
0.111,  0.90,  0.06
0.110,  0.93,  0.04
0.108,  0.95,  0.04
0.106,  0.91,  0.03
0.105,  0.92,  0.02
0.103,  0.88,  0.01
0.102,  0.88,  0.00
0.101,  0.87,  0.00
0.099,  0.60,  0.00
0.098,  0.28,  0.00
0.097,  0.15,  0.00
0.095,  0.07,  0.00
0.094,  0.02,  0.00
0.093,  0.00,  0.00
0.092, -0.02,  0.00
0.091, -0.03,  0.00
0.090, -0.03,  0.00
0.089, -0.04,  0.00
0.088, -0.04,  0.00
0.087, -0.05,  0.00
0.086, -0.05,  0.00
0.085, -0.05,  0.00
0.084, -0.06,  0.00
0.083, -0.06,  0.00
0.082, -0.06,  0.00
0.081, -0.06,  0.00
0.080, -0.06,  0.00
0.079, -0.06,  0.00
0.078, -0.07,  0.00
