XO2,eta,Chi_R
0.208, -0.10,  2.04
0.208,  0.03,  0.01
0.208,  0.78,  0.15
0.208,  0.95,  0.16
0.208,  1.00,  0.15
0.208,  0.99,  0.16
0.207,  0.96,  0.15
0.202,  0.97,  0.15
0.197,  0.97,  0.15
0.192,  0.95,  0.15
0.187,  1.01,  0.14
0.182,  0.96,  0.13
0.178,  0.97,  0.12
0.174,  0.94,  0.12
0.170,  0.94,  0.12
0.166,  0.94,  0.11
0.162,  0.97,  0.10
0.159,  0.98,  0.10
0.155,  0.94,  0.08
0.152,  0.94,  0.08
0.149,  0.96,  0.08
0.146,  0.93,  0.07
0.143,  0.92,  0.05
0.141,  0.94,  0.05
0.138,  0.94,  0.04
0.135,  0.96,  0.03
0.133,  0.95,  0.02
0.131,  0.90,  0.02
0.128,  0.88,  0.01
0.126,  0.92,  0.01
0.124,  0.94,  0.00
0.122,  0.83,  0.00
0.120,  0.78,  0.00
0.118,  0.48,  0.00
0.116,  0.19,  0.00
0.115,  0.05,  0.00
0.113,  0.02,  0.00
0.111, -0.01,  0.00
0.110, -0.03,  0.00
0.108, -0.04,  0.00
0.106, -0.04,  0.00
0.105, -0.05,  0.00
0.103, -0.05,  0.00
0.102, -0.05,  0.00
0.101, -0.06,  0.00
0.099, -0.06,  0.00
0.098, -0.06,  0.00
0.097, -0.06,  0.00
0.095, -0.06,  0.00
0.094, -0.07,  0.00
0.093, -0.07,  0.00
0.092, -0.07,  0.00
0.091, -0.07,  0.00
0.090, -0.07,  0.00
0.089, -0.08,  0.00
0.088, -0.08,  0.00
0.087, -0.08,  0.00
0.086, -0.08,  0.00
0.085, -0.08,  0.00
0.084, -0.08,  0.00
0.083, -0.08,  0.00
0.082, -0.08,  0.00
0.081, -0.08,  0.00
0.080, -0.08,  0.00
0.079, -0.08,  0.00
0.078, -0.08,  0.00
