XO2,eta,Chi_R
0.208, -0.10,  3.00
0.208, -0.10,  0.00
0.208, -0.10,  0.00
0.208, -0.10,  0.00
0.208, -0.10,  0.00
0.208, -0.10,  0.00
0.202, -0.10,  0.00
0.197, -0.10,  0.00
0.192, -0.10,  0.00
0.187, -0.10,  0.00
0.183, -0.10,  0.00
0.178, -0.10,  0.00
0.174, -0.10,  0.00
0.170, -0.10,  0.00
0.166, -0.10,  0.00
0.163, -0.10,  0.00
0.159, -0.10,  0.00
0.156, -0.10,  0.00
0.153, -0.10,  0.00
0.150, -0.10,  0.00
0.147, -0.10,  0.00
0.144, -0.10,  0.00
0.141, -0.10,  0.00
0.139, -0.10,  0.00
0.136, -0.10,  0.00
0.134, -0.10,  0.00
0.131, -0.10,  0.00
0.129, -0.10,  0.00
0.127, -0.10,  0.00
0.125, -0.10,  0.00
0.123, -0.10,  0.00
0.121, -0.10,  0.00
0.119, -0.10,  0.00
0.117, -0.10,  0.00
0.115, -0.10,  0.00
0.114, -0.10,  0.00
0.112, -0.10,  0.00
0.110, -0.10,  0.00
0.109, -0.10,  0.00
0.107, -0.10,  0.00
0.106, -0.10,  0.00
0.104, -0.10,  0.00
0.103, -0.10,  0.00
0.101, -0.10,  0.00
0.100, -0.10,  0.00
0.099, -0.10,  0.00
0.097, -0.10,  0.00
0.096, -0.10,  0.00
0.095, -0.10,  0.00
0.094, -0.10,  0.00
0.093, -0.10,  0.00
0.091, -0.10,  0.00
0.090, -0.10,  0.00
0.089, -0.10,  0.00
0.088, -0.10,  0.00
0.087, -0.10,  0.00
0.086, -0.10,  0.00
0.085, -0.10,  0.00
0.084, -0.10,  0.00
0.083, -0.10,  0.00
0.082, -0.10,  0.00
0.082, -0.10,  0.00
0.081, -0.10,  0.00
0.080, -0.10,  0.00
0.079, -0.10,  0.00
0.078, -0.10,  0.00
