s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-2.9989499E-003, 8.6102254E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9989499E-003, 0.0000000E+000, 0.0000000E+000
 1.0014966E+000, 2.9714461E-002, 2.9375252E-002, 7.9004650E-001,-2.5735091E-003,-9.1709239E-005, 0.0000000E+000, 2.5422765E-001, 3.0172668E-001, 1.1006986E+000, 1.0344678E-004, 3.2805213E-001
 2.0001588E+000, 1.0717894E+001,-2.1220482E+000, 1.5464312E-001,-7.3657557E-002,-2.1614717E-004, 0.0000000E+000, 6.3464340E-001, 9.2595632E+000, 9.3112589E+000, 2.1032249E-004, 3.2815900E-001
 3.0001447E+000, 1.0399038E+001,-2.1621354E+000,-8.6531850E+000,-1.9257441E-001,-2.3508937E-004, 0.0000000E+000, 8.2295228E-001, 6.8783398E-002, 2.1386083E-001, 2.3219812E-004, 3.2818088E-001
 4.0008383E+000, 1.0542618E+001,-2.2380558E+000,-9.9191630E+000,-1.8791128E-001,-2.3167477E-004, 0.0000000E+000, 8.4490141E-001,-1.1131181E+000,-9.5784234E-001, 2.3538718E-004, 3.2818407E-001
 5.0000458E+000, 1.0651661E+001,-2.2024234E+000,-9.0686758E+000,-1.8532405E-001,-2.3247700E-004, 0.0000000E+000, 8.4538070E-001,-1.2230195E-001, 4.0386025E-002, 2.3582298E-004, 3.2818458E-001
 6.0007477E+000, 1.0589789E+001,-2.1909618E+000,-7.7995457E+000,-1.8050457E-001,-2.3599909E-004, 0.0000000E+000, 8.4915427E-001, 1.1014538E+000, 1.2676949E+000, 2.3588200E-004, 3.3260391E-001
 7.0008783E+000, 1.0634353E+001,-2.1638464E+000,-9.2496230E+000,-1.7716209E-001,-2.3465203E-004, 0.0000000E+000, 8.4864532E-001,-2.7042493E-001,-1.0786789E-001, 2.3589000E-004, 3.4143097E-001
 8.0006971E+000, 1.0584558E+001,-2.1184273E+000,-8.4782488E+000,-1.7281503E-001,-2.3099273E-004, 0.0000000E+000, 8.5275580E-001, 5.0789957E-001, 6.6759115E-001, 2.3589108E-004, 3.5025404E-001
