XO2,eta,Chi_R
0.208, -0.10,  2.04
0.208, -0.04,  6.98
0.208,  0.73,  0.13
0.208,  1.06,  0.14
0.208,  1.03,  0.14
0.208,  1.01,  0.14
0.207,  1.01,  0.14
0.202,  1.01,  0.14
0.197,  0.99,  0.13
0.191,  0.98,  0.14
0.187,  1.00,  0.13
0.182,  0.98,  0.13
0.178,  0.96,  0.12
0.173,  0.99,  0.12
0.169,  0.98,  0.11
0.166,  0.96,  0.10
0.162,  0.94,  0.10
0.159,  0.96,  0.09
0.155,  1.00,  0.08
0.152,  0.93,  0.08
0.149,  0.96,  0.08
0.146,  0.97,  0.07
0.143,  0.92,  0.06
0.140,  0.88,  0.06
0.138,  0.83,  0.05
0.135,  0.92,  0.04
0.133,  0.67,  0.03
0.131,  0.26,  0.00
0.128,  0.01,  0.00
0.126, -0.03,  0.00
0.124, -0.04,  0.00
0.122, -0.05,  0.00
