s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-2.9989499E-003, 8.6102254E-013, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9989499E-003, 0.0000000E+000, 0.0000000E+000
 1.0000643E+000, 2.0833234E-002, 2.3080238E-002, 7.9616565E-001,-2.2017990E-003,-1.2204426E-004, 0.0000000E+000, 2.5664124E-001, 2.9124374E-001, 1.0943965E+000, 1.0208044E-004, 3.2805076E-001
 2.0003626E+000, 1.0541657E+001,-1.9342334E+000, 1.7690560E-001,-6.5562690E-002,-2.7853671E-004, 0.0000000E+000, 6.2743472E-001, 9.2768615E+000, 9.3459224E+000, 2.0772193E-004, 3.2815640E-001
 3.0006950E+000, 1.0343442E+001,-1.8775726E+000,-9.7182078E+000,-1.6927356E-001,-2.9492656E-004, 0.0000000E+000, 8.2012580E-001,-7.6762888E-001,-6.0178118E-001, 2.2937324E-004, 3.2817805E-001
 4.0005250E+000, 1.0652140E+001,-1.9178455E+000,-9.1076131E+000,-1.6413198E-001,-2.9183531E-004, 0.0000000E+000, 8.3987307E-001, 1.2245858E-001, 3.0213020E-001, 2.3252127E-004, 3.2818120E-001
 5.0008965E+000, 1.0660520E+001,-1.8950126E+000,-8.4926091E+000,-1.6159433E-001,-2.9753629E-004, 0.0000000E+000, 8.4243330E-001, 7.6837953E-001, 9.5343964E-001, 2.3295151E-004, 3.2818175E-001
 6.0000238E+000, 1.0609333E+001,-1.9294645E+000,-8.9381585E+000,-1.5929711E-001,-3.0106624E-004, 0.0000000E+000, 8.4738936E-001, 2.5097334E-001, 4.2950092E-001, 2.3300981E-004, 3.3260141E-001
 7.0006175E+000, 1.0490804E+001,-1.8846191E+000,-9.4116989E+000,-1.5670060E-001,-2.9673949E-004, 0.0000000E+000, 8.4522788E-001,-2.9975677E-001,-1.1728340E-001, 2.3301770E-004, 3.4142382E-001
 8.0003357E+000, 1.0591801E+001,-1.8066925E+000,-9.4428136E+000,-1.5482188E-001,-2.8930606E-004, 0.0000000E+000, 8.4815336E-001,-1.4828064E-001, 3.5336843E-002, 2.3301877E-004, 3.5024910E-001
