XO2,eta,Chi_R
0.208, -0.10,  2.04
0.208,  0.06,  0.12
0.208,  0.75,  0.20
0.208,  1.05,  0.17
0.208,  1.01,  0.17
0.208,  1.00,  0.17
0.207,  1.01,  0.17
0.202,  0.99,  0.17
0.197,  0.99,  0.17
0.192,  0.98,  0.16
0.187,  1.00,  0.16
0.182,  1.00,  0.15
0.178,  0.98,  0.14
0.173,  0.98,  0.14
0.169,  0.98,  0.13
0.166,  0.98,  0.13
0.162,  0.99,  0.13
0.159,  0.97,  0.12
0.155,  0.95,  0.11
0.152,  0.98,  0.11
0.149,  0.92,  0.10
0.146,  0.98,  0.10
0.143,  0.97,  0.09
0.141,  0.92,  0.08
0.138,  1.00,  0.07
0.135,  0.92,  0.07
0.133,  1.01,  0.06
0.131,  0.87,  0.05
0.128,  1.04,  0.04
0.126,  0.93,  0.04
0.124,  0.95,  0.03
0.122,  0.87,  0.02
0.120,  0.33,  0.00
0.118,  0.15,  0.00
0.116,  0.07,  0.00
0.115,  0.02,  0.00
0.113, -0.01,  0.00
0.111, -0.02,  0.00
0.109, -0.04,  0.00
0.108, -0.05,  0.00
0.106, -0.05,  0.00
0.105, -0.06,  0.00
0.103, -0.07,  0.00
0.102, -0.07,  0.00
0.101, -0.07,  0.00
0.099, -0.07,  0.00
0.098, -0.08,  0.00
0.097, -0.08,  0.00
0.095, -0.08,  0.00
0.094, -0.08,  0.00
0.093, -0.08,  0.00
0.092, -0.08,  0.00
0.091, -0.08,  0.00
0.090, -0.08,  0.00
0.089, -0.08,  0.00
0.088, -0.08,  0.00
0.087, -0.08,  0.00
0.086, -0.08,  0.00
0.085, -0.09,  0.00
0.084, -0.09,  0.00
0.083, -0.09,  0.00
0.082, -0.09,  0.00
0.081, -0.09,  0.00
0.080, -0.09,  0.00
0.079, -0.09,  0.00
0.078, -0.09,  0.00
