Time,Chi_r
0.501, 0.152
1.000, 0.218
1.500, 0.232
2.000, 0.243
2.500, 0.250
3.000, 0.253
3.500, 0.237
4.000, 0.239
4.500, 0.248
5.000, 0.230
5.500, 0.224
6.000, 0.225
6.500, 0.240
7.000, 0.230
7.500, 0.231
8.000, 0.231
8.500, 0.238
9.000, 0.246
9.500, 0.256
10.000, 0.236
10.500, 0.229
11.000, 0.227
11.500, 0.229
12.000, 0.235
12.500, 0.230
13.000, 0.225
13.500, 0.239
14.000, 0.231
14.500, 0.230
15.000, 0.224
15.500, 0.227
16.000, 0.237
16.500, 0.226
17.000, 0.231
17.500, 0.233
18.000, 0.223
18.500, 0.232
19.000, 0.237
19.500, 0.238
20.000, 0.234
