XO2,eta,Chi_R
0.208, -0.10,  3.00
0.208, -0.10,  0.00
0.208,  0.96,  0.20
0.208,  0.93,  0.20
0.208,  0.96,  0.20
0.208,  0.96,  0.20
0.202,  0.96,  0.20
0.197,  0.96,  0.20
0.192,  0.95,  0.19
0.187,  0.95,  0.18
0.183,  0.95,  0.17
0.178,  0.95,  0.17
0.174,  0.95,  0.16
0.170,  0.94,  0.15
0.166,  0.96,  0.15
0.163,  0.96,  0.14
0.159,  0.94,  0.13
0.156,  0.96,  0.12
0.153,  0.93,  0.11
0.150,  0.94,  0.11
0.147,  0.94,  0.10
0.144,  0.97,  0.09
0.141,  0.94,  0.08
0.139,  0.94,  0.07
0.136,  0.94,  0.06
0.134,  0.95,  0.05
0.131,  0.94,  0.04
0.129,  0.94,  0.03
0.127,  0.97,  0.02
0.125,  0.93,  0.02
0.123,  0.90,  0.01
0.121,  0.89,  0.00
0.119,  0.84,  0.00
0.117,  0.59,  0.00
0.115,  0.23,  0.00
0.114,  0.06,  0.00
0.112, -0.04,  0.00
0.110, -0.05,  0.00
0.109, -0.06,  0.00
0.107, -0.07,  0.00
0.106, -0.07,  0.00
0.104, -0.07,  0.00
0.103, -0.08,  0.00
0.101, -0.08,  0.00
0.100, -0.08,  0.00
0.099, -0.08,  0.00
0.097, -0.08,  0.00
0.096, -0.08,  0.00
0.095, -0.08,  0.00
0.094, -0.08,  0.00
0.093, -0.08,  0.00
0.091, -0.09,  0.00
0.090, -0.09,  0.00
0.089, -0.10,  0.00
0.088, -0.10,  0.00
0.087, -0.10,  0.00
0.086, -0.10,  0.00
0.085, -0.10,  0.00
0.084, -0.10,  0.00
0.083, -0.10,  0.00
0.082, -0.10,  0.00
0.082, -0.10,  0.00
0.081, -0.10,  0.00
0.080, -0.10,  0.00
0.079, -0.10,  0.00
0.078, -0.10,  0.00
