XO2,eta,Chi_R
0.208, -0.10,  2.04
0.208,  0.10,  0.21
0.208,  0.81,  0.27
0.208,  0.98,  0.24
0.208,  1.01,  0.24
0.208,  0.99,  0.24
0.207,  1.01,  0.24
0.202,  0.98,  0.24
0.197,  1.00,  0.23
0.192,  0.99,  0.23
0.187,  0.99,  0.22
0.182,  0.98,  0.22
0.178,  0.99,  0.20
0.173,  1.00,  0.20
0.169,  0.97,  0.19
0.166,  0.98,  0.19
0.162,  1.00,  0.18
0.159,  0.99,  0.17
0.155,  0.99,  0.16
0.152,  0.97,  0.16
0.149,  0.99,  0.15
0.146,  0.97,  0.14
0.143,  0.99,  0.13
0.140,  1.01,  0.13
0.138,  0.93,  0.12
0.135,  1.01,  0.11
0.133,  0.93,  0.11
0.131,  0.99,  0.10
0.128,  0.96,  0.09
0.126,  0.93,  0.08
0.124,  1.05,  0.08
0.122,  0.94,  0.07
0.120,  0.91,  0.06
0.118,  0.94,  0.04
0.116,  0.93,  0.04
0.115,  0.93,  0.02
0.113,  0.63,  0.01
0.111,  0.20,  0.00
0.109,  0.11,  0.00
0.108,  0.06,  0.00
0.106,  0.01,  0.00
0.105, -0.01,  0.00
0.103, -0.03,  0.00
0.102, -0.04,  0.00
0.101, -0.05,  0.00
0.099, -0.05,  0.00
0.098, -0.06,  0.00
0.097, -0.06,  0.00
0.095, -0.06,  0.00
0.094, -0.07,  0.00
0.093, -0.07,  0.00
0.092, -0.07,  0.00
0.091, -0.07,  0.00
0.090, -0.07,  0.00
0.089, -0.08,  0.00
0.088, -0.08,  0.00
0.087, -0.08,  0.00
0.086, -0.08,  0.00
0.085, -0.08,  0.00
0.084, -0.08,  0.00
0.083, -0.08,  0.00
0.082, -0.08,  0.00
0.081, -0.08,  0.00
0.080, -0.08,  0.00
0.079, -0.08,  0.00
0.078, -0.08,  0.00
