XO2,eta,Chi_R
0.208, -0.10,  2.05
0.208, -0.08,  0.00
0.208,  0.69,  0.01
0.208,  1.04,  0.11
0.208,  0.95,  0.09
0.208,  0.96,  0.09
0.207,  0.96,  0.09
0.202,  0.97,  0.09
0.196,  0.96,  0.10
0.191,  0.96,  0.08
0.186,  0.96,  0.09
0.182,  0.96,  0.08
0.177,  0.96,  0.09
0.173,  0.95,  0.08
0.169,  0.96,  0.08
0.165,  0.95,  0.07
0.162,  0.96,  0.07
0.158,  0.96,  0.06
0.155,  0.94,  0.05
0.152,  0.95,  0.05
0.149,  0.95,  0.05
0.146,  0.95,  0.04
0.143,  0.94,  0.04
0.140,  0.95,  0.03
0.138,  0.94,  0.02
0.135,  0.94,  0.02
0.133,  0.94,  0.01
0.131,  0.93,  0.00
0.128,  0.94,  0.00
0.126,  0.93,  0.00
0.124,  0.93,  0.00
0.122,  0.92,  0.00
0.120,  0.93,  0.00
0.118,  0.91,  0.00
0.116,  0.91,  0.00
0.114,  0.91,  0.00
0.113,  0.89,  0.00
0.111,  0.89,  0.00
0.109,  0.82,  0.00
0.108,  0.76,  0.00
0.106,  0.62,  0.00
0.105,  0.44,  0.00
0.103,  0.33,  0.00
0.102,  0.23,  0.00
0.101,  0.16,  0.00
0.099,  0.11,  0.00
0.098,  0.05,  0.00
0.097, -0.00,  0.00
0.095, -0.03,  0.00
0.094, -0.04,  0.00
0.093, -0.04,  0.00
0.092, -0.05,  0.00
0.091, -0.06,  0.00
0.090, -0.06,  0.00
0.089, -0.06,  0.00
0.088, -0.06,  0.00
0.087, -0.06,  0.00
0.086, -0.07,  0.00
0.085, -0.07,  0.00
0.084, -0.08,  0.00
0.083, -0.09,  0.00
0.082, -0.09,  0.00
0.081, -0.09,  0.00
0.080, -0.09,  0.00
0.079, -0.09,  0.00
0.078, -0.09,  0.00
