s,mol/mol
Time,"XO2"
 0.0000000E+000, 2.0755890E-001
 1.0067422E+000, 2.0755890E-001
 2.0015593E+000, 2.0755890E-001
 3.0020240E+000, 2.0755890E-001
 4.0001701E+000, 2.0755890E-001
 5.0016523E+000, 2.0755736E-001
 6.0004756E+000, 2.0215263E-001
 7.0001251E+000, 1.9685605E-001
 8.0011943E+000, 1.9182479E-001
 9.0008280E+000, 1.8704497E-001
 1.0001182E+001, 1.8249940E-001
 1.1000085E+001, 1.7817409E-001
 1.2001283E+001, 1.7404164E-001
 1.3000783E+001, 1.7010418E-001
 1.4001454E+001, 1.6633200E-001
 1.5000354E+001, 1.6273249E-001
 1.6000915E+001, 1.5927994E-001
 1.7001589E+001, 1.5596962E-001
 1.8001781E+001, 1.5279806E-001
 1.9001415E+001, 1.4975142E-001
 2.0001196E+001, 1.4682801E-001
 2.1000977E+001, 1.4401586E-001
 2.2001315E+001, 1.4130386E-001
 2.3001396E+001, 1.3869627E-001
 2.4001161E+001, 1.3618134E-001
 2.5000475E+001, 1.3375924E-001
 2.6001554E+001, 1.3141632E-001
 2.7001070E+001, 1.2915805E-001
 2.8000442E+001, 1.2697781E-001
 2.9001531E+001, 1.2486434E-001
 3.0000763E+001, 1.2282660E-001
 3.1000508E+001, 1.2085023E-001
 3.2000546E+001, 1.1893699E-001
 3.3001860E+001, 1.1708213E-001
 3.4001492E+001, 1.1528700E-001
 3.5000892E+001, 1.1354576E-001
 3.6001132E+001, 1.1185422E-001
 3.7001727E+001, 1.1021249E-001
 3.8001027E+001, 1.0862016E-001
 3.9000870E+001, 1.0707292E-001
 4.0000162E+001, 1.0557024E-001
 4.1001555E+001, 1.0410439E-001
 4.2001456E+001, 1.0268269E-001
 4.3000412E+001, 1.0130056E-001
 4.4000941E+001, 9.9951669E-002
 4.5000044E+001, 9.8641872E-002
 4.6000400E+001, 9.7363022E-002
 4.7000483E+001, 9.6118065E-002
 4.8000754E+001, 9.4903573E-002
 4.9001340E+001, 9.3719127E-002
 5.0001460E+001, 9.2564644E-002
 5.1001202E+001, 9.1438224E-002
 5.2000673E+001, 9.0339331E-002
 5.3000575E+001, 8.9266887E-002
 5.4001505E+001, 8.8216721E-002
 5.5000563E+001, 8.7194257E-002
 5.6001923E+001, 8.6193346E-002
 5.7000275E+001, 8.5218479E-002
 5.8001058E+001, 8.4262040E-002
 5.9000766E+001, 8.3327964E-002
 6.0000744E+001, 8.2414334E-002
 6.1000723E+001, 8.1520224E-002
 6.2000574E+001, 8.0645189E-002
 6.3000682E+001, 7.9789028E-002
 6.4001414E+001, 7.8949924E-002
 6.5000000E+001, 7.8129962E-002
