s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.3000487E+001, 1.5411413E+001,-3.5599750E+000,-1.0592495E+001,-1.3375325E-001,-3.1876067E-004, 0.0000000E+000, 0.0000000E+000, 8.2237857E-001, 1.1248704E+000, 3.2635582E-004, 3.2635582E-004
 1.3500580E+001, 1.4379004E+001,-3.2631827E+000,-1.0777327E+001,-1.3465597E-001,-3.2158720E-004, 0.0000000E+000, 0.0000000E+000,-1.8759604E-001, 2.0351607E-001, 3.2635582E-004, 3.2635582E-004
 1.4000532E+001, 1.4607713E+001,-3.4123657E+000,-1.1413715E+001,-1.3308706E-001,-3.1912923E-004, 0.0000000E+000, 0.0000000E+000,-6.7771705E-001,-3.5177410E-001, 3.2635582E-004, 3.2635582E-004
 1.4500449E+001, 1.4736730E+001,-3.4224823E+000,-1.1998868E+001,-1.3620232E-001,-3.1632097E-004, 0.0000000E+000, 0.0000000E+000,-1.0478488E+000,-8.2113962E-001, 3.2635582E-004, 3.2635582E-004
 1.5000022E+001, 1.5314662E+001,-3.5137596E+000,-1.0085553E+001,-1.3031981E-001,-3.1966736E-004, 0.0000000E+000, 0.0000000E+000, 1.3623747E+000, 1.5847099E+000, 3.2635582E-004, 3.2635582E-004
 1.5500655E+001, 1.4744654E+001,-3.4324811E+000,-1.1510847E+001,-1.3477793E-001,-3.2002386E-004, 0.0000000E+000, 0.0000000E+000,-5.9623463E-001,-3.3377274E-001, 3.2635582E-004, 3.2635582E-004
 1.6000107E+001, 1.4460421E+001,-3.4055388E+000,-1.0339598E+001,-1.2974553E-001,-3.1224727E-004, 0.0000000E+000, 0.0000000E+000, 1.9320642E-001, 5.8522629E-001, 3.2635582E-004, 3.2635582E-004
 1.6500866E+001, 1.5280199E+001,-3.5962181E+000,-1.0480884E+001,-1.2852400E-001,-3.1241522E-004, 0.0000000E+000, 0.0000000E+000, 7.1937003E-001, 1.0742611E+000, 3.2635582E-004, 3.2635582E-004
 1.7000193E+001, 1.4422387E+001,-3.4567080E+000,-9.9290527E+000,-1.2736418E-001,-3.0610457E-004, 0.0000000E+000, 0.0000000E+000, 4.9067202E-001, 9.0895630E-001, 3.2635582E-004, 3.2635582E-004
 1.7500666E+001, 1.4730948E+001,-3.4712489E+000,-1.1827051E+001,-1.2747589E-001,-3.0635222E-004, 0.0000000E+000, 0.0000000E+000,-1.0121339E+000,-6.9513448E-001, 3.2635582E-004, 3.2635582E-004
 1.8000357E+001, 1.4934837E+001,-3.5406072E+000,-1.0121608E+001,-1.2924685E-001,-3.0763930E-004, 0.0000000E+000, 0.0000000E+000, 7.3957867E-001, 1.1430670E+000, 3.2635582E-004, 3.2635582E-004
 1.8500883E+001, 1.4787087E+001,-3.3867056E+000,-1.1011718E+001,-1.3171506E-001,-3.0788758E-004, 0.0000000E+000, 0.0000000E+000,-6.6069343E-002, 2.5663967E-001, 3.2635582E-004, 3.2635582E-004
 1.9000772E+001, 1.4945072E+001,-3.5016402E+000,-1.2313637E+001,-1.3779585E-001,-3.1263406E-004, 0.0000000E+000, 0.0000000E+000,-1.2459579E+000,-1.0083133E+000, 3.2635582E-004, 3.2635582E-004
 1.9500002E+001, 1.5058099E+001,-3.5438926E+000,-9.9726096E+000,-1.3077285E-001,-3.1624989E-004, 0.0000000E+000, 0.0000000E+000, 1.1148265E+000, 1.4105075E+000, 3.2635582E-004, 3.2635582E-004
 2.0000000E+001, 1.4991736E+001,-3.4438959E+000,-1.1493766E+001,-1.3662051E-001,-3.2423075E-004, 0.0000000E+000, 0.0000000E+000,-3.6553376E-001,-8.2870584E-002, 3.2635582E-004, 3.2635582E-004
