Time,Chi_r
0.503, 0.085
1.001, 0.171
1.502, 0.190
2.002, 0.193
2.500, 0.192
3.001, 0.192
3.500, 0.199
4.001, 0.198
4.501, 0.203
5.001, 0.200
5.500, 0.203
6.000, 0.207
6.501, 0.203
7.001, 0.201
7.502, 0.199
8.000, 0.198
8.501, 0.198
9.002, 0.205
9.500, 0.201
10.002, 0.196
10.501, 0.194
11.000, 0.193
11.501, 0.201
12.001, 0.196
12.501, 0.199
13.001, 0.196
13.500, 0.204
14.001, 0.193
14.501, 0.197
15.001, 0.208
15.502, 0.200
16.001, 0.202
16.501, 0.195
17.001, 0.193
17.500, 0.199
18.001, 0.199
18.500, 0.189
19.000, 0.197
19.502, 0.196
20.000, 0.194
