s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.5500306E+001, 1.5330631E+001,-3.1974893E+000,-1.2718184E+001,-1.0892449E-001,-1.3118318E-004, 0.0000000E+000, 0.0000000E+000,-1.0124462E+000,-6.9409777E-001, 3.3179508E-004, 3.3179508E-004
 1.6000048E+001, 1.4724774E+001,-3.1085573E+000,-1.2150544E+001,-9.2893578E-002,-1.3002018E-004, 0.0000000E+000, 0.0000000E+000,-9.3521927E-001,-6.2735121E-001, 3.3179508E-004, 3.3179508E-004
 1.6500395E+001, 1.4931814E+001,-3.2135492E+000,-1.0428086E+001,-8.7876557E-002,-1.3162579E-004, 0.0000000E+000, 0.0000000E+000, 8.2347672E-001, 1.2021702E+000, 3.3179508E-004, 3.3179508E-004
 1.7000376E+001, 1.4907636E+001,-3.0380087E+000,-1.1864902E+001,-8.7478130E-002,-1.3161409E-004, 0.0000000E+000, 0.0000000E+000,-4.2749322E-001,-8.2884080E-002, 3.3179508E-004, 3.3179508E-004
 1.7500317E+001, 1.5045931E+001,-3.2714364E+000,-1.0694976E+001,-9.6691738E-002,-1.3041862E-004, 0.0000000E+000, 0.0000000E+000, 5.4701367E-001, 9.8269674E-001, 3.3179508E-004, 3.3179508E-004
 1.8000141E+001, 1.5416567E+001,-3.3917812E+000,-1.1672372E+001,-9.6363308E-002,-1.3002330E-004, 0.0000000E+000, 0.0000000E+000,-1.0985664E-001, 2.5592032E-001, 3.3179508E-004, 3.3179508E-004
 1.8500338E+001, 1.4478292E+001,-2.9380728E+000,-1.2437222E+001,-9.2924020E-002,-1.3224719E-004, 0.0000000E+000, 0.0000000E+000,-1.3126019E+000,-9.9005941E-001, 3.3179508E-004, 3.3179508E-004
 1.9000311E+001, 1.4957684E+001,-3.0830731E+000,-1.0522152E+001,-8.6506095E-002,-1.3002112E-004, 0.0000000E+000, 0.0000000E+000, 8.8415545E-001, 1.2658235E+000, 3.3179508E-004, 3.3179508E-004
 1.9500242E+001, 1.5551704E+001,-3.3277162E+000,-1.1889056E+001,-9.3910932E-002,-1.3296412E-004, 0.0000000E+000, 0.0000000E+000,-9.4289425E-002, 2.4088793E-001, 3.3179508E-004, 3.3179508E-004
 2.0000000E+001, 1.4894367E+001,-3.2889490E+000,-1.0304517E+001,-9.3866621E-002,-1.3368247E-004, 0.0000000E+000, 0.0000000E+000, 9.0878593E-001, 1.2069013E+000, 3.3179508E-004, 3.3179508E-004
