Time,Chi_r
0.501, 0.098
1.000, 0.155
1.500, 0.176
2.001, 0.171
2.501, 0.175
3.000, 0.173
3.500, 0.177
4.001, 0.171
4.501, 0.169
5.001, 0.170
5.500, 0.171
6.000, 0.183
6.500, 0.169
7.000, 0.174
7.501, 0.180
8.000, 0.181
8.500, 0.175
9.000, 0.171
9.501, 0.174
10.001, 0.180
10.501, 0.175
11.000, 0.181
11.500, 0.184
12.001, 0.180
12.500, 0.172
13.001, 0.176
13.501, 0.178
14.000, 0.174
14.500, 0.178
15.001, 0.185
15.500, 0.173
16.001, 0.175
16.500, 0.177
17.000, 0.176
17.501, 0.180
18.000, 0.172
18.501, 0.179
19.000, 0.170
19.500, 0.177
20.000, 0.179
