cm,kW/m,kW/m,cm,K,K,K,K,K,K,K,K,K,K,K,K,cm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
z,RHRRPUL,RHRRPUL_rms,r,T_1p0D,T_1p5D,T_2p0D,T_2p5D,T_3p0D,T_3p5D,T_rms_1p0D,T_rms_1p5D,T_rms_2p0D,T_rms_2p5D,T_rms_3p0D,T_rms_3p5D,x,soot_0p5D,soot_1p0D,soot_1p5D,soot_2p5D,soot_3p5D,soot_rms_0p5D,soot_rms_1p0D,soot_rms_1p5D,soot_rms_2p5D,soot_rms_3p5D
 5.4696970E+000, 1.0590751E+001, 2.5797864E+000, 4.3000000E+000, 8.4000304E+002, 8.4868924E+002, 8.1695916E+002, 7.4324412E+002, 6.8929482E+002, 6.2928812E+002, 4.8678225E+002, 4.7857318E+002, 4.4768844E+002, 3.9497012E+002, 3.4897393E+002, 2.8445066E+002,-1.5560241E+001, 4.6968226E-019, 1.4066446E-014, 4.6994527E-008, 1.1877780E-004, 6.7055703E-003, 1.7019703E-018, 1.1447456E-013, 4.8292289E-007, 1.2579411E-003, 2.2245959E-002
 5.9666667E+000, 9.7973459E+000, 2.6134578E+000, 4.7800000E+000, 7.7061759E+002, 7.8192443E+002, 7.4852294E+002, 6.9655405E+002, 6.5316965E+002, 6.0221246E+002, 4.7525226E+002, 4.6065640E+002, 4.2163406E+002, 3.7591896E+002, 3.3165377E+002, 2.7608021E+002,-1.5066265E+001, 4.6968226E-019, 1.4066446E-014, 4.6994527E-008, 1.1877780E-004, 6.7055703E-003, 1.7019703E-018, 1.1447456E-013, 4.8292289E-007, 1.2579411E-003, 2.2245959E-002
 6.4636364E+000, 9.1945550E+000, 2.6621217E+000, 5.2600000E+000, 7.0355012E+002, 7.2663414E+002, 6.8477923E+002, 6.4705103E+002, 6.2008319E+002, 5.7776873E+002, 4.6103936E+002, 4.4238230E+002, 3.9812451E+002, 3.5243759E+002, 3.1738793E+002, 2.7335818E+002,-1.4572289E+001, 1.4150245E-017, 1.5408899E-012, 2.0608004E-006, 7.0774844E-004, 1.0002302E-002, 5.3216868E-017, 1.2913955E-011, 2.0858994E-005, 5.9853035E-003, 2.6489469E-002
 6.9606061E+000, 8.7295297E+000, 2.7452537E+000, 5.7400000E+000, 6.3208396E+002, 6.7456077E+002, 6.3065177E+002, 6.0186270E+002, 5.8550466E+002, 5.5490226E+002, 4.2365214E+002, 4.2636831E+002, 3.7460034E+002, 3.2916679E+002, 3.0125630E+002, 2.6245359E+002,-1.4078313E+001, 1.4150245E-017, 1.5408899E-012, 2.0608004E-006, 7.0774844E-004, 1.0002302E-002, 5.3216868E-017, 1.2913955E-011, 2.0858994E-005, 5.9853035E-003, 2.6489469E-002
 7.4575758E+000, 8.3855609E+000, 2.8652305E+000, 6.2200000E+000, 5.6707616E+002, 6.2413537E+002, 5.8234329E+002, 5.6339433E+002, 5.6065654E+002, 5.3225604E+002, 3.9119394E+002, 4.0267413E+002, 3.4520033E+002, 3.1044589E+002, 2.9173526E+002, 2.5031324E+002,-1.3584337E+001, 3.1617357E-016, 1.2586827E-010, 5.9961773E-005, 2.8299304E-003, 1.4840583E-002, 1.2371702E-015, 9.9292294E-010, 5.7691381E-004, 1.2733381E-002, 2.9894249E-002
 7.9545455E+000, 8.1394622E+000, 3.0135317E+000, 6.7000000E+000, 5.1766153E+002, 5.7320846E+002, 5.4275023E+002, 5.2766987E+002, 5.3821245E+002, 5.0705535E+002, 3.6747063E+002, 3.8117169E+002, 3.2552516E+002, 2.9095587E+002, 2.8187808E+002, 2.3297939E+002,-1.3090361E+001, 3.1617357E-016, 1.2586827E-010, 5.9961773E-005, 2.8299304E-003, 1.4840583E-002, 1.2371702E-015, 9.9292294E-010, 5.7691381E-004, 1.2733381E-002, 2.9894249E-002
 8.4515152E+000, 7.9790836E+000, 3.1944665E+000, 7.1800000E+000, 4.7875516E+002, 5.3085436E+002, 5.0942814E+002, 4.9337898E+002, 5.1096658E+002, 4.8280575E+002, 3.4093056E+002, 3.6596254E+002, 3.0546484E+002, 2.6871074E+002, 2.6298323E+002, 2.2116405E+002,-1.2596386E+001, 8.4861052E-015, 9.0200289E-009, 1.0036391E-003, 9.2593461E-003, 2.2718837E-002, 3.4951087E-014, 6.6928472E-008, 8.9157145E-003, 2.5658335E-002, 3.5878718E-002
 8.9484848E+000, 7.8876793E+000, 3.4016227E+000, 7.6600000E+000, 4.4120821E+002, 4.8918763E+002, 4.7267488E+002, 4.6309317E+002, 4.8009388E+002, 4.6308116E+002, 3.0432637E+002, 3.3859221E+002, 2.7950431E+002, 2.4537024E+002, 2.4499635E+002, 2.0895717E+002,-1.2102410E+001, 8.4861052E-015, 9.0200289E-009, 1.0036391E-003, 9.2593461E-003, 2.2718837E-002, 3.4951087E-014, 6.6928472E-008, 8.9157145E-003, 2.5658335E-002, 3.5878718E-002
 9.4454545E+000, 7.8530857E+000, 3.6286033E+000, 8.1400000E+000, 4.0354715E+002, 4.5109843E+002, 4.3989413E+002, 4.3588964E+002, 4.5139285E+002, 4.4487471E+002, 2.6405073E+002, 3.0926214E+002, 2.5932407E+002, 2.2480600E+002, 2.2778225E+002, 1.9558142E+002,-1.1608434E+001, 6.9566439E-014, 3.8919353E-007, 2.9010923E-003, 1.5267432E-002, 2.8527487E-002, 2.9167456E-013, 3.9572186E-006, 2.2851758E-002, 3.8147048E-002, 4.1570682E-002
 9.9424242E+000, 7.8724142E+000, 3.8771947E+000, 8.6200000E+000, 3.6984084E+002, 4.1478689E+002, 4.0746699E+002, 4.1352289E+002, 4.2635802E+002, 4.2963084E+002, 2.2679504E+002, 2.7518480E+002, 2.2995877E+002, 2.0203714E+002, 2.0271908E+002, 1.8558511E+002,-1.1114458E+001, 1.1920760E-012, 6.7944650E-006, 5.0044226E-003, 2.2742973E-002, 3.6585993E-002, 4.9329398E-012, 7.1213136E-005, 3.3756184E-002, 4.9705860E-002, 4.8341963E-002
