Time,Chi_r
0.501, 0.215
1.000, 0.289
1.501, 0.299
2.000, 0.306
2.500, 0.306
3.000, 0.315
3.500, 0.294
4.000, 0.317
4.500, 0.306
5.000, 0.307
5.500, 0.306
6.000, 0.293
6.500, 0.292
7.000, 0.307
7.500, 0.320
8.000, 0.305
8.500, 0.302
9.000, 0.304
9.500, 0.310
10.000, 0.288
10.500, 0.309
11.000, 0.307
11.500, 0.300
12.000, 0.298
12.500, 0.311
13.000, 0.304
13.500, 0.289
14.000, 0.312
14.500, 0.302
15.000, 0.300
15.500, 0.299
16.000, 0.314
16.500, 0.310
17.001, 0.300
17.500, 0.302
18.000, 0.302
18.500, 0.304
19.000, 0.308
19.500, 0.310
20.000, 0.309
