X_125, X_250, XO2_125, XO2_250
-0.248440, -0.248440, 0.207823, 0.207823
-0.245315, -0.245315, 0.207823, 0.207823
-0.242190, -0.242190, 0.207823, 0.207823
-0.239065, -0.239065, 0.207821, 0.207823
-0.235940, -0.235940, 0.207811, 0.207823
-0.232815, -0.232815, 0.207760, 0.207823
-0.229690, -0.229690, 0.207558, 0.207823
-0.226565, -0.226565, 0.207023, 0.207823
-0.223440, -0.223440, 0.205995, 0.207823
-0.220315, -0.220315, 0.204419, 0.207823
-0.217190, -0.217190, 0.202496, 0.207823
-0.214065, -0.214065, 0.200444, 0.207823
-0.210940, -0.210940, 0.198573, 0.207823
-0.207815, -0.207815, 0.196993, 0.207823
-0.204690, -0.204690, 0.195615, 0.207823
-0.201565, -0.201565, 0.194372, 0.207823
-0.198439, -0.198439, 0.193198, 0.207823
-0.195314, -0.195314, 0.192001, 0.207823
-0.192189, -0.192189, 0.190713, 0.207823
-0.189064, -0.189064, 0.189282, 0.207823
-0.185939, -0.185939, 0.187708, 0.207823
-0.182814, -0.182814, 0.186104, 0.207823
-0.179689, -0.179689, 0.184603, 0.207823
-0.176564, -0.176564, 0.183297, 0.207823
-0.173439, -0.173439, 0.182282, 0.207823
-0.170314, -0.170314, 0.181628, 0.207822
-0.167189, -0.167189, 0.181281, 0.207820
-0.164064, -0.164064, 0.181122, 0.207813
-0.160939, -0.160939, 0.181058, 0.207795
-0.157814, -0.157814, 0.181035, 0.207746
-0.154689, -0.154689, 0.181027, 0.207631
-0.151564, -0.151564, 0.181024, 0.207386
-0.148439, -0.148439, 0.181023, 0.207003
-0.145314, -0.145314, 0.181023, 0.206424
-0.142189, -0.142189, 0.181023, 0.205609
-0.139064, -0.139064, 0.181023, 0.204533
-0.135939, -0.135939, 0.181023, 0.203262
-0.132814, -0.132814, 0.181023, 0.201911
-0.129689, -0.129689, 0.181023, 0.200588
-0.126564, -0.126564, 0.181023, 0.199348
-0.123439, -0.123439, 0.181023, 0.198188
-0.120314, -0.120314, 0.181023, 0.197133
-0.117189, -0.117189, 0.181023, 0.196132
-0.114064, -0.114064, 0.181023, 0.195113
-0.110939, -0.110939, 0.181023, 0.194112
-0.107814, -0.107814, 0.181023, 0.193072
-0.104689, -0.104689, 0.181023, 0.191815
-0.101564, -0.101564, 0.181023, 0.190230
-0.098438, -0.098438, 0.181023, 0.188439
-0.095313, -0.095313, 0.181023, 0.186509
-0.092188, -0.092188, 0.181023, 0.184242
-0.089063, -0.089063, 0.181023, 0.181818
-0.085938, -0.085938, 0.181023, 0.179024
-0.082813, -0.082813, 0.181023, 0.175909
-0.079688, -0.079688, 0.181022, 0.172276
-0.076563, -0.076563, 0.181015, 0.168443
-0.073438, -0.073438, 0.180955, 0.164270
-0.070313, -0.070313, 0.180727, 0.159816
-0.067188, -0.067188, 0.180386, 0.155592
-0.064063, -0.064063, 0.179796, 0.151620
-0.060938, -0.060938, 0.178564, 0.147373
-0.057813, -0.057813, 0.176428, 0.142996
-0.054688, -0.054688, 0.173555, 0.139099
-0.051563, -0.051563, 0.170102, 0.135093
-0.048438, -0.048438, 0.165940, 0.131079
-0.045313, -0.045313, 0.161368, 0.127355
