X_125, X_250, TC_125, TC_250
-0.248440, -0.248440, 32.050514, 32.260573
-0.245315, -0.245315, 32.288533, 32.441091
-0.242190, -0.242190, 32.529510, 32.624258
-0.239065, -0.239065, 32.774330, 32.810289
-0.235940, -0.235940, 33.021241, 32.999544
-0.232815, -0.232815, 33.268756, 33.192559
-0.229690, -0.229690, 33.516566, 33.390870
-0.226565, -0.226565, 33.760316, 33.597598
-0.223440, -0.223440, 33.990216, 33.809400
-0.220315, -0.220315, 34.198249, 34.032070
-0.217190, -0.217190, 34.381763, 34.263358
-0.214065, -0.214065, 34.536908, 34.498755
-0.210940, -0.210940, 34.657780, 34.737735
-0.207815, -0.207815, 34.747655, 34.981654
-0.204690, -0.204690, 34.819044, 35.231467
-0.201565, -0.201565, 34.886752, 35.489520
-0.198439, -0.198439, 34.965536, 35.757944
-0.195314, -0.195314, 35.072752, 36.037729
-0.192189, -0.192189, 35.221311, 36.328506
-0.189064, -0.189064, 35.419245, 36.630316
-0.185939, -0.185939, 35.667350, 36.945883
-0.182814, -0.182814, 35.960960, 37.274349
-0.179689, -0.179689, 36.293248, 37.618497
-0.176564, -0.176564, 36.657031, 37.974132
-0.173439, -0.173439, 37.046863, 38.340635
-0.170314, -0.170314, 37.459463, 38.717370
-0.167189, -0.167189, 37.892699, 39.106025
-0.164064, -0.164064, 38.344031, 39.505927
-0.160939, -0.160939, 38.813709, 39.914826
-0.157814, -0.157814, 39.299542, 40.330835
-0.154689, -0.154689, 39.805650, 40.755701
-0.151564, -0.151564, 40.326367, 41.194028
-0.148439, -0.148439, 40.868196, 41.641465
-0.145314, -0.145314, 41.427430, 42.096560
-0.142189, -0.142189, 42.006731, 42.557480
-0.139064, -0.139064, 42.603852, 43.026892
-0.135939, -0.135939, 43.216938, 43.505281
-0.132814, -0.132814, 43.847384, 43.995525
-0.129689, -0.129689, 44.494131, 44.517225
-0.126564, -0.126564, 45.155396, 45.252416
-0.123439, -0.123439, 45.832814, 46.251182
-0.120314, -0.120314, 46.530152, 47.188728
-0.117189, -0.117189, 47.247366, 48.493015
-0.114064, -0.114064, 47.986830, 50.771113
-0.110939, -0.110939, 48.756401, 54.397566
-0.107814, -0.107814, 49.562509, 60.290994
-0.104689, -0.104689, 50.408616, 72.142958
-0.101564, -0.101564, 51.296632, 91.025712
-0.098438, -0.098438, 52.225885, 110.624990
-0.095313, -0.095313, 53.187691, 128.659140
-0.092188, -0.092188, 54.169092, 149.261520
-0.089063, -0.089063, 55.164598, 170.672860
-0.085938, -0.085938, 56.162159, 198.025180
-0.082813, -0.082813, 57.195708, 226.274210
-0.079688, -0.079688, 58.373527, 259.146500
-0.076563, -0.076563, 60.168951, 295.118330
-0.073438, -0.073438, 63.477636, 334.218300
-0.070313, -0.070313, 71.450789, 375.289660
-0.067188, -0.067188, 86.541087, 413.008730
-0.064063, -0.064063, 102.204200, 444.726160
-0.060938, -0.060938, 125.600890, 476.787770
-0.057813, -0.057813, 159.998740, 508.823830
-0.054688, -0.054688, 207.548290, 534.295420
-0.051563, -0.051563, 261.421370, 558.340870
-0.048438, -0.048438, 315.910510, 582.406770
-0.045313, -0.045313, 366.302780, 605.484600
-0.042188, -0.042188, 412.070810, 628.889230
-0.039063, -0.039063, 456.636070, 653.624870
-0.035938, -0.035938, 504.743870, 680.360160
-0.032813, -0.032813, 560.009580, 704.528850
-0.029688, -0.029688, 612.047290, 728.926710
-0.026563, -0.026563, 653.492950, 746.993860
-0.023438, -0.023438, 687.055240, 757.237300
-0.020313, -0.020313, 717.230450, 766.878700
-0.017188, -0.017188, 743.492070, 775.409030
-0.014063, -0.014063, 771.242190, 784.574430
-0.010938, -0.010938, 783.957040, 791.562120
-0.007813, -0.007813, 788.999320, 798.882080
-0.004688, -0.004688, 798.274330, 808.933600
-0.001563, -0.001563, 802.460150, 817.364420
0.001563, 0.001563, 803.783470, 823.501810
0.004688, 0.004688, 798.235070, 826.075740
0.007813, 0.007813, 792.299330, 829.236030
0.010938, 0.010938, 775.560230, 828.909850
0.014063, 0.014063, 752.195170, 819.716800
0.017188, 0.017188, 736.274200, 803.224110
0.020313, 0.020313, 720.114520, 784.562940
0.023438, 0.023438, 683.345630, 763.397730
0.026563, 0.026563, 626.742430, 734.419400
0.029688, 0.029688, 572.486160, 709.351590
0.032813, 0.032813, 518.221250, 686.015950
0.035938, 0.035938, 462.294680, 662.530380
0.039063, 0.039063, 403.779830, 633.876300
0.042188, 0.042188, 346.518240, 604.284450
0.045313, 0.045313, 289.320330, 573.044690
0.048438, 0.048438, 228.245480, 538.976530
0.051563, 0.051563, 175.467470, 504.410850
0.054688, 0.054688, 143.083870, 474.583580
0.057813, 0.057813, 120.732730, 447.503680
0.060938, 0.060938, 102.062410, 419.281770
0.064063, 0.064063, 88.658298, 392.224700
0.067188, 0.067188, 78.752460, 363.367430
0.070313, 0.070313, 69.853259, 330.583710
0.073438, 0.073438, 62.584320, 291.952860
0.076563, 0.076563, 59.445402, 250.913250
0.079688, 0.079688, 58.102701, 215.017540
0.082813, 0.082813, 57.042996, 185.024030
0.085938, 0.085938, 56.037458, 161.758650
0.089063, 0.089063, 55.051264, 142.208390
0.092188, 0.092188, 54.065134, 123.617900
0.095313, 0.095313, 53.094896, 110.329410
0.098438, 0.098438, 52.142415, 98.726739
0.101564, 0.101564, 51.223763, 89.330215
0.104689, 0.104689, 50.344435, 82.032217
0.107814, 0.107814, 49.500302, 74.269546
0.110939, 0.110939, 48.702283, 66.537334
0.114064, 0.114064, 47.936878, 60.817753
0.117189, 0.117189, 47.200423, 57.319684
0.120314, 0.120314, 46.480922, 53.188838
0.123439, 0.123439, 45.783993, 48.332554
0.126564, 0.126564, 45.108825, 45.377370
0.129689, 0.129689, 44.448918, 44.349191
0.132814, 0.132814, 43.800825, 43.772808
0.135939, 0.135939, 43.168063, 43.288282
0.139064, 0.139064, 42.549232, 42.823483
0.142189, 0.142189, 41.947760, 42.372046
0.145314, 0.145314, 41.366639, 41.928395
0.148439, 0.148439, 40.804166, 41.493131
0.151564, 0.151564, 40.258003, 41.063654
0.154689, 0.154689, 39.732118, 40.637349
0.157814, 0.157814, 39.220381, 40.219518
0.160939, 0.160939, 38.729446, 39.807341
0.164064, 0.164064, 38.254833, 39.407025
0.167189, 0.167189, 37.798950, 39.014105
0.170314, 0.170314, 37.361086, 38.632164
0.173439, 0.173439, 36.944463, 38.260605
0.176564, 0.176564, 36.553351, 37.901148
0.179689, 0.179689, 36.194173, 37.555291
0.182814, 0.182814, 35.873847, 37.221952
0.185939, 0.185939, 35.597977, 36.900494
0.189064, 0.189064, 35.370532, 36.589748
0.192189, 0.192189, 35.193086, 36.288496
0.195314, 0.195314, 35.060686, 35.996323
0.198439, 0.198439, 34.961685, 35.717206
0.201565, 0.201565, 34.884023, 35.449702
0.204690, 0.204690, 34.813788, 35.191823
0.207815, 0.207815, 34.732523, 34.941457
0.210940, 0.210940, 34.623195, 34.699054
0.214065, 0.214065, 34.486144, 34.461858
0.217190, 0.217190, 34.326903, 34.228731
0.220315, 0.220315, 34.144622, 33.999421
0.223440, 0.223440, 33.936380, 33.775683
0.226565, 0.226565, 33.706389, 33.556353
0.229690, 0.229690, 33.465198, 33.347833
0.232815, 0.232815, 33.221346, 33.150840
0.235940, 0.235940, 32.977109, 32.959613
0.239065, 0.239065, 32.732874, 32.772031
0.242190, 0.242190, 32.490942, 32.587357
0.245315, 0.245315, 32.252590, 32.405183
0.248440, 0.248440, 32.016660, 32.225280
