XO2, Lf
0.207823, 0.000000
0.205484, 0.173469
0.204114, 0.333333
0.202422, 0.392857
0.200648, 0.428571
0.198854, 0.448980
0.197057, 0.466472
0.195262, 0.482143
0.193464, 0.489796
0.191667, 0.502041
0.189871, 0.561224
0.188074, 0.581633
0.186276, 0.573469
0.184480, 0.569573
0.182683, 0.569573
0.180884, 0.581633
0.179089, 0.581633
0.177292, 0.584416
0.175493, 0.589981
0.173698, 0.595547
0.171901, 0.597403
0.170103, 0.604082
0.168307, 0.610204
0.166510, 0.622449
0.164712, 0.630612
0.162916, 0.638776
0.161119, 0.645640
0.159320, 0.657143
0.157525, 0.673469
0.155728, 0.673469
0.153930, 0.679592
0.152134, 0.700000
0.150337, 0.701299
0.148539, 0.714286
0.146743, 0.724490
0.144946, 0.732839
0.143147, 0.738776
0.141353, 0.760668
0.139554, 0.755102
0.137756, 0.708163
0.135961, 0.651020
0.134164, 0.573469
0.132365, 0.502041
0.130571, 0.430612
0.128771, 0.391466
0.126973, 0.273469
0.125179, 0.193878
0.123380, 0.095918
0.121583, 0.030612
0.119788, 0.016327
0.117989, 0.004082
0.116192, 0.003711
0.114398, 0.000000
0.112599, 0.000000
0.110801, 0.000000
0.109007, 0.000000
0.107208, 0.000000
0.105410, 0.000000
0.103617, 0.000000
0.101816, 0.000000
0.100019, 0.000000
