XO2, Lf
0.207823, 0.000000
0.205484, 0.214286
0.204113, 0.319728
0.202422, 0.392857
0.200648, 0.448980
0.198855, 0.486395
0.197057, 0.518950
0.195262, 0.538265
0.193464, 0.553288
0.191666, 0.561224
0.189871, 0.624490
0.188073, 0.634694
0.186275, 0.645640
0.184480, 0.661224
0.182683, 0.660482
0.180885, 0.657143
0.179089, 0.653061
0.177292, 0.648980
0.175494, 0.653061
0.173698, 0.661224
0.171900, 0.671429
0.170103, 0.671614
0.168307, 0.688312
0.166510, 0.682746
0.164712, 0.697959
0.162916, 0.708163
0.161119, 0.718367
0.159321, 0.725417
0.157525, 0.730983
0.155728, 0.742115
0.153929, 0.749536
0.152134, 0.759184
0.150337, 0.756957
0.148539, 0.762523
0.146744, 0.771800
0.144946, 0.771800
0.143148, 0.781076
0.141353, 0.786642
0.139555, 0.793878
0.137757, 0.797959
0.135962, 0.801484
0.134165, 0.814471
0.132366, 0.838776
0.130571, 0.847866
0.128773, 0.858998
0.126975, 0.881633
0.125180, 0.877551
0.123381, 0.867347
0.121585, 0.788497
0.119790, 0.695918
0.117985, 0.612245
0.116191, 0.518367
0.114398, 0.426531
0.112595, 0.332653
0.110800, 0.242857
0.109007, 0.148980
0.107211, 0.067347
0.105410, 0.000000
0.103611, 0.000000
0.101820, 0.000000
0.100020, 0.000000
