XO2, ETA, QR
0.200648, 0.990752, 1.003211
0.198854, 1.008080, 0.997542
0.197057, 0.996017, 1.000677
0.195262, 1.003458, 0.983505
0.193464, 0.987583, 0.969900
0.191667, 0.991542, 0.943065
0.189871, 1.009368, 0.929052
0.188074, 0.987324, 0.902308
0.186276, 0.992389, 0.899560
0.184480, 0.994409, 0.894581
0.182683, 0.998594, 0.887872
0.180884, 0.984147, 0.865717
0.179089, 1.000374, 0.849438
0.177292, 1.005211, 0.808985
0.175493, 0.984529, 0.819068
0.173698, 1.000361, 0.798086
0.171901, 0.980451, 0.797401
0.170103, 1.003468, 0.776866
0.168307, 0.987169, 0.740017
0.166510, 1.000236, 0.750263
0.164712, 0.999768, 0.717278
0.162916, 0.987866, 0.683429
0.161119, 0.982087, 0.696964
0.159320, 0.995836, 0.669032
0.157525, 0.997448, 0.661583
0.155728, 0.974839, 0.632568
0.153930, 1.001943, 0.613536
0.152134, 0.964347, 0.597785
0.150337, 0.987753, 0.594339
0.148539, 0.985868, 0.559959
0.146743, 0.950296, 0.556940
0.144946, 0.955131, 0.535259
0.143147, 0.833107, 0.485611
0.141353, 0.477525, 0.371061
0.139554, 0.149140, 0.235094
0.137756, 0.075718, 0.115124
0.135961, 0.006889, 0.067287
0.134164, 0.000086, 0.031862
0.132365, 0.000000, 0.012785
0.130571, 0.000000, 0.005893
0.128771, 0.000000, 0.003066
0.126973, 0.000000, 0.001877
0.125179, 0.000000, 0.001216
0.123380, 0.000000, 0.000821
0.121583, 0.000000, 0.000544
0.119788, 0.000000, 0.000349
0.117989, 0.000000, 0.000219
0.116192, 0.000000, 0.000137
0.114398, 0.000000, 0.000083
0.112599, 0.000000, 0.000050
0.110801, 0.000000, 0.000030
0.109007, 0.000000, 0.000018
0.107208, 0.000000, 0.000011
0.105410, 0.000000, 0.000006
0.103617, 0.000000, 0.000004
0.101816, 0.000000, 0.000002
0.100019, 0.000000, 0.000001
