s,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,HRR,HFG_x5_y10,HFG_x10_y10,HFG_x15_y10,HFG_x22_y10,HFG_x5_y30,HFG_x10_y30,HFG_x15_y30,HFG_x22_y30,HFG_x5_y50,HFG_x10_y50,HFG_x15_y50,HFG_x22_y50,HFG_x5_y70,HFG_x10_y70,HFG_x15_y70,HFG_x22_y70,HFG_x5_y90,HFG_x10_y90,HFG_x15_y90,HFG_x22_y90,HFG_x5_y110,HFG_x10_y110,HFG_x15_y110,HFG_x22_y110,HFG_x5_y130,HFG_x10_y130,HFG_x15_y130,HFG_x22_y130,HFG_y10,HFG_y35,HFG_y60,HFG_y85,HFG_y110,HFG_y135
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.104790915,0.00336514,9.625041233,9.625383125,10.72438155,10.71841046,14.59398927,14.59391066,13.13996825,13.14240269,13.13661883,13.14013919,14.59353766,14.59381011,13.14139318,14.59333978,14.59343459,13.13961702,13.14436304,14.59778924,13.14457857,14.59845244,13.13593754,14.59113537,14.59163385,13.13592346,13.13747979,13.13616944,14.57454375,13.13559161,0.417911136,0.417890018,0.417856862,0.417874387,0.41793245,0.417927763
0.204781314,0.016907928,9.597363166,9.598696541,9.597562354,10.63672458,3.662204542,3.687199083,3.688211533,3.738747623,3.590797592,3.660448319,3.637644177,3.571545197,3.742187044,3.640416222,3.606596222,3.66684789,3.694098766,3.5832796,3.695557509,3.629683466,3.63561382,3.642513021,3.593766873,3.631289711,3.74183539,3.714745766,3.65939127,3.662792388,0.423379603,0.424443999,0.425002117,0.424912021,0.424027665,0.422539814
0.304771713,0.067222461,3.040879508,3.052042217,3.056740477,3.041673563,2.889271667,2.893070798,2.890981429,2.896991286,2.880364494,2.891601185,2.886651959,2.878807655,2.897470306,2.884638786,2.883887495,2.888629176,2.892447818,2.881930019,2.892278517,2.888169056,2.885618694,2.886168012,2.8828802,2.885550088,2.897332914,2.893285783,2.888260464,2.887614468,0.423379603,0.424443999,0.425002117,0.424912021,0.424027665,0.422539814
0.404762112,0.300400893,2.687264563,2.712459569,2.703902397,2.687816045,2.552610068,2.5597613,2.561207508,2.559722813,2.542151361,2.550042984,2.547647817,2.542364046,2.553216552,2.54376529,2.543433336,2.54793137,2.549281136,2.541815601,2.548997572,2.546723027,2.544446097,2.544732902,2.542349123,2.544303,2.552669407,2.549679414,2.546109573,2.545511117,0.434935077,0.43160168,0.427540991,0.425684888,0.42450446,0.422822157
0.504752511,1.292083576,2.371301796,2.378321613,2.377913549,2.372244249,2.295696345,2.298335595,2.297587258,2.299885553,2.290516073,2.296448898,2.293852881,2.289741999,2.299310777,2.29245759,2.292121911,2.294638719,2.296653441,2.291120475,2.296438444,2.294362494,2.293053641,2.293287484,2.291515931,2.292849862,2.299166824,2.296934294,2.294280401,2.29383431,0.434935077,0.43160168,0.427540991,0.425684888,0.42450446,0.422822157
0.601433281,3.182161586,2.809395189,3.001938054,2.975837817,2.809431027,2.2027594,2.228325671,2.252275364,2.228678351,2.133112662,2.130606579,2.135742811,2.145003851,2.123625783,2.110712491,2.110815947,2.128688339,2.112472816,2.107096993,2.11130341,2.116570655,2.108430977,2.10871122,2.107205887,2.109826128,2.113235118,2.111532794,2.109395311,2.109050931,0.559375348,0.509445355,0.449538508,0.430524335,0.42709113,0.424146908
0.699189654,4.151384526,2.11409325,2.06240733,2.036201406,2.058102339,1.977108915,1.982083509,1.985031452,1.982674674,1.964759611,1.967481272,1.966830091,1.965880467,1.968050058,1.962673604,1.962502404,1.966198127,1.965164108,1.961515608,1.964802388,1.964417566,1.962720733,1.962854061,1.961681071,1.962683179,1.966571683,1.965108305,1.963420614,1.963078664,0.559375348,0.509445355,0.449538508,0.430524335,0.42709113,0.424146908
0.800617113,4.22341695,11.69644773,12.29841683,12.35142696,12.74708847,1.856758009,1.866329261,1.86676073,1.862524058,1.839389718,1.841885938,1.84165983,1.840375277,1.841177186,1.83595352,1.835724304,1.839462392,1.837715924,1.834464692,1.837123956,1.837468712,1.835433795,1.835489392,1.834531089,1.835499137,1.838518197,1.837311016,1.835937986,1.835667698,0.574453821,0.538259945,0.461880447,0.433749722,0.428234781,0.424903921
