s,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,HRR,HFG_x5_y10,HFG_x10_y10,HFG_x15_y10,HFG_x22_y10,HFG_x5_y30,HFG_x10_y30,HFG_x15_y30,HFG_x22_y30,HFG_x5_y50,HFG_x10_y50,HFG_x15_y50,HFG_x22_y50,HFG_x5_y70,HFG_x10_y70,HFG_x15_y70,HFG_x22_y70,HFG_x5_y90,HFG_x10_y90,HFG_x15_y90,HFG_x22_y90,HFG_x5_y110,HFG_x10_y110,HFG_x15_y110,HFG_x22_y110,HFG_x5_y130,HFG_x10_y130,HFG_x15_y130,HFG_x22_y130,HFG_y10,HFG_y35,HFG_y60,HFG_y85,HFG_y110,HFG_y135
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.099980004,0.001406509,9.62605081,10.76522504,9.625746851,9.626354798,9.625572862,9.626177456,9.625740595,9.625451402,9.766981508,9.666839595,9.767141215,9.769857746,9.963558032,9.859697375,9.963393279,9.854127988,9.8573894,9.856502691,9.856496821,9.951948372,9.662682202,9.961824351,9.682331787,9.949435157,9.961810603,9.961732841,9.764523292,9.96177308,0.417859729,0.417857597,0.417860923,0.417874371,0.417899756,0.417903508
0.199960008,0.01091577,5.82220439,5.659073123,5.616097904,5.7106385,5.608123904,5.647127762,5.740238017,5.604528779,4.821446854,4.793319222,4.82018513,4.819305077,4.876315572,4.845883265,4.874020876,4.841458503,4.846301547,4.844771431,4.843574344,4.868582153,4.791601047,4.874075277,4.795086617,4.867569369,4.874300666,4.872304602,4.816949011,4.869083345,0.422728321,0.423639698,0.424131973,0.424063198,0.423064779,0.422008255
0.299940012,0.061437728,3.575588786,3.53111829,3.522962151,3.552747967,3.540205948,3.552713982,3.580828244,3.538691368,3.286750535,3.277665605,3.286861893,3.285199028,3.304554564,3.294125131,3.303856779,3.292982592,3.294348361,3.29366206,3.293270535,3.301982637,3.27578008,3.303523745,3.276968411,3.301421,3.303121655,3.301367605,3.28345826,3.300611306,0.422728321,0.423639698,0.424131973,0.424063198,0.423064779,0.422008255
0.399920016,0.178357451,2.859499081,2.856199132,2.850754521,2.840959437,2.797430004,2.802997065,2.814316047,2.794821765,2.68163808,2.677554802,2.681995762,2.680344975,2.687048879,2.681879565,2.686331764,2.681772237,2.681609194,2.680889274,2.68047765,2.684648456,2.672646078,2.684736724,2.672682108,2.683587253,2.684352638,2.682368715,2.674563789,2.68192571,0.428291876,0.427217194,0.42662202,0.425740056,0.424246799,0.422918183
0.49990002,0.361101417,2.425036241,2.432155258,2.429790193,2.420461347,2.414211178,2.417265545,2.42303188,2.41308355,2.351689459,2.349364584,2.35171136,2.350756954,2.355560021,2.352460241,2.355102873,2.352251109,2.352514455,2.351943846,2.351659894,2.354091195,2.34710754,2.354113853,2.346992286,2.353421883,2.353870143,2.352043181,2.347613923,2.351960472,0.428291876,0.427217194,0.42662202,0.425740056,0.424246799,0.422918183
0.599880024,0.643029076,2.380247957,2.389479595,2.389611166,2.33613098,2.212154782,2.216340403,2.22146072,2.208839669,2.144083829,2.142431571,2.145279301,2.14558251,2.140622316,2.138029038,2.140345928,2.140065177,2.136276166,2.135477,2.135418285,2.138423783,2.13158616,2.13618922,2.131189836,2.136435601,2.135938685,2.134140939,2.131023829,2.134438786,0.441396473,0.434620382,0.430918556,0.427869735,0.425419341,0.42378285
0.699860028,1.13474125,2.075592664,2.080347015,2.080867844,2.065868367,2.016774099,2.019072271,2.022321155,2.015119623,1.974969376,1.973800126,1.975477892,1.975303757,1.97496014,1.973064468,1.974606549,1.973518839,1.972440875,1.971836183,1.971687559,1.973445802,1.969159829,1.972597554,1.968673285,1.972409875,1.972675977,1.971051332,1.96857057,1.971106823,0.441396473,0.434620382,0.430918556,0.427869735,0.425419341,0.42378285
0.799840032,2.037990985,2.617759026,2.542136649,2.522866137,2.498785207,1.979393015,1.987315099,1.995723874,1.973533638,1.872724482,1.873835599,1.880487292,1.880928862,1.854799049,1.852906186,1.856078135,1.859569792,1.846775186,1.845763509,1.846356662,1.85139197,1.841868606,1.844236839,1.84133781,1.846618081,1.843945698,1.842346776,1.840366399,1.843641748,0.478108789,0.455922036,0.443645378,0.434195136,0.428706287,0.426150727
