s,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,HRR,HFG_x5_y10,HFG_x10_y10,HFG_x15_y10,HFG_x22_y10,HFG_x5_y30,HFG_x10_y30,HFG_x15_y30,HFG_x22_y30,HFG_x5_y50,HFG_x10_y50,HFG_x15_y50,HFG_x22_y50,HFG_x5_y70,HFG_x10_y70,HFG_x15_y70,HFG_x22_y70,HFG_x5_y90,HFG_x10_y90,HFG_x15_y90,HFG_x22_y90,HFG_x5_y110,HFG_x10_y110,HFG_x15_y110,HFG_x22_y110,HFG_x5_y130,HFG_x10_y130,HFG_x15_y130,HFG_x22_y130,HFG_y10,HFG_y35,HFG_y60,HFG_y85,HFG_y110,HFG_y135
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.099980004,0.001619952,10.68606845,9.628160847,9.626900369,10.5381223,9.627477512,9.627916525,10.69388953,9.627801678,14.59610382,14.59603459,13.14386539,13.14512177,14.59541536,14.59536428,13.14687326,13.1448071,13.1460815,13.14496017,14.59534863,13.14270727,13.15026778,13.15110512,13.1513421,14.60160493,13.15111841,13.1513686,13.15110564,13.14869118,0.417698866,0.417694018,0.417671613,0.417692347,0.417720082,0.41771525
0.199960008,0.011762497,7.716721699,7.88488196,7.522901447,7.889219645,8.500062922,7.89569935,8.298757327,8.091775955,4.4028135,4.365329924,4.43272825,4.463569579,4.402828217,4.532630703,4.500015766,4.48541789,4.489714031,4.469232652,4.483164046,4.396749157,4.446452039,4.534249309,4.46522373,4.44107252,4.503181054,4.532093452,4.531489902,4.440096329,0.4229281,0.423936707,0.424530472,0.424417819,0.423636905,0.422243114
0.299940012,0.060157205,3.282687634,3.298390324,3.267955969,3.30163442,3.358883355,3.315309797,3.342857573,3.326560089,2.967100072,2.962925518,2.96948187,2.976663426,2.96873995,2.985752894,2.982739386,2.979102355,2.979444231,2.975811168,2.980150545,2.964408858,2.974035024,2.984442756,2.977757494,2.972331041,2.980198381,2.983658916,2.983056162,2.97204219,0.4229281,0.423936707,0.424530472,0.424417819,0.423636905,0.422243114
0.399920016,0.213841341,2.76147512,2.780800567,2.762730794,2.752187445,2.698696978,2.691929274,2.700854831,2.691922291,2.565873773,2.564064846,2.567908975,2.572666898,2.564963418,2.572078104,2.571279788,2.570154767,2.568791774,2.566587942,2.569199699,2.56111836,2.566016337,2.570041315,2.567723941,2.564622663,2.568048082,2.569281616,2.568662465,2.564073303,0.431415856,0.429396594,0.426942811,0.425429581,0.424274105,0.422679497
0.49990002,0.616840047,2.387256325,2.394156493,2.386725358,2.388540658,2.386003133,2.38194229,2.38442765,2.3816226,2.303727671,2.302565965,2.304137758,2.307326271,2.304348979,2.309527913,2.308871655,2.307357825,2.307517541,2.30600953,2.307950856,2.301660122,2.305607292,2.308440037,2.306936619,2.304534107,2.30696747,2.307843544,2.307440572,2.304271164,0.431415856,0.429396594,0.426942811,0.425429581,0.424274105,0.422679497
0.599880024,1.421452435,2.703540618,2.796526484,2.761412565,2.652686633,2.243532608,2.250709239,2.276264656,2.254005121,2.128783033,2.126681933,2.138229662,2.144852859,2.11648907,2.118192604,2.119357322,2.124943993,2.113551442,2.111513913,2.113389667,2.112482938,2.110598154,2.112534316,2.111543594,2.11114755,2.111364504,2.111928232,2.111592561,2.109588864,0.477809182,0.45845576,0.438175499,0.428615916,0.425847808,0.423614411
0.699860028,2.800968525,2.058990414,2.093835122,2.086866429,2.069933876,2.015531088,2.014988913,2.020426985,2.015312391,1.957937715,1.957015025,1.959665261,1.962354653,1.956384378,1.959127539,1.958971447,1.959151528,1.957549416,1.956410526,1.957641563,1.95436462,1.956148178,1.957770118,1.956853114,1.955563788,1.95702259,1.957428029,1.957106841,1.955253438,0.477809182,0.45845576,0.438175499,0.428615916,0.425847808,0.423614411
0.799840032,5.000958267,14.13703387,4.254110608,4.21198551,3.779199922,2.115164873,2.179204199,2.210698002,2.151073127,1.8932324,1.897830679,1.928969673,1.930995518,1.854986027,1.851619104,1.857337151,1.872430215,1.839199259,1.835076605,1.837436941,1.846398588,1.83283518,1.833319338,1.833242904,1.837031578,1.832471192,1.832635002,1.832477881,1.832514701,0.57999482,0.537559063,0.473942021,0.439093264,0.430587611,0.426522924
