favre_temperature,favre_u,favre_v,favre_w,favre_zmix,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
305.61,0.33043,-0.012323,0.14801,0.00016029,1,0,-1,0,3.114
307,0.33721,-0.01201,0.16565,0.00018993,1,0.02,-0.98,0,3.114
308.4,0.34077,-0.010472,0.18167,0.0002194,1,0.04,-0.96,0,3.114
309.8,0.3401,-0.0073176,0.19556,0.00024866,1,0.06,-0.94,0,3.114
312.12,0.34733,0.0016098,0.21874,0.00029798,1,0.08,-0.92,0,3.114
314.46,0.35403,0.010353,0.24619,0.00034788,1,0.1,-0.9,0,3.114
316.67,0.35871,0.017915,0.27836,0.00039542,1,0.12,-0.88,0,3.114
318.43,0.36204,0.02056,0.29458,0.0004347,1,0.14,-0.86,0,3.114
319.93,0.36488,0.017363,0.3032,0.00046872,1,0.16,-0.84,0,3.114
321.34,0.36618,0.0096535,0.30836,0.00050109,1,0.18,-0.82,0,3.114
323.42,0.3608,0.004068,0.32763,0.00054811,1,0.2,-0.8,0,3.114
326.05,0.35918,-0.0056717,0.34523,0.00060746,1,0.22,-0.78,0,3.114
328.38,0.35475,-0.014411,0.35619,0.00065943,1,0.24,-0.76,0,3.114
330.22,0.34582,-0.022771,0.36122,0.00069992,1,0.26,-0.74,0,3.114
331.98,0.33493,-0.038456,0.36922,0.00073947,1,0.28,-0.72,0,3.114
334.85,0.32247,-0.046171,0.37102,0.00081385,1,0.3,-0.7,0,3.114
339.37,0.32213,-0.052482,0.37542,0.0009307,1,0.32,-0.68,0,3.114
345.84,0.32842,-0.05469,0.3883,0.0011081,1,0.34,-0.66,0,3.114
353.56,0.33489,-0.055989,0.40797,0.001329,1,0.36,-0.64,0,3.114
362.02,0.33871,-0.059326,0.43256,0.0015746,1,0.38,-0.62,0,3.114
373.04,0.34348,-0.058599,0.47606,0.0019002,1,0.4,-0.6,0,3.114
388.49,0.35417,-0.073648,0.55185,0.0023675,1,0.42,-0.58,0,3.114
403.34,0.3496,-0.084772,0.62334,0.002814,1,0.44,-0.56,0,3.114
424.99,0.33662,-0.10073,0.71184,0.0035207,1,0.46,-0.54,0,3.114
451.56,0.34544,-0.11298,0.84902,0.0045386,1,0.48,-0.52,0,3.114
478.77,0.33647,-0.10627,0.93819,0.0056695,1,0.5,-0.5,0,3.114
508.77,0.32977,-0.092829,1.037,0.0070622,1,0.52,-0.48,0,3.114
544.72,0.32004,-0.086816,1.1099,0.0090198,1,0.54,-0.46,0,3.114
583.08,0.31982,-0.078914,1.2008,0.011444,1,0.56,-0.44,0,3.114
615.97,0.32725,-0.064293,1.3055,0.013942,1,0.58,-0.42,0,3.114
648.36,0.33142,-0.050449,1.4215,0.016569,1,0.6,-0.4,0,3.114
689.8,0.34021,-0.049384,1.548,0.019865,1,0.62,-0.38,0,3.114
730.13,0.36012,-0.039389,1.635,0.024167,1,0.64,-0.36,0,3.114
776.49,0.3676,-0.029776,1.7853,0.030328,1,0.66,-0.34,0,3.114
822.86,0.35252,-0.033844,1.9299,0.037894,1,0.68,-0.32,0,3.114
864.67,0.33837,-0.034228,2.1027,0.047338,1,0.7,-0.3,0,3.114
901.73,0.33113,-0.036193,2.2912,0.058632,1,0.72,-0.28,0,3.114
936.98,0.32446,-0.04959,2.4356,0.072318,1,0.74,-0.26,0,3.114
1001.8,0.33553,-0.051274,2.6068,0.090257,1,0.76,-0.24,0,3.114
1058.9,0.33546,-0.04973,2.8587,0.1123,1,0.78,-0.22,0,3.114
1102.5,0.35135,-0.038285,3.1078,0.14007,1,0.8,-0.2,0,3.114
1121.1,0.33678,-0.029925,3.3181,0.1678,1,0.82,-0.18,0,3.114
1129.7,0.29563,-0.026552,3.5003,0.19418,1,0.84,-0.16,0,3.114
1122.6,0.25115,-0.031666,3.6126,0.21766,1,0.86,-0.14,0,3.114
1128.1,0.20797,-0.024558,3.7467,0.24231,1,0.88,-0.12,0,3.114
1124.2,0.18383,-0.017308,3.8029,0.25891,1,0.9,-0.1,0,3.114
1112.2,0.14644,-0.035753,3.8729,0.27448,1,0.92,-0.08,0,3.114
1092.9,0.11907,-0.05052,3.9204,0.29182,1,0.94,-0.06,0,3.114
1069.5,0.0905,-0.038882,3.9141,0.30675,1,0.96,-0.04,0,3.114
1057.9,0.028816,-0.033534,3.9309,0.32213,1,0.98,-0.02,0,3.114
1047.3,-0.036858,-0.036171,3.9116,0.32685,1,1,0,0,3.114
1042.1,-0.090713,-0.033026,3.8626,0.3175,1,1.02,0.02,0,3.114
1041.9,-0.14515,-0.014442,3.7915,0.30625,1,1.04,0.04,0,3.114
1039.3,-0.19653,0.0043017,3.6896,0.29167,1,1.06,0.06,0,3.114
1045.4,-0.21633,0.021237,3.5697,0.26751,1,1.08,0.08,0,3.114
1039.6,-0.26004,0.033882,3.4131,0.24245,1,1.1,0.1,0,3.114
1031,-0.3006,0.037338,3.2974,0.21902,1,1.12,0.12,0,3.114
1022.5,-0.3249,0.039558,3.1443,0.1921,1,1.14,0.14,0,3.114
1020.5,-0.35143,0.030069,3.0129,0.16514,1,1.16,0.16,0,3.114
993.93,-0.3843,0.0034851,2.8801,0.1382,1,1.18,0.18,0,3.114
984.06,-0.39234,-0.023093,2.7615,0.11844,1,1.2,0.2,0,3.114
977.37,-0.40848,-0.03885,2.6504,0.103,1,1.22,0.22,0,3.114
961.75,-0.41036,-0.061725,2.4924,0.08782,1,1.24,0.24,0,3.114
915.32,-0.40992,-0.08068,2.2735,0.072073,1,1.26,0.26,0,3.114
867.08,-0.40071,-0.10213,2.135,0.057287,1,1.28,0.28,0,3.114
823.7,-0.39038,-0.11346,1.9823,0.044393,1,1.3,0.3,0,3.114
783.83,-0.3937,-0.11856,1.8536,0.034944,1,1.32,0.32,0,3.114
739.57,-0.39321,-0.11862,1.7191,0.027609,1,1.34,0.34,0,3.114
697.95,-0.39828,-0.09826,1.6361,0.021641,1,1.36,0.36,0,3.114
649.57,-0.38754,-0.084594,1.511,0.016108,1,1.38,0.38,0,3.114
601.41,-0.37649,-0.078966,1.347,0.012587,1,1.4,0.4,0,3.114
558.29,-0.36556,-0.075723,1.229,0.01006,1,1.42,0.42,0,3.114
523.5,-0.35693,-0.051072,1.1197,0.0083433,1,1.44,0.44,0,3.114
496.07,-0.36471,-0.033692,1.0356,0.0070702,1,1.46,0.46,0,3.114
469.22,-0.36481,-0.015969,0.93382,0.0059065,1,1.48,0.48,0,3.114
448.03,-0.36542,0.0055773,0.84903,0.0048347,1,1.5,0.5,0,3.114
424.19,-0.35896,0.017241,0.75382,0.0038096,1,1.52,0.52,0,3.114
407.47,-0.35419,0.015051,0.68047,0.0030804,1,1.54,0.54,0,3.114
394.36,-0.3528,0.0089728,0.596,0.0025793,1,1.56,0.56,0,3.114
380.37,-0.35565,0.00035554,0.52881,0.0021138,1,1.58,0.58,0,3.114
369.85,-0.35861,0.0080375,0.4966,0.0017798,1,1.6,0.6,0,3.114
359.44,-0.3648,0.012728,0.45072,0.0014778,1,1.62,0.62,0,3.114
349.57,-0.3697,0.0041331,0.40041,0.001213,1,1.64,0.64,0,3.114
341.72,-0.38406,0.0036449,0.35167,0.0010094,1,1.66,0.66,0,3.114
335.71,-0.39665,0.0032518,0.30663,0.00085509,1,1.68,0.68,0,3.114
330.64,-0.39839,-0.0047755,0.26452,0.00072744,1,1.7,0.7,0,3.114
325.85,-0.39469,-0.011513,0.22381,0.0006126,1,1.72,0.72,0,3.114
322.11,-0.39404,-0.010009,0.19753,0.00052392,1,1.74,0.74,0,3.114
319.29,-0.39168,-0.0061546,0.18915,0.00045811,1,1.76,0.76,0,3.114
317.21,-0.39041,-0.0017176,0.1831,0.00041006,1,1.78,0.78,0,3.114
315.54,-0.38914,0.0039581,0.17558,0.00037203,1,1.8,0.8,0,3.114
313.62,-0.38226,0.014572,0.17002,0.00032899,1,1.82,0.82,0,3.114
311.88,-0.37988,0.022845,0.16314,0.00029032,1,1.84,0.84,0,3.114
310.49,-0.3756,0.026815,0.15611,0.00026004,1,1.86,0.86,0,3.114
309.49,-0.36814,0.025901,0.14876,0.00023874,1,1.88,0.88,0,3.114
308.71,-0.35877,0.016293,0.13279,0.00022275,1,1.9,0.9,0,3.114
307.83,-0.34763,0.01176,0.11939,0.00020432,1,1.92,0.92,0,3.114
306.84,-0.33532,0.010919,0.10708,0.0001837,1,1.94,0.94,0,3.114
305.63,-0.32337,0.011722,0.088582,0.0001586,1,1.96,0.96,0,3.114
304.42,-0.3118,0.01002,0.073635,0.00013347,1,1.98,0.98,0,3.114
303.22,-0.30053,0.0064193,0.061382,0.00010831,1,2,1,0,3.114
