favre_temperature,favre_u,favre_v,favre_w,favre_zmix,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
313.28,0.25522,0.019213,0.19273,0.00031929,1,0,-1,0,3.514
314.57,0.25736,0.0077975,0.22024,0.00034633,1,0.02,-0.98,0,3.514
316.11,0.26054,0.0031953,0.2498,0.00037874,1,0.04,-0.96,0,3.514
317.99,0.2651,0.0075792,0.28204,0.00041823,1,0.06,-0.94,0,3.514
319.87,0.26774,0.015,0.31445,0.00045815,1,0.08,-0.92,0,3.514
321.84,0.27231,0.019149,0.34974,0.00050005,1,0.1,-0.9,0,3.514
323.93,0.27996,0.018089,0.38914,0.00054473,1,0.12,-0.88,0,3.514
326.19,0.2859,0.013793,0.4218,0.00059374,1,0.14,-0.86,0,3.514
328.54,0.29233,0.012593,0.45337,0.00064489,1,0.16,-0.84,0,3.514
331.18,0.29911,0.014398,0.48585,0.00070231,1,0.18,-0.82,0,3.514
335.04,0.30497,0.017155,0.52727,0.00078585,1,0.2,-0.8,0,3.514
339.29,0.30402,0.023402,0.5642,0.00087903,1,0.22,-0.78,0,3.514
343.81,0.29872,0.027537,0.60483,0.00097889,1,0.24,-0.76,0,3.514
348.74,0.29166,0.025352,0.65381,0.0010892,1,0.26,-0.74,0,3.514
354.68,0.28891,0.010565,0.71557,0.0012234,1,0.28,-0.72,0,3.514
361.61,0.28399,0.01078,0.76831,0.0013846,1,0.3,-0.7,0,3.514
369.1,0.2822,-0.00495,0.81215,0.0015642,1,0.32,-0.68,0,3.514
376.74,0.27939,-0.021589,0.86228,0.0017537,1,0.34,-0.66,0,3.514
385.04,0.27266,-0.027808,0.92873,0.0019622,1,0.36,-0.64,0,3.514
395.51,0.26258,-0.027096,1.0118,0.0022227,1,0.38,-0.62,0,3.514
409.34,0.25266,-0.036427,1.1069,0.0025728,1,0.4,-0.6,0,3.514
424.34,0.24546,-0.055998,1.2185,0.0029826,1,0.42,-0.58,0,3.514
441.9,0.2387,-0.050157,1.3501,0.003455,1,0.44,-0.56,0,3.514
461.26,0.23943,-0.051335,1.4771,0.003981,1,0.46,-0.54,0,3.514
484.86,0.23327,-0.065338,1.5988,0.0047069,1,0.48,-0.52,0,3.514
514.11,0.23652,-0.070221,1.7153,0.0056204,1,0.5,-0.5,0,3.514
541.61,0.24531,-0.078916,1.8409,0.0066264,1,0.52,-0.48,0,3.514
571.46,0.24258,-0.096571,1.9562,0.0080332,1,0.54,-0.46,0,3.514
603.65,0.24288,-0.10965,2.0998,0.0097761,1,0.56,-0.44,0,3.514
637.9,0.24719,-0.11025,2.2578,0.011823,1,0.58,-0.42,0,3.514
673.4,0.2476,-0.10429,2.4143,0.014223,1,0.6,-0.4,0,3.514
710.2,0.25033,-0.094173,2.5793,0.017157,1,0.62,-0.38,0,3.514
752.1,0.26172,-0.084213,2.7295,0.020455,1,0.64,-0.36,0,3.514
786.34,0.26039,-0.065679,2.8801,0.023866,1,0.66,-0.34,0,3.514
828,0.25254,-0.046896,3.0452,0.028575,1,0.68,-0.32,0,3.514
873.85,0.2531,-0.028697,3.275,0.034503,1,0.7,-0.3,0,3.514
919.83,0.25362,-0.011186,3.5391,0.042042,1,0.72,-0.28,0,3.514
964.01,0.23982,0.00014332,3.7421,0.051533,1,0.74,-0.26,0,3.514
993.72,0.20235,-0.0039724,3.8863,0.061758,1,0.76,-0.24,0,3.514
1013.5,0.17975,-0.012062,4.1005,0.074132,1,0.78,-0.22,0,3.514
1043.2,0.16491,-0.047348,4.366,0.090175,1,0.8,-0.2,0,3.514
1074.6,0.14778,-0.07497,4.6422,0.10756,1,0.82,-0.18,0,3.514
1108.5,0.12738,-0.087783,4.8917,0.12537,1,0.84,-0.16,0,3.514
1150.6,0.10467,-0.0807,5.0775,0.14188,1,0.86,-0.14,0,3.514
1172.8,0.087855,-0.046664,5.2513,0.15359,1,0.88,-0.12,0,3.514
1177.6,0.057752,-0.012186,5.3111,0.16519,1,0.9,-0.1,0,3.514
1196.7,0.04839,-0.0095162,5.3752,0.17845,1,0.92,-0.08,0,3.514
1207.5,0.029575,-0.0044953,5.4237,0.18998,1,0.94,-0.06,0,3.514
1208.8,-0.0014932,-0.0059225,5.5011,0.19827,1,0.96,-0.04,0,3.514
1201.2,-0.033097,-0.016962,5.5108,0.20198,1,0.98,-0.02,0,3.514
1183.3,-0.074518,-0.013175,5.414,0.20061,1,1,0,0,3.514
1175.4,-0.1011,0.0056249,5.3041,0.19529,1,1.02,0.02,0,3.514
1170.2,-0.12473,-0.014446,5.2492,0.18778,1,1.04,0.04,0,3.514
1165.4,-0.14384,-0.046364,5.1903,0.17895,1,1.06,0.06,0,3.514
1161.5,-0.13043,-0.063772,5.0613,0.1657,1,1.08,0.08,0,3.514
1137.2,-0.1444,-0.066566,4.8512,0.15089,1,1.1,0.1,0,3.514
1104.1,-0.17419,-0.054204,4.6469,0.13704,1,1.12,0.12,0,3.514
1081.7,-0.20522,-0.032304,4.4829,0.1229,1,1.14,0.14,0,3.514
1059.6,-0.24148,-0.0057238,4.4187,0.10738,1,1.16,0.16,0,3.514
1033.2,-0.24996,-0.021601,4.2084,0.091647,1,1.18,0.18,0,3.514
1004.9,-0.26805,-0.04183,3.9582,0.077475,1,1.2,0.2,0,3.514
947.79,-0.28162,-0.054202,3.7105,0.063803,1,1.22,0.22,0,3.514
900.19,-0.29028,-0.067985,3.4761,0.052469,1,1.24,0.24,0,3.514
