favre_temperature,favre_u,favre_v,favre_w,favre_zmix,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
311.02,0.38662,0.019104,0.20856,0.00027319,1,0,-1,0,2.914
313.25,0.40684,0.027388,0.21037,0.0003208,1,0.02,-0.98,0,2.914
315.36,0.41987,0.031289,0.20971,0.00036572,1,0.04,-0.96,0,2.914
317.3,0.42343,0.02941,0.20578,0.00040711,1,0.06,-0.94,0,2.914
319.22,0.42779,0.021046,0.20406,0.00044877,1,0.08,-0.92,0,2.914
321.04,0.42821,0.012754,0.1992,0.00048878,1,0.1,-0.9,0,2.914
322.72,0.42281,0.0055909,0.18944,0.00052638,1,0.12,-0.88,0,2.914
324.2,0.42898,-0.0099711,0.19568,0.00056058,1,0.14,-0.86,0,2.914
325.82,0.43168,-0.02331,0.20127,0.00059899,1,0.16,-0.84,0,2.914
327.64,0.43017,-0.034404,0.20496,0.00064304,1,0.18,-0.82,0,2.914
329.94,0.42467,-0.045783,0.20483,0.00069759,1,0.2,-0.8,0,2.914
331.22,0.42142,-0.056914,0.19244,0.00073106,1,0.22,-0.78,0,2.914
332.19,0.4189,-0.064665,0.17698,0.00075945,1,0.24,-0.76,0,2.914
333.4,0.41603,-0.068983,0.16153,0.00079473,1,0.26,-0.74,0,2.914
335.77,0.41098,-0.073805,0.14602,0.00085693,1,0.28,-0.72,0,2.914
339.51,0.4099,-0.076153,0.1553,0.00096672,1,0.3,-0.7,0,2.914
344.47,0.39906,-0.06892,0.16594,0.0011076,1,0.32,-0.68,0,2.914
349.54,0.38891,-0.062122,0.17827,0.0012543,1,0.34,-0.66,0,2.914
354.74,0.38288,-0.066234,0.18887,0.001418,1,0.36,-0.64,0,2.914
361.85,0.38021,-0.081922,0.20111,0.00165,1,0.38,-0.62,0,2.914
372.4,0.38659,-0.094658,0.23455,0.001979,1,0.4,-0.6,0,2.914
380.35,0.38791,-0.10737,0.2576,0.0022841,1,0.42,-0.58,0,2.914
393.78,0.38799,-0.10485,0.30654,0.0028342,1,0.44,-0.56,0,2.914
409.96,0.38306,-0.09282,0.33473,0.0035706,1,0.46,-0.54,0,2.914
431.04,0.37198,-0.086791,0.37979,0.0047325,1,0.48,-0.52,0,2.914
454.55,0.37232,-0.080582,0.43728,0.0063122,1,0.5,-0.5,0,2.914
