favre_temperature,favre_u,favre_v,favre_w,favre_zmix,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
312.18,0.37805,-0.046645,0.1018,0.00029826,1,0,-1,0,2.914
313.96,0.40417,-0.051233,0.11158,0.00033578,1,0.02,-0.98,0,2.914
315.67,0.42821,-0.055552,0.11837,0.00037182,1,0.04,-0.96,0,2.914
317.28,0.44948,-0.059517,0.12122,0.00040589,1,0.06,-0.94,0,2.914
319.52,0.46761,-0.058916,0.12114,0.00045332,1,0.08,-0.92,0,2.914
321.78,0.48379,-0.060583,0.12196,0.0005013,1,0.1,-0.9,0,2.914
323.95,0.49763,-0.066251,0.12455,0.00054794,1,0.12,-0.88,0,2.914
325.02,0.4959,-0.071735,0.11995,0.00057138,1,0.14,-0.86,0,2.914
325.92,0.4929,-0.076682,0.11732,0.0005911,1,0.16,-0.84,0,2.914
326.76,0.4891,-0.080414,0.11888,0.0006089,1,0.18,-0.82,0,2.914
327.69,0.48324,-0.079852,0.13276,0.00062864,1,0.2,-0.8,0,2.914
328.75,0.48099,-0.083794,0.13921,0.00065047,1,0.22,-0.78,0,2.914
329.85,0.47824,-0.088577,0.14279,0.00067294,1,0.24,-0.76,0,2.914
330.97,0.47454,-0.09262,0.14453,0.00069613,1,0.26,-0.74,0,2.914
332.16,0.47312,-0.09492,0.14329,0.00072176,1,0.28,-0.72,0,2.914
337.92,0.48258,-0.091591,0.15937,0.00085212,1,0.3,-0.7,0,2.914
342.73,0.48762,-0.090957,0.16925,0.00096574,1,0.32,-0.68,0,2.914
346.24,0.48083,-0.091578,0.17488,0.0010562,1,0.34,-0.66,0,2.914
349.17,0.46548,-0.098121,0.17884,0.0011396,1,0.36,-0.64,0,2.914
353.07,0.45028,-0.11329,0.18624,0.0012543,1,0.38,-0.62,0,2.914
359.84,0.43688,-0.12539,0.20794,0.0014595,1,0.4,-0.6,0,2.914
370.7,0.43695,-0.14372,0.2395,0.0018168,1,0.42,-0.58,0,2.914
383.65,0.43962,-0.14439,0.28022,0.0023764,1,0.44,-0.56,0,2.914
396.25,0.44117,-0.13188,0.30055,0.0029611,1,0.46,-0.54,0,2.914
407.69,0.42086,-0.1266,0.31563,0.0034175,1,0.48,-0.52,0,2.914
425.17,0.42474,-0.13675,0.32311,0.0040754,1,0.5,-0.5,0,2.914
455.53,0.42955,-0.1437,0.37027,0.0052385,1,0.52,-0.48,0,2.914
486.23,0.43564,-0.15214,0.4313,0.0067103,1,0.54,-0.46,0,2.914
518.08,0.44232,-0.16278,0.49043,0.0083208,1,0.56,-0.44,0,2.914
548.09,0.44828,-0.17515,0.55536,0.010081,1,0.58,-0.42,0,2.914
578.04,0.44833,-0.19171,0.62947,0.01234,1,0.6,-0.4,0,2.914
616.16,0.45677,-0.20888,0.71441,0.015271,1,0.62,-0.38,0,2.914
657.97,0.46009,-0.20652,0.78783,0.018603,1,0.64,-0.36,0,2.914
720.65,0.46262,-0.21163,0.92722,0.023724,1,0.66,-0.34,0,2.914
783.08,0.46387,-0.22275,1.0925,0.030691,1,0.68,-0.32,0,2.914
840.37,0.47496,-0.22059,1.2585,0.040177,1,0.7,-0.3,0,2.914
880.6,0.4879,-0.21982,1.4181,0.051681,1,0.72,-0.28,0,2.914
913.97,0.48815,-0.22124,1.5605,0.065016,1,0.74,-0.26,0,2.914
988.34,0.48893,-0.18572,1.683,0.083178,1,0.76,-0.24,0,2.914
1030.1,0.48368,-0.20812,1.8494,0.1014,1,0.78,-0.22,0,2.914
1052.3,0.46983,-0.20512,1.9794,0.12435,1,0.8,-0.2,0,2.914
1051.6,0.44144,-0.1937,2.0581,0.14652,1,0.82,-0.18,0,2.914
1043.5,0.39921,-0.18772,2.1058,0.16992,1,0.84,-0.16,0,2.914
1039.4,0.3621,-0.19136,2.2099,0.19717,1,0.86,-0.14,0,2.914
1032.5,0.32191,-0.21269,2.3387,0.22313,1,0.88,-0.12,0,2.914
1043.7,0.2625,-0.18267,2.4416,0.24653,1,0.9,-0.1,0,2.914
1049.4,0.19811,-0.14564,2.4921,0.26416,1,0.92,-0.08,0,2.914
1049.9,0.13328,-0.11671,2.5357,0.2797,1,0.94,-0.06,0,2.914
1047.5,0.072078,-0.085803,2.617,0.29268,1,0.96,-0.04,0,2.914
1061.2,-0.011459,-0.052299,2.6935,0.30062,1,0.98,-0.02,0,2.914
1073.6,-0.082988,-0.043949,2.6972,0.30215,1,1,0,0,2.914
1080.2,-0.15374,-0.046178,2.726,0.30381,1,1.02,0.02,0,2.914
1088.4,-0.22073,-0.07754,2.7452,0.30071,1,1.04,0.04,0,2.914
1095.9,-0.28357,-0.10576,2.7263,0.29539,1,1.06,0.06,0,2.914
1097.6,-0.32681,-0.070429,2.6559,0.28745,1,1.08,0.08,0,2.914
1071.5,-0.38263,-0.079338,2.4958,0.26011,1,1.1,0.1,0,2.914
1037.5,-0.44802,-0.093993,2.303,0.22612,1,1.12,0.12,0,2.914
1017.4,-0.48533,-0.10938,2.1376,0.19633,1,1.14,0.14,0,2.914
1016.6,-0.49767,-0.12529,2.0015,0.17072,1,1.16,0.16,0,2.914
994.07,-0.51245,-0.13329,1.88,0.14546,1,1.18,0.18,0,2.914
964.68,-0.53711,-0.11219,1.7739,0.12077,1,1.2,0.2,0,2.914
927.89,-0.53469,-0.13602,1.6863,0.101,1,1.22,0.22,0,2.914
903.88,-0.53588,-0.1552,1.5749,0.086158,1,1.24,0.24,0,2.914
854.12,-0.51393,-0.16308,1.4312,0.07536,1,1.26,0.26,0,2.914
818.56,-0.51568,-0.1714,1.3562,0.067611,1,1.28,0.28,0,2.914
788.92,-0.53141,-0.16416,1.2531,0.057069,1,1.3,0.3,0,2.914
769.48,-0.50808,-0.17286,1.1099,0.046714,1,1.32,0.32,0,2.914
736.2,-0.49354,-0.16177,1.0062,0.038439,1,1.34,0.34,0,2.914
690.95,-0.47751,-0.1456,0.93191,0.030334,1,1.36,0.36,0,2.914
651.87,-0.46653,-0.13893,0.83668,0.02345,1,1.38,0.38,0,2.914
608.5,-0.46876,-0.13949,0.73314,0.018297,1,1.4,0.4,0,2.914
578.24,-0.47095,-0.12927,0.66802,0.015029,1,1.42,0.42,0,2.914
544.67,-0.47135,-0.12286,0.60381,0.01195,1,1.44,0.44,0,2.914
507.51,-0.4536,-0.11937,0.53439,0.0091045,1,1.46,0.46,0,2.914
475.64,-0.45401,-0.11998,0.49562,0.0069864,1,1.48,0.48,0,2.914
449.37,-0.46131,-0.12864,0.46384,0.0054841,1,1.5,0.5,0,2.914
414.26,-0.44065,-0.12591,0.42095,0.0038002,1,1.52,0.52,0,2.914
393.83,-0.45736,-0.13099,0.36132,0.0027258,1,1.54,0.54,0,2.914
372.45,-0.47462,-0.12407,0.30616,0.0019458,1,1.56,0.56,0,2.914
356.7,-0.48878,-0.11041,0.252,0.0014063,1,1.58,0.58,0,2.914
348.05,-0.503,-0.10164,0.21755,0.0011424,1,1.6,0.6,0,2.914
341.34,-0.50729,-0.10542,0.17743,0.00096062,1,1.62,0.62,0,2.914
335.92,-0.51086,-0.10703,0.14737,0.00082534,1,1.64,0.64,0,2.914
330.42,-0.51305,-0.10398,0.11922,0.00069799,1,1.66,0.66,0,2.914
324.87,-0.51357,-0.10055,0.098467,0.00057316,1,1.68,0.68,0,2.914
320.1,-0.51454,-0.096959,0.088453,0.00046661,1,1.7,0.7,0,2.914
316.93,-0.51831,-0.088876,0.081403,0.00039585,1,1.72,0.72,0,2.914
314.73,-0.51346,-0.093647,0.066959,0.00034796,1,1.74,0.74,0,2.914
313.38,-0.51422,-0.090222,0.060123,0.00031906,1,1.76,0.76,0,2.914
312.5,-0.51397,-0.086892,0.058519,0.00030029,1,1.78,0.78,0,2.914
311.87,-0.5112,-0.08492,0.060171,0.00028717,1,1.8,0.8,0,2.914
311.35,-0.50724,-0.080473,0.062346,0.00027632,1,1.82,0.82,0,2.914
310.62,-0.49943,-0.077989,0.064957,0.00026109,1,1.84,0.84,0,2.914
309.8,-0.48964,-0.076949,0.067195,0.00024412,1,1.86,0.86,0,2.914
308.94,-0.47835,-0.077124,0.069015,0.00022634,1,1.88,0.88,0,2.914
308.4,-0.46683,-0.076402,0.072821,0.0002151,1,1.9,0.9,0,2.914
307.81,-0.45334,-0.074247,0.072364,0.0002028,1,1.92,0.92,0,2.914
307.17,-0.4386,-0.071076,0.068555,0.00018962,1,1.94,0.94,0,2.914
306.46,-0.42481,-0.067677,0.061074,0.0001749,1,1.96,0.96,0,2.914
305.79,-0.4118,-0.066204,0.055648,0.00016102,1,1.98,0.98,0,2.914
305.15,-0.39936,-0.066192,0.051778,0.00014778,1,2,1,0,2.914
