r, Q_conv, Q_rad, Q_total
cm, kW/m2, kW/m2, kW/m2
 1.0,     0.68,    21.63,    22.31
 2.0,     0.69,    21.68,    22.37
 3.0,     0.70,    21.75,    22.45
 4.0,     0.71,    21.88,    22.59
 5.0,     0.71,    22.06,    22.77
 6.0,     0.70,    22.28,    22.98
 7.0,     0.70,    22.58,    23.28
 8.0,     0.71,    22.95,    23.66
 9.0,     0.71,    23.27,    23.98
10.0,     0.75,    23.77,    24.52
11.0,     0.78,    24.16,    24.94
12.0,     0.83,    24.67,    25.50
13.0,     0.91,    25.20,    26.11
14.0,     0.96,    25.59,    26.55
15.0,     1.08,    26.14,    27.21
16.0,     1.20,    26.54,    27.74
17.0,     1.42,    27.03,    28.45
18.0,     1.69,    27.42,    29.11
19.0,     2.01,    27.70,    29.71
20.0,     2.51,    28.09,    30.60
21.0,     2.92,    28.18,    31.10
22.0,     3.46,    28.41,    31.87
23.0,     3.84,    28.41,    32.25
24.0,     4.17,    28.36,    32.54
25.0,     4.48,    28.31,    32.79
26.0,     4.70,    28.23,    32.94
27.0,     4.86,    28.10,    32.96
28.0,     4.97,    27.83,    32.80
29.0,     5.11,    27.73,    32.83
30.0,     5.19,    27.43,    32.62
31.0,     5.28,    27.23,    32.51
32.0,     5.33,    26.93,    32.26
33.0,     5.41,    26.59,    32.01
34.0,     5.46,    26.32,    31.79
35.0,     5.52,    25.92,    31.45
36.0,     5.58,    25.57,    31.15
37.0,     5.61,    25.14,    30.76
38.0,     5.66,    24.65,    30.31
39.0,     5.68,    24.16,    29.84
40.0,     5.71,    23.57,    29.27
41.0,     5.74,    22.91,    28.65
42.0,     5.74,    22.17,    27.91
43.0,     5.76,    21.33,    27.09
44.0,     5.75,    20.43,    26.18
45.0,     5.75,    19.43,    25.18
46.0,     5.72,    18.27,    23.99
47.0,     5.58,    16.94,    22.52
48.0,     5.35,    15.42,    20.77
49.0,     4.79,    13.47,    18.26
50.0,     2.45,     7.64,    10.09
51.0,     0.00,     2.96,     2.96
52.0,     0.00,     3.77,     3.77
53.0,     0.00,     4.08,     4.08
54.0,     0.00,     3.94,     3.94
55.0,     0.00,     3.78,     3.78
56.0,     0.00,     3.58,     3.58
57.0,     0.00,     3.45,     3.45
58.0,     0.00,     3.18,     3.18
59.0,     0.00,     2.94,     2.94
60.0,     0.00,     2.80,     2.80
62.0,     0.00,     2.61,     2.61
63.0,     0.00,     2.58,     2.58
64.0,     0.00,     2.47,     2.47
65.0,     0.00,     2.32,     2.32
66.0,     0.00,     2.27,     2.27
67.0,     0.00,     2.20,     2.20
68.0,     0.00,     2.08,     2.09
69.0,     0.00,     1.97,     1.97
70.0,     0.00,     1.99,     1.99
71.0,     0.00,     1.91,     1.91
72.0,     0.00,     1.83,     1.83
73.0,     0.00,     1.78,     1.78
74.0,     0.00,     1.68,     1.68
75.0,     0.00,     1.72,     1.72
76.0,     0.00,     1.59,     1.59
77.0,     0.00,     1.56,     1.56
78.0,     0.00,     1.48,     1.48
79.0,     0.00,     1.52,     1.52
80.0,     0.00,     1.42,     1.42
81.0,     0.00,     1.37,     1.37
82.0,     0.00,     1.31,     1.31
83.0,     0.00,     1.33,     1.33
84.0,     0.00,     1.30,     1.30
85.0,     0.00,     1.20,     1.20
86.0,     0.00,     1.17,     1.17
87.0,     0.00,     1.17,     1.17
88.0,     0.00,     1.15,     1.15
89.0,     0.00,     1.10,     1.10
90.0,     0.00,     1.03,     1.03
91.0,     0.00,     1.05,     1.05
92.0,     0.00,     1.02,     1.02
93.0,     0.00,     1.04,     1.04
94.0,     0.00,     0.93,     0.93
95.0,     0.00,     0.98,     0.98
96.0,     0.00,     0.91,     0.91
97.0,     0.00,     0.94,     0.94
98.0,     0.00,     0.84,     0.84
99.0,     0.00,     0.85,     0.85
100.0,     0.00,     0.88,     0.88
101.0,     0.00,     0.79,     0.79
102.0,     0.00,     0.76,     0.76
103.0,     0.00,     0.78,     0.78
104.0,     0.00,     0.84,     0.84
105.0,     0.00,     0.72,     0.72
106.0,     0.00,     0.69,     0.69
107.0,     0.00,     0.72,     0.72
108.0,     0.00,     0.71,     0.71
109.0,     0.00,     0.71,     0.71
110.0,     0.00,     0.62,     0.62
111.0,     0.00,     0.71,     0.71
112.0,     0.00,     0.66,     0.66
113.0,     0.00,     0.64,     0.64
114.0,     0.00,     0.58,     0.58
115.0,     0.00,     0.65,     0.65
116.0,     0.00,     0.59,     0.59
117.0,     0.00,     0.60,     0.60
118.0,     0.00,     0.54,     0.54
119.0,     0.00,     0.57,     0.57
120.0,     0.00,     0.60,     0.60
121.0,     0.00,     0.55,     0.55
