r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.66,     0.71,     0.02,     0.29,   506.19,   283.11
-4.0,     1.87,     0.80,     0.01,     0.29,   551.56,   298.03
-3.0,     2.19,     0.95,     0.00,     0.28,   642.17,   312.68
-2.0,     2.69,     1.12,    -0.01,     0.27,   801.72,   323.14
-1.0,     3.16,     1.21,    -0.01,     0.27,   955.72,   314.43
 0.0,     3.32,     1.22,    -0.01,     0.26,  1008.10,   302.31
 1.0,     3.11,     1.18,    -0.00,     0.26,   939.38,   308.36
 2.0,     2.65,     1.07,    -0.01,     0.27,   785.95,   317.75
 3.0,     2.18,     0.92,    -0.02,     0.28,   637.86,   309.32
 4.0,     1.84,     0.77,    -0.03,     0.29,   544.40,   286.64
 5.0,     1.61,     0.69,    -0.04,     0.29,   493.14,   263.58
 6.0,     1.45,     0.66,    -0.05,     0.28,   464.68,   243.35
 7.0,     1.32,     0.64,    -0.05,     0.28,   447.93,   227.11
 8.0,     1.21,     0.62,    -0.05,     0.28,   438.96,   216.17
 9.0,     1.11,     0.61,    -0.06,     0.29,   433.59,   207.71
10.0,     1.01,     0.59,    -0.07,     0.29,   428.70,   198.08
11.0,     0.91,     0.57,    -0.08,     0.30,   424.53,   189.22
12.0,     0.81,     0.53,    -0.09,     0.31,   418.42,   178.47
13.0,     0.72,     0.50,    -0.09,     0.32,   410.28,   166.83
14.0,     0.64,     0.48,    -0.10,     0.31,   403.75,   160.33
15.0,     0.57,     0.46,    -0.10,     0.31,   398.18,   155.18
16.0,     0.50,     0.44,    -0.10,     0.31,   390.63,   147.06
17.0,     0.44,     0.42,    -0.10,     0.31,   380.51,   135.46
18.0,     0.37,     0.39,    -0.10,     0.30,   369.33,   122.71
19.0,     0.32,     0.37,    -0.10,     0.29,   358.79,   110.53
20.0,     0.27,     0.34,    -0.11,     0.27,   348.43,    96.97
