z, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
 0.0,     0.00,     0.00,     0.00,     0.00,   298.15,     0.00
 0.5,     0.00,     0.03,     0.00,     0.03,   460.70,    59.02
 1.0,    -0.01,     0.05,     0.01,     0.05,   606.65,    89.40
 1.5,     0.01,     0.07,     0.01,     0.06,   712.54,   115.54
 2.0,     0.05,     0.10,     0.01,     0.08,   778.93,   138.99
 2.5,     0.11,     0.11,     0.02,     0.09,   828.67,   155.07
 3.0,     0.19,     0.13,     0.02,     0.09,   867.70,   165.14
 3.5,     0.29,     0.15,     0.02,     0.10,   899.67,   171.40
 4.0,     0.39,     0.17,     0.02,     0.10,   926.64,   175.33
 4.5,     0.49,     0.19,     0.02,     0.11,   949.99,   177.97
 5.0,     0.60,     0.21,     0.02,     0.11,   970.62,   179.84
 5.5,     0.70,     0.23,     0.02,     0.11,   989.17,   181.17
 6.0,     0.81,     0.25,     0.02,     0.11,  1006.14,   181.99
 6.5,     0.91,     0.27,     0.01,     0.11,  1021.77,   182.34
 7.0,     1.01,     0.29,     0.01,     0.12,  1036.34,   182.45
 7.5,     1.11,     0.31,     0.01,     0.12,  1050.08,   182.55
 8.0,     1.20,     0.33,     0.01,     0.12,  1063.21,   182.63
 8.5,     1.30,     0.35,     0.01,     0.12,  1075.83,   182.69
 9.0,     1.38,     0.37,     0.01,     0.12,  1087.95,   182.68
 9.5,     1.47,     0.38,     0.01,     0.13,  1099.56,   182.61
10.0,     1.55,     0.40,     0.01,     0.13,  1110.66,   182.49
10.5,     1.63,     0.41,     0.01,     0.13,  1121.29,   182.32
11.0,     1.71,     0.43,     0.01,     0.14,  1131.46,   182.09
11.5,     1.78,     0.45,     0.01,     0.14,  1141.14,   181.87
12.0,     1.85,     0.46,     0.01,     0.15,  1150.36,   181.76
12.5,     1.92,     0.48,     0.01,     0.15,  1159.14,   181.82
13.0,     1.99,     0.49,     0.01,     0.15,  1167.50,   182.06
13.5,     2.05,     0.51,     0.01,     0.16,  1175.42,   182.41
14.0,     2.11,     0.52,     0.01,     0.16,  1182.85,   182.88
14.5,     2.17,     0.54,     0.01,     0.17,  1189.75,   183.62
15.0,     2.23,     0.56,     0.01,     0.17,  1196.13,   184.64
15.5,     2.29,     0.58,     0.01,     0.18,  1202.00,   185.90
16.0,     2.34,     0.59,     0.01,     0.18,  1207.33,   187.37
16.5,     2.39,     0.61,     0.01,     0.19,  1212.10,   189.07
