r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.35,     0.34,     0.28,     0.18,   778.25,   296.79
-4.0,     0.37,     0.35,     0.27,     0.17,   841.84,   284.15
-3.0,     0.43,     0.31,     0.24,     0.15,   935.52,   243.84
-2.0,     0.51,     0.22,     0.16,     0.13,  1023.34,   178.52
-1.0,     0.54,     0.15,     0.08,     0.12,  1055.59,   134.81
 0.0,     0.55,     0.14,    -0.01,     0.11,  1052.77,   128.32
 1.0,     0.54,     0.16,    -0.10,     0.11,  1052.37,   142.97
 2.0,     0.51,     0.23,    -0.17,     0.13,  1021.46,   187.85
 3.0,     0.44,     0.31,    -0.24,     0.15,   937.74,   246.48
 4.0,     0.38,     0.34,    -0.27,     0.16,   850.60,   283.64
 4.3,     0.37,     0.34,    -0.28,     0.17,   834.46,   288.50
 5.0,     0.36,     0.34,    -0.29,     0.18,   787.32,   298.47
 6.0,     0.35,     0.33,    -0.29,     0.19,   741.00,   306.98
 7.0,     0.34,     0.31,    -0.29,     0.19,   701.48,   311.68
 7.8,     0.33,     0.29,    -0.29,     0.19,   669.92,   313.35
 8.0,     0.33,     0.29,    -0.29,     0.19,   663.23,   313.79
 9.0,     0.32,     0.27,    -0.29,     0.19,   629.42,   314.97
10.0,     0.31,     0.26,    -0.29,     0.19,   597.25,   314.54
11.0,     0.29,     0.25,    -0.30,     0.18,   556.69,   305.30
12.0,     0.25,     0.23,    -0.29,     0.18,   500.99,   275.02
13.0,     0.18,     0.19,    -0.28,     0.18,   432.88,   216.93
14.0,     0.10,     0.13,    -0.26,     0.17,   362.81,   134.57
15.0,     0.05,     0.09,    -0.23,     0.15,   316.99,    54.02
16.0,     0.02,     0.07,    -0.21,     0.12,   302.78,    12.36
16.2,     0.02,     0.07,    -0.20,     0.12,   302.63,    12.20
17.0,     0.02,     0.06,    -0.19,     0.11,   300.76,     1.43
18.0,     0.02,     0.05,    -0.18,     0.09,   300.55,     0.09
19.0,     0.02,     0.05,    -0.16,     0.08,   300.53,     0.01
19.8,     0.02,     0.04,    -0.16,     0.08,   300.52,     0.01
20.0,     0.02,     0.04,    -0.15,     0.08,   300.52,     0.01
