z, Q_rad
cm, kW/m2
 1.0,     0.48
 3.0,     0.44
 5.0,     0.41
 7.0,     0.39
 9.0,     0.40
11.0,     0.44
13.0,     0.52
15.0,     0.63
17.0,     0.76
19.0,     0.90
21.0,     1.02
23.0,     1.11
25.0,     1.16
27.0,     1.17
29.0,     1.16
31.0,     1.11
33.0,     1.05
35.0,     0.97
37.0,     0.89
39.0,     0.81
41.0,     0.74
43.0,     0.67
45.0,     0.60
47.0,     0.55
49.0,     0.50
51.0,     0.45
53.0,     0.42
55.0,     0.38
57.0,     0.35
59.0,     0.33
61.0,     0.31
63.0,     0.29
65.0,     0.28
67.0,     0.27
69.0,     0.26
71.0,     0.25
73.0,     0.25
75.0,     0.25
77.0,     0.24
79.0,     0.25
81.0,     0.25
83.0,     0.25
85.0,     0.26
87.0,     0.26
89.0,     0.27
91.0,     0.27
93.0,     0.28
95.0,     0.28
97.0,     0.29
99.0,     0.29
101.0,     0.29
103.0,     0.30
105.0,     0.30
107.0,     0.30
109.0,     0.29
111.0,     0.29
113.0,     0.29
115.0,     0.28
117.0,     0.28
119.0,     0.28
121.0,     0.27
123.0,     0.27
125.0,     0.26
127.0,     0.26
129.0,     0.26
