r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     2.15,     0.98,    -0.01,     0.33,   571.81,   243.31
-3.0,     2.71,     1.13,    -0.01,     0.33,   698.02,   273.69
-1.0,     3.17,     1.18,    -0.00,     0.34,   809.62,   281.12
 1.0,     3.14,     1.16,     0.01,     0.35,   802.56,   279.76
 3.0,     2.67,     1.10,     0.01,     0.33,   688.34,   272.52
 5.0,     2.14,     0.98,     0.01,     0.33,   570.55,   244.02
 7.0,     1.69,     0.84,    -0.01,     0.32,   488.37,   201.66
 9.0,     1.28,     0.74,    -0.03,     0.30,   432.85,   158.97
11.0,     0.91,     0.65,    -0.05,     0.28,   392.43,   123.03
13.0,     0.61,     0.54,    -0.07,     0.25,   360.98,    94.00
15.0,     0.38,     0.44,    -0.08,     0.23,   338.17,    71.82
17.0,     0.23,     0.34,    -0.09,     0.20,   323.04,    54.40
19.0,     0.14,     0.24,    -0.09,     0.17,   313.13,    39.26
21.0,     0.08,     0.16,    -0.09,     0.14,   306.69,    25.90
