z, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
 0.0,     0.00,     0.00,     0.00,     0.00,   298.15,     0.00
 1.0,     0.01,     0.04,     0.00,     0.06,   439.80,    67.15
 2.0,    -0.01,     0.07,     0.00,     0.11,   596.18,    97.54
 3.0,    -0.02,     0.10,     0.00,     0.17,   715.29,   103.76
 4.0,    -0.01,     0.13,     0.00,     0.21,   783.76,   110.90
 5.0,     0.02,     0.14,     0.00,     0.24,   832.73,   122.45
 6.0,     0.08,     0.16,     0.00,     0.27,   872.79,   132.30
 7.0,     0.15,     0.17,     0.00,     0.30,   907.92,   140.21
 8.0,     0.24,     0.18,     0.01,     0.31,   938.56,   145.87
 9.0,     0.35,     0.20,     0.01,     0.33,   965.12,   150.18
10.0,     0.46,     0.21,     0.01,     0.34,   988.50,   154.23
11.0,     0.58,     0.23,     0.01,     0.36,  1009.37,   157.65
12.0,     0.71,     0.25,     0.01,     0.36,  1028.22,   160.34
13.0,     0.84,     0.28,     0.01,     0.37,  1044.96,   162.12
14.0,     0.98,     0.30,     0.01,     0.37,  1059.97,   163.20
15.0,     1.11,     0.32,     0.01,     0.37,  1073.66,   163.90
16.0,     1.24,     0.35,     0.01,     0.38,  1086.44,   164.42
17.0,     1.38,     0.38,     0.00,     0.38,  1098.55,   164.94
18.0,     1.51,     0.40,     0.00,     0.38,  1110.19,   165.47
19.0,     1.64,     0.43,     0.00,     0.38,  1121.44,   165.92
20.0,     1.77,     0.45,     0.00,     0.38,  1132.16,   166.20
21.0,     1.90,     0.48,     0.00,     0.38,  1142.39,   166.27
22.0,     2.02,     0.50,     0.00,     0.38,  1152.15,   166.21
23.0,     2.15,     0.53,    -0.00,     0.38,  1161.46,   166.09
24.0,     2.27,     0.55,    -0.00,     0.38,  1170.42,   165.90
25.0,     2.38,     0.57,    -0.00,     0.39,  1179.02,   165.69
26.0,     2.50,     0.59,    -0.00,     0.39,  1187.28,   165.44
27.0,     2.61,     0.61,    -0.00,     0.39,  1195.20,   165.19
28.0,     2.72,     0.63,    -0.00,     0.39,  1202.81,   165.02
29.0,     2.83,     0.65,    -0.00,     0.39,  1210.12,   164.91
30.0,     2.93,     0.66,    -0.00,     0.40,  1217.15,   164.83
31.0,     3.03,     0.68,    -0.01,     0.40,  1223.90,   164.76
32.0,     3.13,     0.70,    -0.01,     0.40,  1230.30,   164.73
33.0,     3.23,     0.72,    -0.01,     0.40,  1236.36,   164.81
