z, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
 0.0,     0.00,     0.00,     0.00,     0.00,   298.15,     0.00
 4.0,     0.20,     0.28,    -0.00,     0.35,  1017.33,   153.63
 8.0,     0.61,     0.37,    -0.01,     0.37,  1069.86,   182.48
12.0,     1.02,     0.42,    -0.01,     0.34,  1098.47,   183.13
16.0,     1.40,     0.47,    -0.01,     0.33,  1108.28,   186.55
20.0,     1.77,     0.54,    -0.00,     0.33,  1111.53,   191.38
24.0,     2.12,     0.62,    -0.00,     0.33,  1112.59,   196.63
28.0,     2.44,     0.73,    -0.00,     0.33,  1112.04,   202.86
32.0,     2.73,     0.83,    -0.00,     0.34,  1110.55,   209.25
36.0,     3.00,     0.94,    -0.00,     0.35,  1108.74,   215.52
40.0,     3.24,     1.04,     0.00,     0.36,  1106.62,   221.53
44.0,     3.47,     1.14,     0.00,     0.37,  1103.77,   227.75
48.0,     3.67,     1.24,     0.00,     0.38,  1100.02,   234.18
52.0,     3.85,     1.33,     0.00,     0.39,  1095.34,   240.73
56.0,     4.01,     1.42,     0.01,     0.40,  1089.49,   247.77
60.0,     4.16,     1.50,     0.01,     0.41,  1082.62,   254.96
64.0,     4.29,     1.58,     0.01,     0.43,  1074.89,   261.94
68.0,     4.42,     1.65,     0.01,     0.44,  1066.37,   268.76
72.0,     4.53,     1.72,     0.01,     0.45,  1056.86,   275.39
76.0,     4.63,     1.78,     0.01,     0.46,  1046.39,   281.79
80.0,     4.72,     1.84,     0.01,     0.47,  1035.16,   287.70
84.0,     4.80,     1.90,     0.01,     0.49,  1023.24,   293.08
88.0,     4.88,     1.95,     0.01,     0.50,  1010.54,   297.98
92.0,     4.95,     2.00,     0.01,     0.51,   997.13,   302.40
96.0,     5.01,     2.04,     0.01,     0.52,   983.11,   306.25
100.0,     5.06,     2.08,     0.01,     0.53,   968.53,   309.48
104.0,     5.11,     2.11,     0.01,     0.54,   953.57,   312.10
108.0,     5.15,     2.15,     0.01,     0.55,   938.30,   314.13
112.0,     5.18,     2.18,     0.01,     0.56,   922.86,   315.68
116.0,     5.22,     2.20,     0.01,     0.57,   907.33,   316.72
120.0,     5.24,     2.23,     0.02,     0.57,   891.67,   317.32
124.0,     5.26,     2.25,     0.02,     0.58,   875.93,   317.52
128.0,     5.28,     2.27,     0.02,     0.59,   860.08,   317.32
132.0,     5.29,     2.28,     0.02,     0.59,   844.26,   316.66
136.0,     5.30,     2.30,     0.02,     0.60,   828.55,   315.52
140.0,     5.31,     2.31,     0.02,     0.60,   813.01,   313.88
144.0,     5.31,     2.31,     0.02,     0.61,   797.73,   311.79
148.0,     5.30,     2.32,     0.01,     0.61,   782.70,   309.21
152.0,     5.30,     2.32,     0.01,     0.62,   767.99,   306.11
156.0,     5.30,     2.32,     0.01,     0.62,   753.62,   302.58
160.0,     5.29,     2.31,     0.01,     0.63,   739.62,   298.58
164.0,     5.28,     2.30,     0.01,     0.63,   725.89,   294.13
168.0,     5.27,     2.30,     0.01,     0.64,   712.46,   289.28
172.0,     5.25,     2.28,     0.01,     0.64,   699.25,   283.98
176.0,     5.24,     2.27,     0.01,     0.65,   686.27,   278.33
180.0,     5.22,     2.25,     0.01,     0.65,   673.62,   272.32
184.0,     5.20,     2.24,     0.01,     0.66,   661.21,   266.01
188.0,     5.18,     2.22,     0.01,     0.66,   649.08,   259.43
192.0,     5.16,     2.20,     0.01,     0.67,   637.25,   252.65
196.0,     5.13,     2.18,     0.01,     0.67,   625.72,   245.75
200.0,     5.10,     2.16,     0.01,     0.67,   614.54,   238.85
204.0,     5.07,     2.14,     0.01,     0.68,   603.67,   231.91
208.0,     5.04,     2.12,     0.01,     0.68,   593.19,   224.92
212.0,     5.02,     2.09,     0.01,     0.68,   583.12,   217.97
216.0,     4.99,     2.07,     0.01,     0.69,   573.48,   211.11
220.0,     4.96,     2.04,     0.01,     0.69,   564.34,   204.45
