z, Q_rad
cm, kW/m2
 1.0,     0.42
 3.0,     0.38
 5.0,     0.36
 7.0,     0.35
 9.0,     0.37
11.0,     0.44
13.0,     0.56
15.0,     0.72
17.0,     0.91
19.0,     1.11
21.0,     1.27
23.0,     1.39
25.0,     1.44
27.0,     1.42
29.0,     1.35
31.0,     1.24
33.0,     1.12
35.0,     0.98
37.0,     0.86
39.0,     0.74
41.0,     0.65
43.0,     0.56
45.0,     0.50
47.0,     0.44
49.0,     0.40
51.0,     0.36
53.0,     0.34
55.0,     0.31
57.0,     0.29
59.0,     0.27
61.0,     0.26
63.0,     0.25
65.0,     0.24
67.0,     0.23
69.0,     0.22
71.0,     0.22
73.0,     0.22
75.0,     0.22
77.0,     0.22
79.0,     0.22
81.0,     0.23
83.0,     0.24
85.0,     0.24
87.0,     0.25
89.0,     0.26
91.0,     0.27
93.0,     0.28
95.0,     0.29
97.0,     0.29
99.0,     0.30
101.0,     0.30
103.0,     0.31
105.0,     0.31
107.0,     0.31
109.0,     0.30
111.0,     0.30
113.0,     0.30
115.0,     0.29
117.0,     0.28
119.0,     0.27
121.0,     0.27
123.0,     0.26
125.0,     0.25
127.0,     0.25
129.0,     0.24
