z, Q_rad
cm, kW/m2
 1.0,     0.51
 3.0,     0.45
 5.0,     0.40
 7.0,     0.37
 9.0,     0.39
11.0,     0.44
13.0,     0.55
15.0,     0.70
17.0,     0.88
19.0,     1.07
21.0,     1.23
23.0,     1.36
25.0,     1.44
27.0,     1.46
29.0,     1.44
31.0,     1.37
33.0,     1.28
35.0,     1.16
37.0,     1.04
39.0,     0.92
41.0,     0.81
43.0,     0.71
45.0,     0.62
47.0,     0.54
49.0,     0.48
51.0,     0.42
53.0,     0.38
55.0,     0.34
57.0,     0.31
59.0,     0.29
61.0,     0.27
63.0,     0.25
65.0,     0.24
67.0,     0.24
69.0,     0.23
71.0,     0.23
73.0,     0.23
75.0,     0.23
77.0,     0.24
79.0,     0.24
81.0,     0.25
83.0,     0.26
85.0,     0.27
87.0,     0.28
89.0,     0.29
91.0,     0.30
93.0,     0.30
95.0,     0.31
97.0,     0.32
99.0,     0.32
101.0,     0.33
103.0,     0.33
105.0,     0.33
107.0,     0.33
109.0,     0.32
111.0,     0.32
113.0,     0.31
115.0,     0.31
117.0,     0.30
119.0,     0.29
121.0,     0.29
123.0,     0.28
125.0,     0.27
127.0,     0.27
129.0,     0.26
