z, Q_rad
cm, kW/m2
 2.0,     0.35
 6.0,     0.33
10.0,     0.32
14.0,     0.31
18.0,     0.30
22.0,     0.30
26.0,     0.30
30.0,     0.32
34.0,     0.35
38.0,     0.40
42.0,     0.49
46.0,     0.61
50.0,     0.77
54.0,     0.96
58.0,     1.17
62.0,     1.39
66.0,     1.60
70.0,     1.79
74.0,     1.94
78.0,     2.04
82.0,     2.08
86.0,     2.06
90.0,     1.99
94.0,     1.88
98.0,     1.73
102.0,     1.57
106.0,     1.40
110.0,     1.24
114.0,     1.09
118.0,     0.95
122.0,     0.83
126.0,     0.74
130.0,     0.66
134.0,     0.59
138.0,     0.55
142.0,     0.51
146.0,     0.48
150.0,     0.46
154.0,     0.45
158.0,     0.44
162.0,     0.43
166.0,     0.43
170.0,     0.42
174.0,     0.42
178.0,     0.42
182.0,     0.42
186.0,     0.42
190.0,     0.41
194.0,     0.41
198.0,     0.40
