z, Q_rad
cm, kW/m2
 2.0,     0.53
 6.0,     0.50
10.0,     0.47
14.0,     0.45
18.0,     0.43
22.0,     0.41
26.0,     0.40
30.0,     0.40
34.0,     0.43
38.0,     0.48
42.0,     0.56
46.0,     0.68
50.0,     0.84
54.0,     1.04
58.0,     1.26
62.0,     1.50
66.0,     1.74
70.0,     1.96
74.0,     2.15
78.0,     2.29
82.0,     2.38
86.0,     2.41
90.0,     2.39
94.0,     2.32
98.0,     2.20
102.0,     2.06
106.0,     1.91
110.0,     1.74
114.0,     1.58
118.0,     1.43
122.0,     1.29
126.0,     1.16
130.0,     1.05
134.0,     0.96
138.0,     0.88
142.0,     0.81
146.0,     0.76
150.0,     0.72
154.0,     0.68
158.0,     0.65
162.0,     0.63
166.0,     0.61
170.0,     0.60
174.0,     0.58
178.0,     0.57
182.0,     0.56
186.0,     0.55
190.0,     0.54
194.0,     0.53
198.0,     0.52
