r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-18.0,     3.37,     1.40,     0.05,     0.63,   459.95,   165.43
-14.0,     3.84,     1.64,     0.03,     0.64,   504.81,   194.94
-10.0,     4.39,     1.93,     0.00,     0.65,   565.36,   229.48
-6.0,     4.90,     2.16,    -0.01,     0.65,   628.43,   256.98
-2.0,     5.21,     2.25,     0.00,     0.65,   670.63,   270.63
 2.0,     5.22,     2.26,     0.02,     0.65,   670.83,   270.72
 6.0,     4.92,     2.17,     0.04,     0.66,   627.74,   257.83
10.0,     4.43,     1.94,     0.04,     0.65,   565.84,   233.29
14.0,     3.93,     1.67,     0.02,     0.64,   508.84,   202.53
18.0,     3.47,     1.44,     0.00,     0.64,   467.78,   176.23
22.0,     3.11,     1.28,    -0.02,     0.63,   442.74,   160.05
26.0,     2.80,     1.20,    -0.03,     0.63,   426.11,   148.61
30.0,     2.48,     1.13,    -0.05,     0.61,   413.36,   136.79
34.0,     2.20,     1.08,    -0.07,     0.60,   402.73,   125.95
38.0,     1.92,     1.05,    -0.09,     0.58,   392.44,   116.23
42.0,     1.65,     1.01,    -0.10,     0.56,   381.82,   105.63
46.0,     1.41,     0.97,    -0.12,     0.54,   371.90,    96.64
50.0,     1.19,     0.92,    -0.13,     0.52,   362.42,    88.84
54.0,     0.99,     0.85,    -0.14,     0.50,   352.88,    80.33
58.0,     0.80,     0.78,    -0.16,     0.47,   343.87,    72.90
62.0,     0.64,     0.69,    -0.17,     0.45,   335.86,    66.70
