r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.34,     0.32,     0.30,     0.18,   773.48,   275.25
-4.0,     0.37,     0.31,     0.30,     0.16,   845.08,   253.79
-3.0,     0.42,     0.27,     0.26,     0.14,   929.65,   211.66
-2.0,     0.49,     0.19,     0.18,     0.12,  1001.31,   151.79
-1.0,     0.52,     0.13,     0.09,     0.11,  1027.30,   107.08
 0.0,     0.52,     0.11,    -0.00,     0.11,  1025.60,    93.85
 1.0,     0.51,     0.13,    -0.09,     0.11,  1024.14,   106.64
 2.0,     0.48,     0.20,    -0.18,     0.12,   993.14,   157.12
 3.0,     0.42,     0.27,    -0.25,     0.14,   922.54,   216.72
 4.0,     0.38,     0.31,    -0.29,     0.16,   845.71,   256.26
 4.3,     0.37,     0.31,    -0.30,     0.17,   829.45,   261.83
 5.0,     0.35,     0.32,    -0.30,     0.18,   778.11,   275.63
 6.0,     0.33,     0.31,    -0.30,     0.19,   720.42,   285.39
 7.0,     0.32,     0.29,    -0.29,     0.19,   675.98,   289.79
 7.8,     0.32,     0.27,    -0.29,     0.19,   650.95,   292.15
 8.0,     0.32,     0.27,    -0.28,     0.19,   645.23,   292.96
 9.0,     0.31,     0.27,    -0.28,     0.19,   615.08,   299.29
10.0,     0.29,     0.26,    -0.28,     0.18,   572.07,   300.59
11.0,     0.26,     0.26,    -0.28,     0.19,   527.70,   290.34
12.0,     0.23,     0.23,    -0.27,     0.18,   485.39,   263.99
13.0,     0.17,     0.19,    -0.27,     0.18,   425.49,   207.32
14.0,     0.09,     0.13,    -0.25,     0.17,   357.65,   124.46
15.0,     0.04,     0.09,    -0.22,     0.15,   314.81,    48.45
16.0,     0.02,     0.08,    -0.20,     0.12,   302.25,    10.24
16.2,     0.02,     0.07,    -0.19,     0.12,   302.11,    10.01
17.0,     0.02,     0.06,    -0.18,     0.10,   300.65,     1.11
18.0,     0.01,     0.05,    -0.17,     0.09,   300.51,     0.07
19.0,     0.02,     0.04,    -0.16,     0.08,   300.49,     0.01
19.8,     0.02,     0.04,    -0.15,     0.08,   300.48,     0.01
20.0,     0.02,     0.04,    -0.15,     0.08,   300.48,     0.01
