r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.36,     0.32,     0.30,     0.16,   868.31,   251.33
-3.0,     0.48,     0.25,     0.22,     0.16,   985.11,   182.28
-1.0,     0.53,     0.18,     0.08,     0.17,  1040.94,   116.72
 1.0,     0.53,     0.19,    -0.09,     0.17,  1038.76,   119.14
 3.0,     0.47,     0.26,    -0.23,     0.16,   978.11,   188.51
 5.0,     0.35,     0.32,    -0.31,     0.16,   860.39,   255.48
 7.0,     0.25,     0.33,    -0.32,     0.17,   741.24,   278.52
 9.0,     0.20,     0.30,    -0.31,     0.18,   650.45,   269.92
11.0,     0.16,     0.26,    -0.29,     0.17,   568.37,   241.39
13.0,     0.10,     0.20,    -0.27,     0.15,   476.37,   185.13
15.0,     0.07,     0.14,    -0.19,     0.11,   344.40,    95.87
17.0,     0.03,     0.08,    -0.16,     0.08,   301.19,     3.13
19.0,     0.01,     0.05,    -0.13,     0.07,   300.20,     0.15
21.0,     0.01,     0.04,    -0.11,     0.06,   300.18,     0.01
