r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.66,     0.70,     0.00,     0.27,   507.24,   265.85
-4.0,     1.94,     0.80,    -0.00,     0.27,   578.76,   296.50
-3.0,     2.36,     0.95,    -0.00,     0.27,   705.21,   323.07
-2.0,     2.90,     1.07,    -0.01,     0.28,   880.20,   323.90
-1.0,     3.34,     1.11,    -0.01,     0.27,  1025.16,   295.37
 0.0,     3.47,     1.11,    -0.01,     0.27,  1066.91,   279.77
 1.0,     3.24,     1.12,    -0.00,     0.27,   995.07,   305.55
 2.0,     2.76,     1.07,    -0.01,     0.28,   833.96,   330.17
 3.0,     2.25,     0.92,    -0.01,     0.28,   668.54,   325.30
 4.0,     1.88,     0.79,    -0.01,     0.28,   564.59,   304.95
 5.0,     1.65,     0.71,    -0.01,     0.28,   509.20,   281.84
 6.0,     1.48,     0.66,    -0.02,     0.27,   477.92,   257.72
 7.0,     1.33,     0.63,    -0.02,     0.27,   457.51,   234.17
 8.0,     1.20,     0.62,    -0.03,     0.27,   442.23,   214.92
 9.0,     1.06,     0.60,    -0.04,     0.27,   429.40,   198.99
10.0,     0.93,     0.57,    -0.06,     0.27,   416.82,   182.20
11.0,     0.81,     0.54,    -0.07,     0.27,   405.12,   165.24
12.0,     0.70,     0.50,    -0.09,     0.26,   394.62,   149.56
13.0,     0.60,     0.46,    -0.10,     0.26,   384.15,   134.18
14.0,     0.52,     0.43,    -0.10,     0.26,   374.69,   121.26
15.0,     0.45,     0.41,    -0.10,     0.25,   366.64,   111.11
16.0,     0.39,     0.38,    -0.11,     0.25,   358.88,   101.20
17.0,     0.34,     0.37,    -0.11,     0.25,   351.16,    93.18
18.0,     0.29,     0.34,    -0.11,     0.24,   344.10,    86.76
19.0,     0.25,     0.32,    -0.11,     0.23,   337.73,    79.81
20.0,     0.20,     0.29,    -0.11,     0.22,   331.11,    70.87
