r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     0.33,     0.32,     0.31,     0.18,   758.21,   279.59
-4.0,     0.35,     0.32,     0.30,     0.16,   825.64,   262.32
-3.0,     0.41,     0.28,     0.26,     0.14,   910.15,   224.74
-2.0,     0.47,     0.21,     0.18,     0.12,   987.64,   166.17
-1.0,     0.51,     0.14,     0.09,     0.12,  1023.50,   114.97
 0.0,     0.52,     0.12,    -0.00,     0.12,  1027.34,    97.72
 1.0,     0.51,     0.14,    -0.09,     0.12,  1020.72,   115.46
 2.0,     0.47,     0.21,    -0.18,     0.12,   983.75,   168.23
 3.0,     0.41,     0.28,    -0.26,     0.14,   908.19,   225.97
 4.0,     0.36,     0.32,    -0.30,     0.16,   829.29,   262.23
 4.3,     0.35,     0.32,    -0.30,     0.17,   813.79,   267.13
 5.0,     0.34,     0.32,    -0.31,     0.18,   765.39,   279.27
 6.0,     0.32,     0.31,    -0.30,     0.19,   712.32,   288.81
 7.0,     0.32,     0.29,    -0.29,     0.19,   673.66,   294.05
 7.8,     0.32,     0.28,    -0.29,     0.19,   650.71,   296.82
 8.0,     0.32,     0.27,    -0.29,     0.19,   645.65,   297.79
 9.0,     0.31,     0.27,    -0.29,     0.19,   614.50,   302.25
10.0,     0.29,     0.26,    -0.29,     0.18,   572.27,   299.18
11.0,     0.26,     0.26,    -0.28,     0.18,   527.27,   285.37
12.0,     0.22,     0.24,    -0.27,     0.18,   481.39,   257.72
13.0,     0.16,     0.19,    -0.26,     0.17,   420.01,   200.67
14.0,     0.08,     0.13,    -0.24,     0.16,   353.38,   118.43
15.0,     0.03,     0.09,    -0.21,     0.14,   313.24,    44.57
16.0,     0.02,     0.07,    -0.19,     0.12,   302.10,    10.06
16.2,     0.01,     0.07,    -0.19,     0.12,   301.98,     9.83
17.0,     0.02,     0.06,    -0.17,     0.10,   300.65,     1.29
18.0,     0.01,     0.05,    -0.17,     0.09,   300.51,     0.09
19.0,     0.02,     0.04,    -0.15,     0.08,   300.50,     0.01
19.8,     0.02,     0.04,    -0.15,     0.08,   300.49,     0.01
20.0,     0.02,     0.04,    -0.14,     0.08,   300.48,     0.01
