z, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
 0.0,     0.00,     0.00,     0.00,     0.00,   298.15,     0.00
 1.0,     0.03,     0.08,     0.00,     0.09,   767.47,   105.00
 2.0,     0.18,     0.11,    -0.00,     0.11,   934.69,    95.05
 3.0,     0.37,     0.11,    -0.00,     0.11,   997.36,    97.82
 4.0,     0.55,     0.12,    -0.00,     0.11,  1029.49,    97.85
 5.0,     0.75,     0.14,    -0.00,     0.11,  1050.04,    99.20
 6.0,     0.94,     0.18,    -0.00,     0.11,  1064.69,   102.03
 7.0,     1.12,     0.22,    -0.01,     0.11,  1076.16,   106.28
 8.0,     1.29,     0.26,    -0.01,     0.12,  1085.72,   111.16
 9.0,     1.44,     0.31,    -0.01,     0.12,  1094.28,   116.21
10.0,     1.59,     0.35,    -0.01,     0.12,  1102.25,   121.15
11.0,     1.73,     0.40,    -0.01,     0.13,  1109.73,   126.12
12.0,     1.85,     0.44,    -0.01,     0.13,  1116.75,   131.27
13.0,     1.97,     0.48,    -0.01,     0.13,  1123.36,   136.47
14.0,     2.09,     0.51,    -0.00,     0.14,  1129.58,   141.61
15.0,     2.19,     0.55,    -0.00,     0.14,  1135.35,   146.73
16.0,     2.29,     0.58,    -0.00,     0.15,  1140.60,   151.98
17.0,     2.38,     0.61,    -0.00,     0.15,  1145.23,   157.40
18.0,     2.47,     0.64,    -0.00,     0.16,  1149.20,   162.86
19.0,     2.55,     0.66,    -0.00,     0.17,  1152.35,   168.42
20.0,     2.63,     0.69,    -0.00,     0.17,  1154.54,   174.19
21.0,     2.70,     0.72,    -0.00,     0.18,  1155.80,   180.16
22.0,     2.77,     0.74,    -0.00,     0.18,  1156.03,   186.26
23.0,     2.84,     0.77,    -0.00,     0.19,  1155.29,   192.43
24.0,     2.90,     0.80,    -0.00,     0.20,  1153.64,   198.62
25.0,     2.96,     0.82,    -0.00,     0.20,  1151.11,   204.88
26.0,     3.01,     0.85,    -0.00,     0.21,  1147.72,   211.20
27.0,     3.06,     0.87,    -0.00,     0.21,  1143.63,   217.50
28.0,     3.11,     0.90,    -0.00,     0.22,  1138.93,   223.69
29.0,     3.16,     0.92,    -0.00,     0.23,  1133.67,   229.73
30.0,     3.20,     0.94,    -0.00,     0.23,  1127.82,   235.74
31.0,     3.25,     0.97,    -0.00,     0.24,  1121.39,   241.73
32.0,     3.28,     0.99,    -0.00,     0.25,  1114.43,   247.68
