z, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
 0.0,     0.00,     0.00,     0.00,     0.00,   298.15,     0.00
 1.0,     0.01,     0.04,     0.01,     0.07,   458.44,    70.04
 2.0,    -0.01,     0.07,     0.02,     0.12,   620.77,   102.43
 3.0,    -0.02,     0.10,     0.02,     0.17,   736.37,   114.64
 4.0,    -0.00,     0.13,     0.02,     0.21,   802.61,   125.95
 5.0,     0.03,     0.15,     0.01,     0.24,   850.39,   136.82
 6.0,     0.09,     0.16,     0.01,     0.27,   888.34,   144.81
 7.0,     0.16,     0.17,     0.01,     0.29,   919.92,   151.36
 8.0,     0.25,     0.18,     0.01,     0.31,   946.87,   155.80
 9.0,     0.36,     0.20,     0.01,     0.32,   970.67,   158.12
10.0,     0.47,     0.22,     0.01,     0.34,   991.90,   159.58
11.0,     0.60,     0.23,     0.01,     0.35,  1011.10,   160.59
12.0,     0.72,     0.25,     0.01,     0.36,  1028.89,   161.57
13.0,     0.85,     0.27,     0.01,     0.36,  1045.29,   162.44
14.0,     0.99,     0.30,     0.01,     0.37,  1060.57,   163.05
15.0,     1.12,     0.32,     0.01,     0.37,  1074.75,   163.42
16.0,     1.26,     0.35,     0.01,     0.38,  1087.97,   163.52
17.0,     1.39,     0.37,     0.01,     0.38,  1100.34,   163.34
18.0,     1.52,     0.40,     0.01,     0.38,  1111.82,   163.01
19.0,     1.65,     0.42,     0.01,     0.39,  1122.58,   162.68
20.0,     1.78,     0.45,     0.01,     0.39,  1132.73,   162.43
21.0,     1.91,     0.48,     0.01,     0.39,  1142.41,   162.27
22.0,     2.03,     0.50,     0.01,     0.39,  1151.70,   162.14
23.0,     2.15,     0.52,     0.02,     0.39,  1160.70,   161.96
24.0,     2.27,     0.55,     0.02,     0.39,  1169.44,   161.75
25.0,     2.39,     0.57,     0.02,     0.39,  1177.92,   161.57
26.0,     2.50,     0.59,     0.02,     0.39,  1186.14,   161.45
27.0,     2.61,     0.61,     0.02,     0.39,  1194.05,   161.40
28.0,     2.72,     0.63,     0.02,     0.40,  1201.58,   161.47
29.0,     2.83,     0.65,     0.02,     0.40,  1208.79,   161.66
30.0,     2.94,     0.67,     0.02,     0.40,  1215.68,   161.94
31.0,     3.04,     0.69,     0.02,     0.40,  1222.25,   162.35
32.0,     3.14,     0.71,     0.02,     0.40,  1228.55,   162.81
33.0,     3.23,     0.72,     0.02,     0.40,  1234.60,   163.23
