z, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
 0.0,     0.01,     0.00,     0.00,     0.00,   300.00,     0.00
 1.0,     0.00,     0.06,    -0.01,     0.10,   537.10,   109.31
 2.0,    -0.00,     0.10,    -0.01,     0.18,   751.78,   143.61
 3.0,     0.01,     0.13,     0.00,     0.23,   867.67,   153.44
 4.0,     0.05,     0.16,     0.00,     0.25,   937.18,   163.97
 5.0,     0.12,     0.17,     0.00,     0.28,   988.55,   171.18
 6.0,     0.21,     0.19,     0.00,     0.30,  1030.92,   175.26
 7.0,     0.32,     0.20,     0.00,     0.32,  1066.06,   177.77
 8.0,     0.43,     0.22,     0.01,     0.34,  1093.84,   178.11
 9.0,     0.56,     0.23,     0.01,     0.35,  1116.34,   176.68
10.0,     0.69,     0.25,     0.01,     0.35,  1135.85,   174.73
11.0,     0.83,     0.28,     0.01,     0.36,  1153.06,   172.80
12.0,     0.96,     0.30,     0.01,     0.36,  1168.39,   171.00
13.0,     1.10,     0.33,     0.00,     0.37,  1181.98,   169.24
14.0,     1.24,     0.36,     0.00,     0.37,  1194.05,   167.88
15.0,     1.37,     0.39,     0.00,     0.37,  1204.79,   166.98
16.0,     1.50,     0.42,     0.00,     0.38,  1214.57,   166.31
17.0,     1.64,     0.45,     0.00,     0.38,  1223.81,   165.76
18.0,     1.77,     0.48,     0.00,     0.38,  1232.54,   165.29
19.0,     1.89,     0.51,     0.00,     0.39,  1240.62,   165.06
20.0,     2.02,     0.54,     0.00,     0.39,  1248.13,   165.04
21.0,     2.14,     0.57,     0.01,     0.39,  1255.05,   165.03
22.0,     2.26,     0.60,     0.01,     0.40,  1261.35,   165.11
23.0,     2.38,     0.63,     0.01,     0.40,  1266.99,   165.46
24.0,     2.49,     0.66,     0.01,     0.40,  1272.02,   166.05
25.0,     2.60,     0.69,     0.01,     0.40,  1276.51,   167.00
26.0,     2.71,     0.71,     0.01,     0.40,  1280.58,   168.30
27.0,     2.82,     0.74,     0.01,     0.40,  1284.50,   169.66
28.0,     2.92,     0.77,     0.01,     0.40,  1288.29,   171.01
29.0,     3.02,     0.79,     0.01,     0.40,  1292.02,   172.12
30.0,     3.12,     0.82,     0.01,     0.41,  1295.65,   172.95
31.0,     3.22,     0.84,     0.01,     0.41,  1299.16,   173.57
32.0,     3.31,     0.86,     0.01,     0.41,  1302.45,   174.12
33.0,     3.40,     0.88,     0.01,     0.41,  1305.46,   174.86
34.0,     3.49,     0.90,     0.01,     0.41,  1308.22,   176.00
35.0,     3.58,     0.92,     0.01,     0.41,  1310.85,   177.46
36.0,     3.67,     0.94,     0.01,     0.41,  1313.41,   178.95
37.0,     3.75,     0.96,     0.01,     0.41,  1315.93,   180.41
38.0,     3.83,     0.97,     0.01,     0.42,  1318.41,   181.89
39.0,     3.91,     0.99,     0.01,     0.42,  1320.72,   183.50
40.0,     3.99,     1.01,     0.00,     0.42,  1322.90,   185.18
41.0,     4.07,     1.02,     0.00,     0.42,  1324.91,   186.96
42.0,     4.14,     1.04,     0.00,     0.42,  1326.72,   188.91
43.0,     4.21,     1.06,     0.00,     0.42,  1328.38,   190.93
44.0,     4.28,     1.07,     0.00,     0.43,  1329.91,   192.92
45.0,     4.35,     1.09,     0.00,     0.43,  1331.31,   194.89
46.0,     4.42,     1.10,     0.00,     0.43,  1332.57,   196.83
47.0,     4.48,     1.12,    -0.00,     0.44,  1333.64,   198.83
48.0,     4.54,     1.13,    -0.00,     0.44,  1334.53,   200.95
49.0,     4.61,     1.15,    -0.00,     0.44,  1335.18,   203.25
50.0,     4.67,     1.16,    -0.00,     0.45,  1335.58,   205.68
51.0,     4.73,     1.18,    -0.00,     0.45,  1335.70,   208.31
52.0,     4.78,     1.19,    -0.00,     0.45,  1335.54,   211.05
53.0,     4.84,     1.20,    -0.00,     0.46,  1335.09,   213.92
54.0,     4.89,     1.22,    -0.00,     0.46,  1334.37,   216.94
55.0,     4.94,     1.23,    -0.01,     0.46,  1333.40,   220.07
56.0,     4.99,     1.25,    -0.01,     0.47,  1332.15,   223.36
57.0,     5.04,     1.27,    -0.01,     0.47,  1330.66,   226.79
58.0,     5.09,     1.28,    -0.01,     0.47,  1328.95,   230.40
59.0,     5.13,     1.30,    -0.01,     0.48,  1327.03,   234.12
60.0,     5.18,     1.31,    -0.01,     0.48,  1324.94,   237.99
61.0,     5.22,     1.33,    -0.01,     0.49,  1322.64,   241.98
62.0,     5.26,     1.34,    -0.01,     0.49,  1320.15,   246.10
63.0,     5.30,     1.36,    -0.01,     0.50,  1317.46,   250.35
64.0,     5.34,     1.37,    -0.01,     0.50,  1314.58,   254.67
65.0,     5.38,     1.38,    -0.01,     0.51,  1311.48,   259.08
66.0,     5.42,     1.40,    -0.01,     0.51,  1308.18,   263.49
67.0,     5.46,     1.41,    -0.01,     0.52,  1304.76,   267.77
68.0,     5.49,     1.43,    -0.01,     0.52,  1301.17,   271.96
69.0,     5.52,     1.44,    -0.01,     0.53,  1297.38,   276.06
70.0,     5.56,     1.45,    -0.01,     0.53,  1293.37,   280.16
71.0,     5.59,     1.47,    -0.01,     0.54,  1289.17,   284.26
72.0,     5.61,     1.48,    -0.01,     0.55,  1284.74,   288.38
73.0,     5.64,     1.49,    -0.01,     0.55,  1280.09,   292.52
74.0,     5.67,     1.51,    -0.01,     0.56,  1275.21,   296.69
75.0,     5.69,     1.52,    -0.01,     0.56,  1270.11,   300.91
76.0,     5.71,     1.54,    -0.01,     0.57,  1264.85,   305.09
77.0,     5.74,     1.55,    -0.01,     0.57,  1259.49,   309.15
78.0,     5.76,     1.57,    -0.01,     0.58,  1254.06,   313.07
79.0,     5.78,     1.58,    -0.01,     0.58,  1248.58,   316.86
80.0,     5.80,     1.59,    -0.01,     0.58,  1243.10,   320.45
81.0,     5.81,     1.61,    -0.01,     0.59,  1237.59,   323.92
82.0,     5.83,     1.62,    -0.01,     0.59,  1232.09,   327.23
83.0,     5.85,     1.63,    -0.01,     0.60,  1226.58,   330.41
84.0,     5.87,     1.64,    -0.01,     0.60,  1221.00,   333.51
85.0,     5.88,     1.65,    -0.01,     0.61,  1215.37,   336.48
86.0,     5.89,     1.66,    -0.01,     0.61,  1209.66,   339.37
87.0,     5.91,     1.67,    -0.01,     0.62,  1203.88,   342.17
88.0,     5.92,     1.68,    -0.01,     0.62,  1198.04,   344.90
89.0,     5.94,     1.69,    -0.01,     0.63,  1192.19,   347.58
90.0,     5.95,     1.70,    -0.01,     0.63,  1186.41,   350.10
91.0,     5.96,     1.71,    -0.01,     0.64,  1180.63,   352.58
92.0,     5.97,     1.72,    -0.01,     0.64,  1174.97,   354.88
93.0,     5.99,     1.73,    -0.02,     0.65,  1169.34,   357.06
94.0,     6.00,     1.74,    -0.02,     0.65,  1163.83,   359.16
95.0,     6.01,     1.75,    -0.02,     0.66,  1158.28,   361.13
96.0,     6.02,     1.76,    -0.02,     0.66,  1152.88,   363.18
97.0,     6.03,     1.78,    -0.02,     0.67,  1147.17,   365.09
98.0,     6.03,     1.78,    -0.02,     0.68,  1142.13,   366.53
99.0,     6.04,     1.81,    -0.02,     0.69,  1136.10,   372.08
100.0,     6.04,     1.82,    -0.02,     0.70,  1125.68,   372.24
102.0,     6.02,     1.75,    -0.01,     0.69,  1107.56,   362.55
104.0,     6.04,     1.77,    -0.01,     0.70,  1096.29,   362.85
106.0,     6.07,     1.78,    -0.01,     0.71,  1085.41,   363.68
108.0,     6.09,     1.79,    -0.01,     0.72,  1074.55,   364.68
110.0,     6.10,     1.80,    -0.01,     0.73,  1063.60,   365.66
112.0,     6.10,     1.81,    -0.01,     0.74,  1052.44,   366.58
114.0,     6.11,     1.82,    -0.00,     0.74,  1041.07,   367.40
116.0,     6.11,     1.83,    -0.00,     0.75,  1029.55,   368.14
118.0,     6.11,     1.84,    -0.00,     0.76,  1017.84,   368.74
120.0,     6.10,     1.86,     0.00,     0.77,  1005.97,   369.22
122.0,     6.10,     1.87,     0.00,     0.78,   993.95,   369.59
124.0,     6.10,     1.88,     0.00,     0.78,   981.91,   369.76
126.0,     6.09,     1.89,     0.00,     0.79,   969.90,   369.73
128.0,     6.08,     1.90,    -0.00,     0.79,   957.85,   369.44
130.0,     6.07,     1.92,    -0.00,     0.80,   945.90,   368.91
132.0,     6.06,     1.92,    -0.00,     0.80,   934.20,   368.20
134.0,     6.05,     1.93,    -0.00,     0.81,   922.76,   367.33
136.0,     6.04,     1.94,    -0.00,     0.81,   911.69,   366.27
138.0,     6.03,     1.95,    -0.00,     0.82,   900.88,   365.09
140.0,     6.02,     1.96,    -0.00,     0.82,   890.31,   363.74
142.0,     6.01,     1.96,    -0.00,     0.83,   879.89,   362.18
144.0,     5.99,     1.97,    -0.00,     0.83,   869.52,   360.42
146.0,     5.98,     1.98,    -0.00,     0.83,   859.32,   358.46
148.0,     5.97,     1.98,    -0.00,     0.84,   849.25,   356.12
150.0,     5.95,     1.99,    -0.00,     0.84,   839.38,   353.41
152.0,     5.94,     1.99,    -0.00,     0.85,   829.75,   350.51
154.0,     5.93,     2.00,    -0.00,     0.85,   820.06,   347.23
156.0,     5.91,     1.99,    -0.00,     0.86,   810.91,   343.46
158.0,     5.89,     2.03,    -0.00,     0.88,   801.86,   342.19
160.0,     5.87,     2.02,     0.00,     0.88,   787.61,   333.76
164.0,     5.76,     1.85,     0.00,     0.84,   760.82,   309.61
168.0,     5.74,     1.85,     0.00,     0.85,   745.70,   300.08
172.0,     5.71,     1.85,     0.01,     0.86,   731.57,   291.50
176.0,     5.69,     1.85,     0.01,     0.86,   718.17,   283.39
180.0,     5.67,     1.85,     0.01,     0.87,   705.41,   275.52
184.0,     5.65,     1.85,     0.01,     0.87,   693.10,   268.00
188.0,     5.62,     1.85,     0.01,     0.87,   681.40,   260.83
192.0,     5.59,     1.85,     0.01,     0.88,   670.17,   253.91
196.0,     5.57,     1.86,     0.01,     0.88,   659.32,   247.21
200.0,     5.53,     1.86,     0.01,     0.88,   648.88,   240.69
204.0,     5.50,     1.86,     0.02,     0.88,   638.81,   234.45
208.0,     5.47,     1.86,     0.01,     0.89,   629.21,   228.42
212.0,     5.44,     1.86,     0.01,     0.89,   619.97,   222.51
216.0,     5.41,     1.86,     0.02,     0.89,   611.08,   216.59
220.0,     5.38,     1.85,     0.02,     0.90,   602.47,   210.61
