r, Q_conv, Q_rad, Q_total
cm, kW/m2, kW/m2, kW/m2
 2.0,     0.81,    27.87,    28.68
 4.0,     0.83,    28.27,    29.10
 6.0,     0.85,    28.85,    29.70
 8.0,     0.86,    29.57,    30.44
10.0,     0.88,    30.45,    31.34
12.0,     0.91,    31.20,    32.11
14.0,     0.93,    31.89,    32.82
16.0,     1.00,    32.64,    33.64
18.0,     1.10,    32.76,    33.86
20.0,     1.28,    33.27,    34.55
22.0,     1.45,    33.06,    34.51
24.0,     1.62,    32.87,    34.49
26.0,     1.74,    32.38,    34.11
28.0,     1.86,    31.61,    33.47
30.0,     1.98,    30.89,    32.87
32.0,     2.10,    29.86,    31.96
34.0,     2.24,    28.85,    31.09
36.0,     2.38,    27.72,    30.09
38.0,     2.52,    26.50,    29.02
40.0,     2.68,    25.14,    27.82
42.0,     2.83,    23.63,    26.46
44.0,     3.01,    21.81,    24.82
46.0,     3.22,    19.65,    22.88
48.0,     3.48,    16.97,    20.45
50.0,     3.64,    17.14,    20.78
52.0,     0.00,     3.67,     3.67
54.0,     0.00,     4.48,     4.48
56.0,     0.00,     4.73,     4.73
58.0,     0.00,     4.63,     4.63
60.0,     0.00,     4.29,     4.29
62.0,     0.00,     4.00,     4.00
64.0,     0.00,     3.81,     3.81
66.0,     0.00,     3.55,     3.55
68.0,     0.00,     3.30,     3.30
70.0,     0.00,     3.08,     3.08
72.0,     0.00,     2.92,     2.92
74.0,     0.00,     2.74,     2.74
76.0,     0.00,     2.58,     2.58
78.0,     0.00,     2.47,     2.47
80.0,     0.00,     2.32,     2.32
82.0,     0.00,     2.18,     2.18
84.0,     0.00,     2.09,     2.09
86.0,     0.00,     1.95,     1.95
88.0,     0.00,     1.86,     1.86
90.0,     0.00,     1.73,     1.73
92.0,     0.00,     1.70,     1.70
94.0,     0.00,     1.57,     1.57
96.0,     0.00,     1.53,     1.53
98.0,     0.00,     1.44,     1.44
100.0,     0.00,     1.39,     1.39
102.0,     0.00,     1.30,     1.30
104.0,     0.00,     1.26,     1.26
106.0,     0.00,     1.20,     1.20
108.0,     0.00,     1.15,     1.15
110.0,     0.00,     1.09,     1.09
112.0,     0.00,     1.08,     1.08
114.0,     0.00,     1.01,     1.01
116.0,     0.00,     1.00,     1.00
118.0,     0.00,     0.92,     0.92
120.0,     0.00,     0.92,     0.92
122.0,     0.00,     0.85,     0.85
124.0,     0.00,     0.86,     0.86
126.0,     0.00,     0.80,     0.80
128.0,     0.00,     0.81,     0.81
130.0,     0.00,     0.74,     0.74
132.0,     0.00,     0.77,     0.77
134.0,     0.00,     0.70,     0.70
136.0,     0.00,     0.71,     0.71
138.0,     0.00,     0.65,     0.65
140.0,     0.00,     0.68,     0.68
142.0,     0.00,     0.62,     0.62
144.0,     0.00,     0.63,     0.63
146.0,     0.00,     0.59,     0.59
148.0,     0.00,     0.60,     0.60
150.0,     0.00,     0.56,     0.56
152.0,     0.00,     0.58,     0.58
154.0,     0.00,     0.52,     0.52
156.0,     0.00,     0.56,     0.56
158.0,     0.00,     0.49,     0.49
160.0,     0.00,     0.53,     0.53
162.0,     0.00,     0.47,     0.47
164.0,     0.00,     0.50,     0.50
166.0,     0.00,     0.45,     0.45
168.0,     0.00,     0.49,     0.49
170.0,     0.00,     0.43,     0.43
172.0,     0.00,     0.46,     0.46
174.0,     0.00,     0.41,     0.41
176.0,     0.00,     0.45,     0.45
178.0,     0.00,     0.40,     0.40
180.0,     0.00,     0.43,     0.43
182.0,     0.00,     0.39,     0.39
184.0,     0.00,     0.40,     0.40
186.0,     0.00,     0.37,     0.37
188.0,     0.00,     0.39,     0.39
190.0,     0.00,     0.36,     0.36
192.0,     0.00,     0.37,     0.37
194.0,     0.00,     0.35,     0.35
196.0,     0.00,     0.38,     0.38
198.0,     0.00,     0.32,     0.32
200.0,     0.00,     0.37,     0.37
202.0,     0.00,     0.32,     0.32
204.0,     0.00,     0.34,     0.34
206.0,     0.00,     0.30,     0.30
208.0,     0.00,     0.35,     0.35
210.0,     0.00,     0.30,     0.30
212.0,     0.00,     0.33,     0.33
214.0,     0.00,     0.30,     0.30
216.0,     0.00,     0.31,     0.31
218.0,     0.00,     0.24,     0.24
